|dates|Adair_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Adair_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Adair_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Adair_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Adair_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4818.0|0|4818.0|0|57.0|0|0.0|100
0|2021-10-18|4818.0|0|4818.0|0|57.0|0|0.0|100
0|2021-10-19|4818.0|0|4818.0|0|57.0|0|0.0|100
0|2021-10-20|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-21|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-22|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-23|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-24|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-25|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-26|4850.0|0|4850.0|0|61.0|0|0.0|100
0|2021-10-27|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-10-28|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-10-29|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-10-30|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-10-31|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-11-01|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-11-02|4878.0|0|4878.0|0|61.0|0|0.0|100
0|2021-11-03|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-04|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-05|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-06|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-07|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-08|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-09|4901.0|0|4901.0|0|62.0|0|0.0|100
0|2021-11-10|4901.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-11|4901.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-12|4932.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-13|4932.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-14|4932.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-15|4932.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-16|4932.0|0|4932.0|0|62.0|0|0.0|100
0|2021-11-17|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-18|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-19|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-20|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-21|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-22|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-23|4962.0|0|4962.0|0|62.0|0|0.0|100
0|2021-11-24|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-25|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-26|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-27|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-28|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-29|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-11-30|4995.0|0|4995.0|0|62.0|0|0.0|100
0|2021-12-01|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-02|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-03|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-04|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-05|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-06|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-07|5020.0|0|5020.0|0|62.0|0|0.0|100
0|2021-12-08|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-09|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-10|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-11|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-12|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-13|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-14|5056.0|0|5056.0|0|62.0|0|0.0|100
0|2021-12-15|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-16|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-17|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-18|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-19|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-20|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-21|5078.0|0|5078.0|0|62.0|0|0.0|100
0|2021-12-22|5123.0|0|5123.0|0|62.0|0|0.0|100
0|2021-12-23|5123.0|0|5123.0|0|63.0|0|0.0|100
0|2021-12-24|5123.0|0|5123.0|0|63.0|0|0.0|100
0|2021-12-25|5123.0|0|5123.0|0|63.0|0|0.0|100
