|dates|Alameda_California_UnitedStates.BLS_EmployedPopulation.data|Alameda_California_UnitedStates.BLS_EmployedPopulation.missing|Alameda_California_UnitedStates.BLS_UnemployedPopulation.data|Alameda_California_UnitedStates.BLS_UnemployedPopulation.missing|Alameda_California_UnitedStates.BLS_UnemploymentRate.data|Alameda_California_UnitedStates.BLS_UnemploymentRate.missing|Alameda_California_UnitedStates.BLS_LaborForcePopulation.data|Alameda_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-18|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-19|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-20|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-21|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-22|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-23|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-24|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-25|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-26|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-27|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-28|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-29|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-30|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-10-31|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-01|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-02|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-03|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-04|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-05|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-06|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-07|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-08|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-09|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-10|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-11|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-12|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-13|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-14|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-15|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-16|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-17|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-18|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-19|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-20|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-21|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-22|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-23|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-24|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-25|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-26|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-27|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-28|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-29|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-11-30|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-01|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-02|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-03|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-04|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-05|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-06|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-07|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-08|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-09|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-10|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-11|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-12|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-13|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-14|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-15|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-16|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-17|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-18|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-19|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-20|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-21|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-22|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-23|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-24|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-25|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-26|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-27|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-28|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-29|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-30|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2021-12-31|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-01|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-02|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-03|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-04|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-05|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-06|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-07|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-08|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-09|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-10|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-11|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-12|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-13|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-14|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-15|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-16|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
0|2022-01-17|751733.0|0|47800.0|0|5.9784899435045205|0|799533.0|0
