|dates|Alleghany_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Alleghany_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Alleghany_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Alleghany_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Alleghany_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Alleghany_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Alleghany_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Alleghany_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-18|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-19|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-20|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-21|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-22|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-23|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-24|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-25|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-26|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-27|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-28|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-29|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-30|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-10-31|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-01|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-02|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-03|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-04|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-05|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-06|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-07|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-08|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-09|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-10|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-11|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-12|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-13|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-14|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-15|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-16|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-17|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-18|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-19|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-20|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-21|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-22|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-23|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-24|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-25|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-26|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-27|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-28|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-29|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-11-30|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-01|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-02|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-03|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-04|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-05|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-06|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-07|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-08|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-09|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-10|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-11|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-12|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-13|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-14|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
0|2021-12-15|4013.0|0|183.0|0|4.361296472831268|0|4196.0|0
