|dates|Alleghany_Virginia_UnitedStates.JHU_ConfirmedCases.data|Alleghany_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.data|Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Alleghany_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Alleghany_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Alleghany_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Alleghany_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2058.0|0|2058.0|0|65.0|0|0.0|100
0|2021-10-18|2062.0|0|2062.0|0|68.0|0|0.0|100
0|2021-10-19|2068.0|0|2068.0|0|69.0|0|0.0|100
0|2021-10-20|2079.0|0|2079.0|0|71.0|0|0.0|100
0|2021-10-21|2090.0|0|2090.0|0|73.0|0|0.0|100
0|2021-10-22|2094.0|0|2094.0|0|74.0|0|0.0|100
0|2021-10-23|2094.0|0|2094.0|0|74.0|0|0.0|100
0|2021-10-24|2094.0|0|2094.0|0|74.0|0|0.0|100
0|2021-10-25|2104.0|0|2104.0|0|74.0|0|0.0|100
0|2021-10-26|2107.0|0|2107.0|0|74.0|0|0.0|100
0|2021-10-27|2116.0|0|2116.0|0|74.0|0|0.0|100
0|2021-10-28|2120.0|0|2120.0|0|75.0|0|0.0|100
0|2021-10-29|2124.0|0|2124.0|0|77.0|0|0.0|100
0|2021-10-30|2124.0|0|2124.0|0|77.0|0|0.0|100
0|2021-10-31|2124.0|0|2124.0|0|77.0|0|0.0|100
0|2021-11-01|2133.0|0|2133.0|0|78.0|0|0.0|100
0|2021-11-02|2136.0|0|2136.0|0|78.0|0|0.0|100
0|2021-11-03|2140.0|0|2140.0|0|78.0|0|0.0|100
0|2021-11-04|2147.0|0|2147.0|0|78.0|0|0.0|100
0|2021-11-05|2152.0|0|2152.0|0|78.0|0|0.0|100
0|2021-11-06|2152.0|0|2152.0|0|78.0|0|0.0|100
0|2021-11-07|2152.0|0|2152.0|0|78.0|0|0.0|100
0|2021-11-08|2160.0|0|2160.0|0|79.0|0|0.0|100
0|2021-11-09|2167.0|0|2167.0|0|79.0|0|0.0|100
0|2021-11-10|2167.0|0|2174.0|0|79.0|0|0.0|100
0|2021-11-11|2178.0|0|2178.0|0|80.0|0|0.0|100
0|2021-11-12|2184.0|0|2184.0|0|81.0|0|0.0|100
0|2021-11-13|2184.0|0|2184.0|0|81.0|0|0.0|100
0|2021-11-14|2184.0|0|2184.0|0|81.0|0|0.0|100
0|2021-11-15|2198.0|0|2198.0|0|82.0|0|0.0|100
0|2021-11-16|2200.0|0|2200.0|0|82.0|0|0.0|100
0|2021-11-17|2215.0|0|2215.0|0|82.0|0|0.0|100
0|2021-11-18|2219.0|0|2219.0|0|82.0|0|0.0|100
0|2021-11-19|2221.0|0|2221.0|0|82.0|0|0.0|100
0|2021-11-20|2221.0|0|2221.0|0|82.0|0|0.0|100
0|2021-11-21|2221.0|0|2221.0|0|82.0|0|0.0|100
0|2021-11-22|2226.0|0|2226.0|0|82.0|0|0.0|100
0|2021-11-23|2232.0|0|2232.0|0|82.0|0|0.0|100
0|2021-11-24|2232.0|0|2232.0|0|83.0|0|0.0|100
0|2021-11-25|2236.0|0|2236.0|0|83.0|0|0.0|100
0|2021-11-26|2245.0|0|2245.0|0|83.0|0|0.0|100
0|2021-11-27|2245.0|0|2245.0|0|83.0|0|0.0|100
0|2021-11-28|2245.0|0|2245.0|0|83.0|0|0.0|100
0|2021-11-29|2258.0|0|2258.0|0|83.0|0|0.0|100
0|2021-11-30|2266.0|0|2266.0|0|83.0|0|0.0|100
0|2021-12-01|2275.0|0|2275.0|0|83.0|0|0.0|100
0|2021-12-02|2285.0|0|2285.0|0|83.0|0|0.0|100
0|2021-12-03|2290.0|0|2290.0|0|83.0|0|0.0|100
0|2021-12-04|2290.0|0|2290.0|0|83.0|0|0.0|100
0|2021-12-05|2290.0|0|2290.0|0|83.0|0|0.0|100
0|2021-12-06|2309.0|0|2309.0|0|83.0|0|0.0|100
0|2021-12-07|2320.0|0|2320.0|0|83.0|0|0.0|100
0|2021-12-08|2337.0|0|2337.0|0|84.0|0|0.0|100
0|2021-12-09|2344.0|0|2344.0|0|84.0|0|0.0|100
0|2021-12-10|2342.0|0|2342.0|0|84.0|0|0.0|100
0|2021-12-11|2342.0|0|2342.0|0|84.0|0|0.0|100
0|2021-12-12|2342.0|0|2342.0|0|84.0|0|0.0|100
0|2021-12-13|2353.0|0|2353.0|0|85.0|0|0.0|100
0|2021-12-14|2353.0|0|2366.0|0|85.0|0|0.0|100
0|2021-12-15|2383.0|0|2383.0|0|85.0|0|0.0|100
0|2021-12-16|2391.0|0|2391.0|0|85.0|0|0.0|100
0|2021-12-17|2397.0|0|2397.0|0|85.0|0|0.0|100
0|2021-12-18|2397.0|0|2397.0|0|85.0|0|0.0|100
0|2021-12-19|2397.0|0|2397.0|0|85.0|0|0.0|100
0|2021-12-20|2423.0|0|2423.0|0|85.0|0|0.0|100
0|2021-12-21|2436.0|0|2436.0|0|85.0|0|0.0|100
0|2021-12-22|2449.0|0|2449.0|0|86.0|0|0.0|100
0|2021-12-23|2451.0|0|2451.0|0|86.0|0|0.0|100
0|2021-12-24|2460.0|0|2460.0|0|86.0|0|0.0|100
0|2021-12-25|2460.0|0|2460.0|0|86.0|0|0.0|100
0|2021-12-26|2460.0|0|2460.0|0|86.0|0|0.0|100
0|2021-12-27|2481.0|0|2481.0|0|86.0|0|0.0|100
0|2021-12-28|2483.0|0|2483.0|0|86.0|0|0.0|100
0|2021-12-29|2493.0|0|2493.0|0|87.0|0|0.0|100
0|2021-12-30|2501.0|0|2501.0|0|87.0|0|0.0|100
0|2021-12-31|2512.0|0|2512.0|0|87.0|0|0.0|100
0|2022-01-01|2512.0|0|2512.0|0|87.0|0|0.0|100
0|2022-01-02|2512.0|0|2512.0|0|87.0|0|0.0|100
0|2022-01-03|2533.0|0|2533.0|0|88.0|0|0.0|100
0|2022-01-04|2547.0|0|2547.0|0|88.0|0|0.0|100
0|2022-01-05|2562.0|0|2562.0|0|88.0|0|0.0|100
0|2022-01-06|2575.0|0|2575.0|0|88.0|0|0.0|100
0|2022-01-07|2583.0|0|2583.0|0|88.0|0|0.0|100
0|2022-01-08|2583.0|0|2583.0|0|88.0|0|0.0|100
0|2022-01-09|2583.0|0|2583.0|0|88.0|0|0.0|100
0|2022-01-10|2666.0|0|2666.0|0|88.0|0|0.0|100
0|2022-01-11|2695.0|0|2695.0|0|89.0|0|0.0|100
0|2022-01-12|2728.0|0|2728.0|0|90.0|0|0.0|100
0|2022-01-13|2728.0|0|2755.0|0|90.0|0|0.0|100
0|2022-01-14|2770.0|0|2770.0|0|90.0|0|0.0|100
0|2022-01-15|2770.0|0|2770.0|0|90.0|0|0.0|100
0|2022-01-16|2770.0|0|2770.0|0|90.0|0|0.0|100
0|2022-01-17|2882.0|0|0.0|100|90.0|0|0.0|100
