|dates|Apache_Arizona_UnitedStates.AveragePrecipitationTotal.data|Apache_Arizona_UnitedStates.AveragePrecipitationTotal.missing|Apache_Arizona_UnitedStates.AveragePrecipitation.data|Apache_Arizona_UnitedStates.AveragePrecipitation.missing|Apache_Arizona_UnitedStates.AverageWindDirection.data|Apache_Arizona_UnitedStates.AverageWindDirection.missing|Apache_Arizona_UnitedStates.AverageWindSpeed.data|Apache_Arizona_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|117.91666666666667|0|4.5|0
0|2021-10-18|0.0|0|0.0|0|155.83333333333334|0|12.541666666666666|0
0|2021-10-19|0.0|0|0.0|0|174.16666666666666|0|7.25|0
0|2021-10-20|0.0|0|0.0|0|74.58333333333333|0|2.75|0
0|2021-10-21|0.0|0|0.0|0|67.5|0|2.5416666666666665|0
0|2021-10-22|0.0|0|0.0|0|75.0|0|3.625|0
0|2021-10-23|0.0|0|0.0|0|162.5|0|8.375|0
0|2021-10-24|0.0|0|0.0|0|131.25|0|4.916666666666667|0
0|2021-10-25|0.0|0|0.0|0|135.83333333333334|0|8.083333333333334|0
0|2021-10-26|0.0|0|0.003958333333333334|0|253.75|0|16.583333333333332|0
0|2021-10-27|0.005|0|0.0|0|183.33333333333334|0|6.708333333333333|0
0|2021-10-28|0.0|0|0.0|0|119.16666666666667|0|4.5|0
0|2021-10-29|0.0|0|0.0|0|40.416666666666664|0|1.5416666666666667|0
0|2021-10-30|0.0|0|0.0|0|89.58333333333333|0|2.5833333333333335|0
0|2021-10-31|0.0|0|0.0|0|109.58333333333333|0|5.208333333333333|0
0|2021-11-01|0.0|0|0.0|0|88.33333333333333|0|3.5|0
0|2021-11-02|0.0|0|0.0|0|81.25|0|3.6666666666666665|0
0|2021-11-03|0.0|0|0.0|0|57.5|0|2.4583333333333335|0
0|2021-11-04|0.0|0|0.0|0|45.416666666666664|0|1.5|0
0|2021-11-05|0.0|0|0.0|0|75.83333333333333|0|2.1666666666666665|0
0|2021-11-06|0.0|0|0.0|0|70.41666666666667|0|3.1666666666666665|0
0|2021-11-07|0.0|0|0.0|0|111.25|0|5.166666666666667|0
0|2021-11-08|0.0|0|0.0|0|133.75|0|6.833333333333333|0
0|2021-11-09|0.0|0|0.0|0|118.75|0|4.791666666666667|0
0|2021-11-10|0.0|0|0.0|0|164.58333333333334|0|4.875|0
0|2021-11-11|0.0|0|0.0|0|138.33333333333334|0|3.4166666666666665|0
0|2021-11-12|0.0|0|0.0|0|75.41666666666667|0|2.125|0
0|2021-11-13|0.0|0|0.0|0|91.66666666666667|0|2.2083333333333335|0
0|2021-11-14|0.0|0|0.0|0|115.41666666666667|0|2.5|0
0|2021-11-15|0.0|0|0.0|0|97.08333333333333|0|2.25|0
0|2021-11-16|0.0|0|0.0|0|107.5|0|4.125|0
0|2021-11-17|0.0|0|0.0|0|63.958333333333336|0|1.875|0
0|2021-11-18|0.0|0|0.0|0|70.83333333333333|0|2.3333333333333335|0
0|2021-11-19|0.0|0|0.0|0|84.16666666666667|0|3.0|0
0|2021-11-20|0.0|0|0.0|0|109.16666666666667|0|3.4166666666666665|0
0|2021-11-21|0.0|0|0.0|0|30.0|0|2.7083333333333335|0
0|2021-11-22|0.0|0|0.0|0|16.25|0|1.4583333333333333|0
0|2021-11-23|0.0|0|0.0014583333333333334|0|106.1111111111111|0|3.9166666666666665|0
0|2021-11-24|0.002916666666666667|0|0.00125|0|214.375|0|6.958333333333333|0
0|2021-11-25|0.0|0|0.0|0|59.166666666666664|0|3.5416666666666665|0
0|2021-11-26|0.0|0|0.0|0|46.666666666666664|0|2.1666666666666665|0
0|2021-11-27|0.0|0|0.0|0|79.58333333333333|0|2.3333333333333335|0
0|2021-11-28|0.0|0|0.0|0|55.416666666666664|0|2.2083333333333335|0
0|2021-11-29|0.0|0|0.0|0|29.583333333333332|0|1.4583333333333333|0
0|2021-11-30|0.0|0|0.0|0|25.0|0|2.0416666666666665|0
0|2021-12-01|0.0|0|0.0|0|37.916666666666664|0|2.0|0
0|2021-12-02|0.0|0|0.0|0|78.33333333333333|0|1.7916666666666667|0
0|2021-12-03|0.0|0|0.0|0|80.41666666666667|0|2.0833333333333335|0
0|2021-12-04|0.0|0|0.0|0|61.25|0|1.625|0
0|2021-12-05|0.0|0|0.0|0|90.41666666666667|0|2.7916666666666665|0
0|2021-12-06|0.0|0|0.0|0|119.16666666666667|0|4.541666666666667|0
0|2021-12-07|0.0|0|0.0|0|208.47222222222226|0|4.625|0
0|2021-12-08|0.0|0|0.0|0|123.75|0|7.5|0
0|2021-12-09|0.0|0|0.0016666666666666668|0|219.58333333333334|0|14.416666666666666|0
0|2021-12-10|0.0022916666666666667|0|0.005624999999999999|0|230.10416666666666|0|11.708333333333334|0
0|2021-12-11|0.0|0|0.0|0|94.16666666666667|0|2.4166666666666665|0
0|2021-12-12|0.0|0|0.0|0|48.333333333333336|0|2.3333333333333335|0
0|2021-12-13|0.0|0|0.0|0|95.41666666666667|0|3.9166666666666665|0
0|2021-12-14|0.0004166666666666667|0|0.0004166666666666667|0|149.16666666666666|0|8.875|0
0|2021-12-15|0.0|0|0.0|0|155.625|0|17.3125|0
0|2021-12-16|0.0004166666666666667|0|0.0|0|122.5|0|4.75|0
0|2021-12-17|0.0|0|0.0|0|86.25|0|2.7916666666666665|0
0|2021-12-18|0.0|0|0.0|0|30.416666666666668|0|1.3333333333333333|0
0|2021-12-19|0.0|0|0.0|0|45.416666666666664|0|1.25|0
0|2021-12-20|0.0|0|0.0|0|43.125|0|1.0208333333333333|0
0|2021-12-21|0.0|0|0.0|0|16.666666666666668|0|0.25|0
0|2021-12-22|0.0|0|0.0|0|86.25|0|2.375|0
0|2021-12-23|0.0|0|0.0004166666666666667|0|168.33333333333334|0|9.958333333333334|0
0|2021-12-24|0.011666666666666667|0|0.027743055555555562|0|213.47222222222226|0|11.416666666666664|0
0|2021-12-25|0.006666666666666667|0|0.0008333333333333334|0|171.45833333333334|0|8.874999999999998|0
0|2021-12-26|0.0008333333333333334|0|0.0|0|229.58333333333334|0|18.729166666666668|0
0|2021-12-27|0.0|0|0.0|0|217.36111111111111|0|14.680555555555557|0
0|2021-12-28|0.0|0|0.0033611111111111116|0|206.82638888888889|0|12.514583333333334|0
