|dates|Barber_Kansas_UnitedStates.JHU_ConfirmedCases.data|Barber_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Barber_Kansas_UnitedStates.NYT_ConfirmedCases.data|Barber_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Barber_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Barber_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Barber_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Barber_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|489.0|0|489.0|0|7.0|0|0.0|100
0|2021-10-18|491.0|0|491.0|0|7.0|0|0.0|100
0|2021-10-19|491.0|0|491.0|0|7.0|0|0.0|100
0|2021-10-20|491.0|0|491.0|0|7.0|0|0.0|100
0|2021-10-21|491.0|0|491.0|0|7.0|0|0.0|100
0|2021-10-22|495.0|0|495.0|0|7.0|0|0.0|100
0|2021-10-23|495.0|0|495.0|0|7.0|0|0.0|100
0|2021-10-24|495.0|0|495.0|0|7.0|0|0.0|100
0|2021-10-25|496.0|0|496.0|0|7.0|0|0.0|100
0|2021-10-26|496.0|0|496.0|0|7.0|0|0.0|100
0|2021-10-27|497.0|0|497.0|0|7.0|0|0.0|100
0|2021-10-28|497.0|0|497.0|0|7.0|0|0.0|100
0|2021-10-29|498.0|0|498.0|0|7.0|0|0.0|100
0|2021-10-30|498.0|0|498.0|0|7.0|0|0.0|100
0|2021-10-31|498.0|0|498.0|0|7.0|0|0.0|100
0|2021-11-01|502.0|0|502.0|0|7.0|0|0.0|100
0|2021-11-02|502.0|0|502.0|0|7.0|0|0.0|100
0|2021-11-03|504.0|0|504.0|0|7.0|0|0.0|100
0|2021-11-04|504.0|0|504.0|0|7.0|0|0.0|100
0|2021-11-05|507.0|0|507.0|0|7.0|0|0.0|100
0|2021-11-06|507.0|0|507.0|0|7.0|0|0.0|100
0|2021-11-07|507.0|0|507.0|0|7.0|0|0.0|100
0|2021-11-08|512.0|0|512.0|0|7.0|0|0.0|100
0|2021-11-09|512.0|0|512.0|0|7.0|0|0.0|100
0|2021-11-10|512.0|0|514.0|0|7.0|0|0.0|100
0|2021-11-11|514.0|0|514.0|0|7.0|0|0.0|100
0|2021-11-12|517.0|0|517.0|0|7.0|0|0.0|100
0|2021-11-13|517.0|0|517.0|0|7.0|0|0.0|100
0|2021-11-14|517.0|0|517.0|0|7.0|0|0.0|100
0|2021-11-15|523.0|0|523.0|0|7.0|0|0.0|100
0|2021-11-16|523.0|0|523.0|0|7.0|0|0.0|100
0|2021-11-17|548.0|0|548.0|0|7.0|0|0.0|100
0|2021-11-18|548.0|0|548.0|0|7.0|0|0.0|100
0|2021-11-19|567.0|0|567.0|0|7.0|0|0.0|100
0|2021-11-20|567.0|0|567.0|0|7.0|0|0.0|100
0|2021-11-21|567.0|0|567.0|0|7.0|0|0.0|100
