|dates|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Barnwell_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Barnwell_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Barnwell_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3852.0|0|3852.0|0|82.0|0|0.0|100
0|2021-10-18|3862.0|0|3862.0|0|82.0|0|0.0|100
0|2021-10-19|3867.0|0|3867.0|0|82.0|0|0.0|100
0|2021-10-20|3875.0|0|3875.0|0|83.0|0|0.0|100
0|2021-10-21|3878.0|0|3878.0|0|83.0|0|0.0|100
0|2021-10-22|3882.0|0|3882.0|0|83.0|0|0.0|100
0|2021-10-23|3882.0|0|3882.0|0|83.0|0|0.0|100
0|2021-10-24|3882.0|0|3882.0|0|83.0|0|0.0|100
0|2021-10-25|3888.0|0|3888.0|0|83.0|0|0.0|100
0|2021-10-26|3890.0|0|3890.0|0|83.0|0|0.0|100
0|2021-10-27|3892.0|0|3892.0|0|83.0|0|0.0|100
0|2021-10-28|3895.0|0|3895.0|0|84.0|0|0.0|100
0|2021-10-29|3900.0|0|3900.0|0|84.0|0|0.0|100
0|2021-10-30|3900.0|0|3900.0|0|84.0|0|0.0|100
0|2021-10-31|3900.0|0|3900.0|0|84.0|0|0.0|100
0|2021-11-01|3902.0|0|3902.0|0|84.0|0|0.0|100
0|2021-11-02|3902.0|0|3902.0|0|84.0|0|0.0|100
0|2021-11-03|3904.0|0|3904.0|0|84.0|0|0.0|100
0|2021-11-04|3905.0|0|3905.0|0|84.0|0|0.0|100
