|dates|Baxter_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Baxter_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Baxter_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Baxter_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Baxter_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5765.0|0|5765.0|0|175.0|0|0.0|100
0|2021-10-18|5765.0|0|5765.0|0|175.0|0|0.0|100
0|2021-10-19|5768.0|0|5768.0|0|175.0|0|0.0|100
0|2021-10-20|5775.0|0|5775.0|0|176.0|0|0.0|100
0|2021-10-21|5781.0|0|5781.0|0|176.0|0|0.0|100
0|2021-10-22|5797.0|0|5797.0|0|176.0|0|0.0|100
0|2021-10-23|5814.0|0|5814.0|0|176.0|0|0.0|100
0|2021-10-24|5814.0|0|5814.0|0|176.0|0|0.0|100
0|2021-10-25|5815.0|0|5815.0|0|177.0|0|0.0|100
0|2021-10-26|5825.0|0|5825.0|0|177.0|0|0.0|100
0|2021-10-27|5833.0|0|5833.0|0|177.0|0|0.0|100
0|2021-10-28|5846.0|0|5846.0|0|179.0|0|0.0|100
0|2021-10-29|5858.0|0|5858.0|0|179.0|0|0.0|100
0|2021-10-30|5863.0|0|5863.0|0|179.0|0|0.0|100
0|2021-10-31|5867.0|0|5867.0|0|179.0|0|0.0|100
0|2021-11-01|5867.0|0|5867.0|0|179.0|0|0.0|100
0|2021-11-02|5885.0|0|5885.0|0|179.0|0|0.0|100
0|2021-11-03|5896.0|0|5896.0|0|181.0|0|0.0|100
0|2021-11-04|5907.0|0|5907.0|0|181.0|0|0.0|100
0|2021-11-05|5923.0|0|5923.0|0|181.0|0|0.0|100
0|2021-11-06|5928.0|0|5928.0|0|181.0|0|0.0|100
0|2021-11-07|5930.0|0|5930.0|0|181.0|0|0.0|100
0|2021-11-08|5930.0|0|5934.0|0|181.0|0|0.0|100
0|2021-11-09|5944.0|0|5944.0|0|182.0|0|0.0|100
0|2021-11-10|5953.0|0|5953.0|0|182.0|0|0.0|100
0|2021-11-11|5968.0|0|5968.0|0|184.0|0|0.0|100
0|2021-11-12|5990.0|0|5990.0|0|185.0|0|0.0|100
0|2021-11-13|5997.0|0|5997.0|0|185.0|0|0.0|100
0|2021-11-14|6001.0|0|6001.0|0|185.0|0|0.0|100
0|2021-11-15|6003.0|0|6003.0|0|185.0|0|0.0|100
0|2021-11-16|6015.0|0|6015.0|0|185.0|0|0.0|100
0|2021-11-17|6027.0|0|6027.0|0|186.0|0|0.0|100
0|2021-11-18|6048.0|0|6048.0|0|186.0|0|0.0|100
0|2021-11-19|6055.0|0|6055.0|0|186.0|0|0.0|100
0|2021-11-20|6071.0|0|6071.0|0|186.0|0|0.0|100
0|2021-11-21|6075.0|0|6075.0|0|186.0|0|0.0|100
0|2021-11-22|6075.0|0|6075.0|0|186.0|0|0.0|100
0|2021-11-23|6085.0|0|6085.0|0|186.0|0|0.0|100
0|2021-11-24|6113.0|0|6113.0|0|186.0|0|0.0|100
0|2021-11-25|6117.0|0|6117.0|0|187.0|0|0.0|100
0|2021-11-26|6121.0|0|6121.0|0|187.0|0|0.0|100
0|2021-11-27|6122.0|0|6122.0|0|187.0|0|0.0|100
0|2021-11-28|6124.0|0|6124.0|0|187.0|0|0.0|100
0|2021-11-29|6128.0|0|6128.0|0|188.0|0|0.0|100
0|2021-11-30|6143.0|0|6143.0|0|188.0|0|0.0|100
0|2021-12-01|6151.0|0|6151.0|0|188.0|0|0.0|100
0|2021-12-02|6220.0|0|6220.0|0|188.0|0|0.0|100
0|2021-12-03|6277.0|0|6277.0|0|188.0|0|0.0|100
0|2021-12-04|6293.0|0|6293.0|0|189.0|0|0.0|100
