|dates|Bedford_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bedford_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bedford_Virginia_UnitedStates.Male_Total_Population.data|Bedford_Virginia_UnitedStates.Male_Total_Population.missing|Bedford_Virginia_UnitedStates.Female_Total_Population.data|Bedford_Virginia_UnitedStates.Female_Total_Population.missing|Bedford_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Bedford_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-18|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-19|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-20|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-21|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-22|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-23|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-24|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-25|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-26|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-27|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-28|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-29|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-30|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-10-31|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-01|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-02|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-03|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-04|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-05|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-06|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-07|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-08|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-09|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-10|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-11|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-12|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-13|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-14|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-15|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-16|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-17|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-18|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-19|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-20|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-21|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-22|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-23|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-24|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-25|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-26|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-27|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-28|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-29|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-11-30|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-12-01|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-12-02|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-12-03|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-12-04|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2021-12-05|16789.0|0|38794.0|0|39953.0|0|15623.0|0
