|dates|Benzie_Michigan_UnitedStates.JHU_ConfirmedCases.data|Benzie_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Benzie_Michigan_UnitedStates.NYT_ConfirmedCases.data|Benzie_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Benzie_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Benzie_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Benzie_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Benzie_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1592.0|0|1592.0|0|38.0|0|0.0|100
0|2021-10-18|1607.0|0|1607.0|0|38.0|0|0.0|100
0|2021-10-19|1607.0|0|1607.0|0|38.0|0|0.0|100
0|2021-10-20|1616.0|0|1616.0|0|39.0|0|0.0|100
0|2021-10-21|1616.0|0|1616.0|0|39.0|0|0.0|100
0|2021-10-22|1627.0|0|1627.0|0|40.0|0|0.0|100
0|2021-10-23|1627.0|0|1627.0|0|40.0|0|0.0|100
0|2021-10-24|1627.0|0|1627.0|0|40.0|0|0.0|100
0|2021-10-25|1642.0|0|1642.0|0|40.0|0|0.0|100
0|2021-10-26|1642.0|0|1642.0|0|40.0|0|0.0|100
0|2021-10-27|1653.0|0|1653.0|0|40.0|0|0.0|100
0|2021-10-28|1653.0|0|1653.0|0|40.0|0|0.0|100
0|2021-10-29|1663.0|0|1663.0|0|40.0|0|0.0|100
0|2021-10-30|1663.0|0|1663.0|0|40.0|0|0.0|100
0|2021-10-31|1663.0|0|1663.0|0|40.0|0|0.0|100
0|2021-11-01|1688.0|0|1688.0|0|40.0|0|0.0|100
0|2021-11-02|1688.0|0|1688.0|0|40.0|0|0.0|100
0|2021-11-03|1704.0|0|1704.0|0|40.0|0|0.0|100
0|2021-11-04|1704.0|0|1704.0|0|40.0|0|0.0|100
0|2021-11-05|1739.0|0|1739.0|0|40.0|0|0.0|100
0|2021-11-06|1739.0|0|1739.0|0|40.0|0|0.0|100
0|2021-11-07|1739.0|0|1739.0|0|40.0|0|0.0|100
0|2021-11-08|1768.0|0|1768.0|0|40.0|0|0.0|100
0|2021-11-09|1768.0|0|1768.0|0|40.0|0|0.0|100
0|2021-11-10|1768.0|0|1787.0|0|40.0|0|0.0|100
0|2021-11-11|1787.0|0|1787.0|0|40.0|0|0.0|100
0|2021-11-12|1814.0|0|1814.0|0|41.0|0|0.0|100
0|2021-11-13|1814.0|0|1814.0|0|41.0|0|0.0|100
0|2021-11-14|1814.0|0|1814.0|0|41.0|0|0.0|100
0|2021-11-15|1866.0|0|1866.0|0|41.0|0|0.0|100
0|2021-11-16|1866.0|0|1866.0|0|41.0|0|0.0|100
0|2021-11-17|1912.0|0|1912.0|0|42.0|0|0.0|100
0|2021-11-18|1912.0|0|1912.0|0|42.0|0|0.0|100
0|2021-11-19|1961.0|0|1961.0|0|44.0|0|0.0|100
0|2021-11-20|1961.0|0|1961.0|0|44.0|0|0.0|100
0|2021-11-21|1961.0|0|1961.0|0|44.0|0|0.0|100
0|2021-11-22|2002.0|0|2002.0|0|44.0|0|0.0|100
0|2021-11-23|2002.0|0|2002.0|0|44.0|0|0.0|100
0|2021-11-24|2042.0|0|2042.0|0|44.0|0|0.0|100
0|2021-11-25|2042.0|0|2042.0|0|44.0|0|0.0|100
0|2021-11-26|2042.0|0|2042.0|0|44.0|0|0.0|100
0|2021-11-27|2042.0|0|2042.0|0|44.0|0|0.0|100
0|2021-11-28|2042.0|0|2042.0|0|44.0|0|0.0|100
0|2021-11-29|2104.0|0|2104.0|0|45.0|0|0.0|100
0|2021-11-30|2104.0|0|2104.0|0|45.0|0|0.0|100
0|2021-12-01|2139.0|0|2139.0|0|45.0|0|0.0|100
0|2021-12-02|2139.0|0|2139.0|0|45.0|0|0.0|100
0|2021-12-03|2170.0|0|2170.0|0|44.0|0|0.0|100
0|2021-12-04|2170.0|0|2170.0|0|44.0|0|0.0|100
0|2021-12-05|2170.0|0|2170.0|0|44.0|0|0.0|100
0|2021-12-06|2188.0|0|2188.0|0|44.0|0|0.0|100
0|2021-12-07|2188.0|0|2188.0|0|44.0|0|0.0|100
0|2021-12-08|2232.0|0|2232.0|0|44.0|0|0.0|100
0|2021-12-09|2232.0|0|2232.0|0|44.0|0|0.0|100
0|2021-12-10|2257.0|0|2257.0|0|45.0|0|0.0|100
0|2021-12-11|2257.0|0|2257.0|0|45.0|0|0.0|100
0|2021-12-12|2257.0|0|2257.0|0|45.0|0|0.0|100
0|2021-12-13|2284.0|0|2284.0|0|45.0|0|0.0|100
0|2021-12-14|2284.0|0|2284.0|0|45.0|0|0.0|100
0|2021-12-15|2313.0|0|2313.0|0|46.0|0|0.0|100
0|2021-12-16|2313.0|0|2313.0|0|46.0|0|0.0|100
0|2021-12-17|2323.0|0|2323.0|0|48.0|0|0.0|100
0|2021-12-18|2323.0|0|2323.0|0|48.0|0|0.0|100
0|2021-12-19|2323.0|0|2323.0|0|48.0|0|0.0|100
0|2021-12-20|2342.0|0|2342.0|0|52.0|0|0.0|100
0|2021-12-21|2342.0|0|2342.0|0|52.0|0|0.0|100
0|2021-12-22|2363.0|0|2363.0|0|52.0|0|0.0|100
0|2021-12-23|2363.0|0|2363.0|0|52.0|0|0.0|100
0|2021-12-24|2363.0|0|2363.0|0|52.0|0|0.0|100
0|2021-12-25|2363.0|0|2363.0|0|52.0|0|0.0|100
0|2021-12-26|2363.0|0|2363.0|0|52.0|0|0.0|100
0|2021-12-27|2389.0|0|2389.0|0|53.0|0|0.0|100
0|2021-12-28|2389.0|0|2389.0|0|53.0|0|0.0|100
0|2021-12-29|2407.0|0|2407.0|0|54.0|0|0.0|100
0|2021-12-30|2407.0|0|2407.0|0|54.0|0|0.0|100
0|2021-12-31|2407.0|0|2407.0|0|54.0|0|0.0|100
0|2022-01-01|2407.0|0|2407.0|0|54.0|0|0.0|100
0|2022-01-02|2407.0|0|2407.0|0|54.0|0|0.0|100
0|2022-01-03|2465.0|0|2465.0|0|54.0|0|0.0|100
0|2022-01-04|2465.0|0|2465.0|0|54.0|0|0.0|100
0|2022-01-05|2509.0|0|2509.0|0|56.0|0|0.0|100
0|2022-01-06|2509.0|0|2509.0|0|56.0|0|0.0|100
0|2022-01-07|2551.0|0|2551.0|0|56.0|0|0.0|100
0|2022-01-08|2551.0|0|2551.0|0|56.0|0|0.0|100
0|2022-01-09|2551.0|0|2551.0|0|56.0|0|0.0|100
0|2022-01-10|2606.0|0|2606.0|0|56.0|0|0.0|100
0|2022-01-11|2606.0|0|2606.0|0|56.0|0|0.0|100
0|2022-01-12|2658.0|0|2658.0|0|56.0|0|0.0|100
0|2022-01-13|2658.0|0|2658.0|0|56.0|0|0.0|100
0|2022-01-14|2719.0|0|2719.0|0|57.0|0|0.0|100
0|2022-01-15|2719.0|0|2719.0|0|57.0|0|0.0|100
0|2022-01-16|2719.0|0|2719.0|0|57.0|0|0.0|100
0|2022-01-17|2719.0|0|0.0|100|57.0|0|0.0|100
