|dates|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Berkeley_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Berkeley_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Berkeley_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|17936.0|0|17936.0|0|173.0|0|0.0|100
0|2021-10-18|17987.0|0|17987.0|0|174.0|0|0.0|100
0|2021-10-19|18042.0|0|18042.0|0|174.0|0|0.0|100
0|2021-10-20|18122.0|0|18122.0|0|175.0|0|0.0|100
0|2021-10-21|18194.0|0|18194.0|0|177.0|0|0.0|100
0|2021-10-22|18283.0|0|18283.0|0|178.0|0|0.0|100
0|2021-10-23|18338.0|0|18338.0|0|178.0|0|0.0|100
0|2021-10-24|18394.0|0|18394.0|0|178.0|0|0.0|100
0|2021-10-25|18430.0|0|18430.0|0|180.0|0|0.0|100
0|2021-10-26|18465.0|0|18465.0|0|180.0|0|0.0|100
0|2021-10-27|18522.0|0|18522.0|0|181.0|0|0.0|100
0|2021-10-28|18564.0|0|18564.0|0|181.0|0|0.0|100
0|2021-10-29|18634.0|0|18634.0|0|183.0|0|0.0|100
0|2021-10-30|18672.0|0|18672.0|0|183.0|0|0.0|100
0|2021-10-31|18715.0|0|18715.0|0|183.0|0|0.0|100
0|2021-11-01|18740.0|0|18740.0|0|184.0|0|0.0|100
0|2021-11-02|18777.0|0|18777.0|0|185.0|0|0.0|100
0|2021-11-03|18805.0|0|18805.0|0|185.0|0|0.0|100
0|2021-11-04|18849.0|0|18849.0|0|186.0|0|0.0|100
0|2021-11-05|18892.0|0|18892.0|0|186.0|0|0.0|100
0|2021-11-06|18950.0|0|18950.0|0|186.0|0|0.0|100
0|2021-11-07|18985.0|0|18985.0|0|186.0|0|0.0|100
0|2021-11-08|19018.0|0|19018.0|0|187.0|0|0.0|100
0|2021-11-09|19051.0|0|19051.0|0|188.0|0|0.0|100
0|2021-11-10|19051.0|0|19155.0|0|188.0|0|0.0|100
0|2021-11-11|19214.0|0|19214.0|0|189.0|0|0.0|100
0|2021-11-12|19274.0|0|19274.0|0|189.0|0|0.0|100
