|dates|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bexar_Texas_UnitedStates.Male_Total_Population.data|Bexar_Texas_UnitedStates.Male_Total_Population.missing|Bexar_Texas_UnitedStates.Female_Total_Population.data|Bexar_Texas_UnitedStates.Female_Total_Population.missing|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-18|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-19|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-20|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-21|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-22|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-23|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-24|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-25|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-26|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-27|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-28|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-29|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-30|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-10-31|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-01|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-02|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-03|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-04|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-05|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-06|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-07|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-08|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-09|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-10|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-11|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-12|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-13|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2021-11-14|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
