|dates|Billings_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Billings_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Billings_NorthDakota_UnitedStates.Male_Total_Population.data|Billings_NorthDakota_UnitedStates.Male_Total_Population.missing|Billings_NorthDakota_UnitedStates.Female_Total_Population.data|Billings_NorthDakota_UnitedStates.Female_Total_Population.missing|Billings_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Billings_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-18|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-19|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-20|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-21|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-22|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-23|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-24|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-25|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-26|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-27|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-28|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-29|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-30|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-10-31|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-01|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-02|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-03|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-04|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-05|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-06|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-07|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-08|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-09|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-10|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-11|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-12|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-13|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-14|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-15|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-16|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-17|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-18|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-19|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-20|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-21|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-22|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-23|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-24|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-25|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-26|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-27|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-28|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-29|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-11-30|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-01|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-02|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-03|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-04|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-05|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-06|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-07|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-08|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-09|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-10|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-11|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-12|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-13|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-14|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-15|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-16|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-17|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-18|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-19|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-20|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-21|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-22|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-23|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-24|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-25|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-26|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-27|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-28|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-29|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-30|206.0|0|501.0|0|418.0|0|187.0|0
0|2021-12-31|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-01|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-02|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-03|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-04|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-05|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-06|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-07|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-08|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-09|206.0|0|501.0|0|418.0|0|187.0|0
0|2022-01-10|206.0|0|501.0|0|418.0|0|187.0|0
