|dates|Blaine_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Blaine_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Blaine_Nebraska_UnitedStates.Male_Total_Population.data|Blaine_Nebraska_UnitedStates.Male_Total_Population.missing|Blaine_Nebraska_UnitedStates.Female_Total_Population.data|Blaine_Nebraska_UnitedStates.Female_Total_Population.missing|Blaine_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Blaine_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-18|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-19|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-20|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-21|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-22|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-23|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-24|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-25|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-26|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-27|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-28|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-29|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-30|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-10-31|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-01|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-02|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-03|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-04|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-05|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-06|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-07|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-08|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-09|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-10|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-11|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-12|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-13|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-14|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-15|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-16|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-17|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-18|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-19|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-20|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-21|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-22|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-23|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-24|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-25|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-26|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-27|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-28|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-29|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-11-30|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-01|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-02|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-03|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-04|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-05|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-06|121.0|0|240.0|0|236.0|0|91.0|0
