|dates|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Brunswick_Virginia_UnitedStates.NYT_ConfirmedCases.data|Brunswick_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1765.0|0|1765.0|0|32.0|0|0.0|100
0|2021-10-18|1774.0|0|1774.0|0|32.0|0|0.0|100
0|2021-10-19|1774.0|0|1774.0|0|32.0|0|0.0|100
0|2021-10-20|1781.0|0|1781.0|0|32.0|0|0.0|100
0|2021-10-21|1786.0|0|1786.0|0|32.0|0|0.0|100
0|2021-10-22|1788.0|0|1788.0|0|32.0|0|0.0|100
0|2021-10-23|1788.0|0|1788.0|0|32.0|0|0.0|100
0|2021-10-24|1788.0|0|1788.0|0|32.0|0|0.0|100
0|2021-10-25|1794.0|0|1794.0|0|32.0|0|0.0|100
0|2021-10-26|1799.0|0|1799.0|0|32.0|0|0.0|100
0|2021-10-27|1802.0|0|1802.0|0|32.0|0|0.0|100
0|2021-10-28|1803.0|0|1803.0|0|32.0|0|0.0|100
0|2021-10-29|1803.0|0|1803.0|0|32.0|0|0.0|100
0|2021-10-30|1803.0|0|1803.0|0|32.0|0|0.0|100
0|2021-10-31|1803.0|0|1803.0|0|32.0|0|0.0|100
0|2021-11-01|1812.0|0|1812.0|0|32.0|0|0.0|100
0|2021-11-02|1815.0|0|1815.0|0|32.0|0|0.0|100
0|2021-11-03|1816.0|0|1816.0|0|32.0|0|0.0|100
0|2021-11-04|1818.0|0|1818.0|0|32.0|0|0.0|100
0|2021-11-05|1820.0|0|1820.0|0|32.0|0|0.0|100
0|2021-11-06|1820.0|0|1820.0|0|32.0|0|0.0|100
0|2021-11-07|1820.0|0|1820.0|0|32.0|0|0.0|100
0|2021-11-08|1824.0|0|1824.0|0|32.0|0|0.0|100
0|2021-11-09|1825.0|0|1825.0|0|33.0|0|0.0|100
0|2021-11-10|1825.0|0|1824.0|0|33.0|0|0.0|100
0|2021-11-11|1830.0|0|1830.0|0|33.0|0|0.0|100
0|2021-11-12|1833.0|0|1833.0|0|33.0|0|0.0|100
0|2021-11-13|1833.0|0|1833.0|0|33.0|0|0.0|100
0|2021-11-14|1833.0|0|1833.0|0|33.0|0|0.0|100
0|2021-11-15|1836.0|0|1836.0|0|33.0|0|0.0|100
0|2021-11-16|1837.0|0|1837.0|0|33.0|0|0.0|100
0|2021-11-17|1839.0|0|1839.0|0|33.0|0|0.0|100
0|2021-11-18|1839.0|0|1839.0|0|33.0|0|0.0|100
0|2021-11-19|1840.0|0|1840.0|0|33.0|0|0.0|100
0|2021-11-20|1840.0|0|1840.0|0|33.0|0|0.0|100
0|2021-11-21|1840.0|0|1840.0|0|33.0|0|0.0|100
0|2021-11-22|1841.0|0|1841.0|0|34.0|0|0.0|100
0|2021-11-23|1844.0|0|1844.0|0|34.0|0|0.0|100
0|2021-11-24|1846.0|0|1846.0|0|35.0|0|0.0|100
0|2021-11-25|1848.0|0|1848.0|0|35.0|0|0.0|100
0|2021-11-26|1849.0|0|1849.0|0|35.0|0|0.0|100
0|2021-11-27|1849.0|0|1849.0|0|35.0|0|0.0|100
0|2021-11-28|1849.0|0|1849.0|0|35.0|0|0.0|100
0|2021-11-29|1850.0|0|1850.0|0|35.0|0|0.0|100
0|2021-11-30|1851.0|0|1851.0|0|35.0|0|0.0|100
0|2021-12-01|1853.0|0|1853.0|0|35.0|0|0.0|100
0|2021-12-02|1854.0|0|1854.0|0|35.0|0|0.0|100
0|2021-12-03|1857.0|0|1857.0|0|35.0|0|0.0|100
0|2021-12-04|1857.0|0|1857.0|0|35.0|0|0.0|100
0|2021-12-05|1857.0|0|1857.0|0|35.0|0|0.0|100
0|2021-12-06|1859.0|0|1859.0|0|35.0|0|0.0|100
0|2021-12-07|1861.0|0|1861.0|0|35.0|0|0.0|100
0|2021-12-08|1865.0|0|1865.0|0|35.0|0|0.0|100
0|2021-12-09|1868.0|0|1868.0|0|35.0|0|0.0|100
0|2021-12-10|1871.0|0|1871.0|0|35.0|0|0.0|100
0|2021-12-11|1871.0|0|1871.0|0|35.0|0|0.0|100
0|2021-12-12|1871.0|0|1871.0|0|35.0|0|0.0|100
0|2021-12-13|1874.0|0|1874.0|0|35.0|0|0.0|100
