|dates|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-18|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-19|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-20|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-21|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-22|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-23|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-24|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-25|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-26|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-27|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-28|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-29|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-30|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-10-31|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-01|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-02|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-03|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-04|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-05|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-06|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-07|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-11-08|680.0|0|34.0|0|4.761904761904762|0|714.0|0
