|dates|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Cameron_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Cameron_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Cameron_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|475.0|0|475.0|0|10.0|0|0.0|100
0|2021-10-18|476.0|0|476.0|0|11.0|0|0.0|100
0|2021-10-19|478.0|0|478.0|0|11.0|0|0.0|100
0|2021-10-20|483.0|0|483.0|0|11.0|0|0.0|100
0|2021-10-21|486.0|0|486.0|0|11.0|0|0.0|100
0|2021-10-22|487.0|0|487.0|0|11.0|0|0.0|100
0|2021-10-23|490.0|0|490.0|0|11.0|0|0.0|100
0|2021-10-24|490.0|0|490.0|0|11.0|0|0.0|100
0|2021-10-25|491.0|0|491.0|0|11.0|0|0.0|100
0|2021-10-26|497.0|0|497.0|0|11.0|0|0.0|100
0|2021-10-27|499.0|0|499.0|0|11.0|0|0.0|100
0|2021-10-28|504.0|0|504.0|0|11.0|0|0.0|100
0|2021-10-29|508.0|0|508.0|0|11.0|0|0.0|100
0|2021-10-30|510.0|0|510.0|0|11.0|0|0.0|100
0|2021-10-31|511.0|0|511.0|0|11.0|0|0.0|100
0|2021-11-01|511.0|0|511.0|0|11.0|0|0.0|100
0|2021-11-02|516.0|0|516.0|0|11.0|0|0.0|100
0|2021-11-03|520.0|0|520.0|0|11.0|0|0.0|100
0|2021-11-04|525.0|0|525.0|0|11.0|0|0.0|100
0|2021-11-05|527.0|0|527.0|0|11.0|0|0.0|100
0|2021-11-06|528.0|0|528.0|0|11.0|0|0.0|100
0|2021-11-07|528.0|0|528.0|0|11.0|0|0.0|100
0|2021-11-08|528.0|0|528.0|0|11.0|0|0.0|100
0|2021-11-09|529.0|0|529.0|0|11.0|0|0.0|100
0|2021-11-10|536.0|0|536.0|0|11.0|0|0.0|100
0|2021-11-11|539.0|0|539.0|0|11.0|0|0.0|100
0|2021-11-12|543.0|0|543.0|0|11.0|0|0.0|100
0|2021-11-13|547.0|0|547.0|0|11.0|0|0.0|100
0|2021-11-14|550.0|0|550.0|0|12.0|0|0.0|100
0|2021-11-15|553.0|0|553.0|0|12.0|0|0.0|100
0|2021-11-16|555.0|0|555.0|0|13.0|0|0.0|100
0|2021-11-17|558.0|0|558.0|0|13.0|0|0.0|100
0|2021-11-18|566.0|0|566.0|0|13.0|0|0.0|100
0|2021-11-19|568.0|0|568.0|0|13.0|0|0.0|100
0|2021-11-20|571.0|0|571.0|0|13.0|0|0.0|100
0|2021-11-21|571.0|0|571.0|0|13.0|0|0.0|100
0|2021-11-22|573.0|0|573.0|0|13.0|0|0.0|100
0|2021-11-23|576.0|0|576.0|0|13.0|0|0.0|100
0|2021-11-24|584.0|0|584.0|0|13.0|0|0.0|100
0|2021-11-25|585.0|0|585.0|0|13.0|0|0.0|100
0|2021-11-26|588.0|0|588.0|0|13.0|0|0.0|100
0|2021-11-27|588.0|0|590.0|0|13.0|0|0.0|100
0|2021-11-28|590.0|0|590.0|0|13.0|0|0.0|100
0|2021-11-29|590.0|0|590.0|0|13.0|0|0.0|100
0|2021-11-30|592.0|0|592.0|0|13.0|0|0.0|100
0|2021-12-01|596.0|0|596.0|0|13.0|0|0.0|100
0|2021-12-02|599.0|0|599.0|0|13.0|0|0.0|100
0|2021-12-03|602.0|0|602.0|0|13.0|0|0.0|100
0|2021-12-04|602.0|0|602.0|0|13.0|0|0.0|100
0|2021-12-05|602.0|0|602.0|0|13.0|0|0.0|100
0|2021-12-06|602.0|0|602.0|0|13.0|0|0.0|100
0|2021-12-07|604.0|0|604.0|0|13.0|0|0.0|100
0|2021-12-08|606.0|0|606.0|0|13.0|0|0.0|100
0|2021-12-09|607.0|0|607.0|0|13.0|0|0.0|100
0|2021-12-10|612.0|0|612.0|0|13.0|0|0.0|100
0|2021-12-11|616.0|0|616.0|0|13.0|0|0.0|100
0|2021-12-12|617.0|0|617.0|0|13.0|0|0.0|100
0|2021-12-13|618.0|0|618.0|0|13.0|0|0.0|100
0|2021-12-14|618.0|0|618.0|0|13.0|0|0.0|100
0|2021-12-15|623.0|0|623.0|0|13.0|0|0.0|100
0|2021-12-16|625.0|0|625.0|0|13.0|0|0.0|100
0|2021-12-17|626.0|0|626.0|0|13.0|0|0.0|100
0|2021-12-18|632.0|0|632.0|0|13.0|0|0.0|100
0|2021-12-19|633.0|0|633.0|0|13.0|0|0.0|100
0|2021-12-20|633.0|0|633.0|0|13.0|0|0.0|100
0|2021-12-21|633.0|0|633.0|0|13.0|0|0.0|100
0|2021-12-22|635.0|0|635.0|0|13.0|0|0.0|100
