|dates|Caroline_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Caroline_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Caroline_Virginia_UnitedStates.Male_Total_Population.data|Caroline_Virginia_UnitedStates.Male_Total_Population.missing|Caroline_Virginia_UnitedStates.Female_Total_Population.data|Caroline_Virginia_UnitedStates.Female_Total_Population.missing|Caroline_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Caroline_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-18|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-19|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-20|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-21|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-22|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-23|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-24|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-25|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-26|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-27|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-28|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-29|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-30|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-10-31|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-01|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-02|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-03|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-04|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-05|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-06|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-07|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-08|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-09|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-10|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-11|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-12|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-13|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-14|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-15|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-16|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-17|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-18|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-19|5050.0|0|15214.0|0|15558.0|0|7079.0|0
