|dates|Catron_NewMexico_UnitedStates.AveragePrecipitationTotal.data|Catron_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|Catron_NewMexico_UnitedStates.AveragePrecipitation.data|Catron_NewMexico_UnitedStates.AveragePrecipitation.missing|Catron_NewMexico_UnitedStates.AverageWindDirection.data|Catron_NewMexico_UnitedStates.AverageWindDirection.missing|Catron_NewMexico_UnitedStates.AverageWindSpeed.data|Catron_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|125.83333333333333|0|4.375|0
0|2021-10-18|0.0|0|0.0|0|192.5|0|9.166666666666666|0
0|2021-10-19|0.0|0|0.0|0|252.91666666666666|0|9.416666666666666|0
0|2021-10-20|0.0|0|0.0|0|130.41666666666666|0|3.8333333333333335|0
0|2021-10-21|0.0|0|0.0|0|120.41666666666667|0|3.2916666666666665|0
0|2021-10-22|0.0|0|0.0|0|137.5|0|5.041666666666667|0
0|2021-10-23|0.0|0|0.0|0|147.91666666666666|0|7.791666666666667|0
0|2021-10-24|0.0|0|0.0|0|182.08333333333334|0|6.958333333333333|0
0|2021-10-25|0.0|0|0.0|0|135.41666666666666|0|5.375|0
0|2021-10-26|0.0|0|0.0004166666666666667|0|255.41666666666666|0|17.770833333333332|0
0|2021-10-27|0.0004166666666666667|0|0.0|0|235.83333333333334|0|7.125|0
0|2021-10-28|0.0|0|0.0|0|157.08333333333334|0|4.916666666666667|0
0|2021-10-29|0.0|0|0.0|0|151.66666666666666|0|3.7916666666666665|0
0|2021-10-30|0.0|0|0.0|0|172.91666666666666|0|5.0|0
0|2021-10-31|0.0|0|0.0|0|135.83333333333334|0|5.666666666666667|0
0|2021-11-01|0.0|0|0.0|0|151.66666666666666|0|5.833333333333333|0
0|2021-11-02|0.0|0|0.0|0|157.08333333333334|0|4.041666666666667|0
0|2021-11-03|0.0|0|0.0|0|135.41666666666666|0|3.4583333333333335|0
0|2021-11-04|0.0|0|0.0|0|138.75|0|3.7083333333333335|0
0|2021-11-05|0.0|0|0.0|0|85.0|0|3.125|0
0|2021-11-06|0.0|0|0.0|0|152.5|0|5.375|0
0|2021-11-07|0.0|0|0.0|0|120.83333333333333|0|5.0|0
0|2021-11-08|0.0|0|0.0|0|161.66666666666666|0|6.041666666666667|0
0|2021-11-09|0.0|0|0.0|0|134.58333333333334|0|4.625|0
0|2021-11-10|0.0|0|0.0|0|208.75|0|6.958333333333333|0
0|2021-11-11|0.0|0|0.0|0|176.66666666666666|0|3.875|0
0|2021-11-12|0.0|0|0.0|0|130.625|0|3.5625|0
0|2021-11-13|0.0|0|0.0|0|160.83333333333334|0|4.0|0
0|2021-11-14|0.0|0|0.0|0|161.66666666666666|0|4.208333333333333|0
0|2021-11-15|0.0|0|0.0|0|104.58333333333333|0|3.7083333333333335|0
0|2021-11-16|0.0|0|0.0|0|161.66666666666666|0|8.416666666666666|0
0|2021-11-17|0.0|0|0.0|0|142.5|0|4.416666666666667|0
0|2021-11-18|0.0|0|0.0|0|127.5|0|3.4166666666666665|0
0|2021-11-19|0.0|0|0.0|0|142.5|0|5.395833333333333|0
0|2021-11-20|0.0|0|0.0|0|103.75|0|4.395833333333333|0
0|2021-11-21|0.0|0|0.0|0|82.91666666666667|0|2.4166666666666665|0
0|2021-11-22|0.0|0|0.0|0|125.41666666666667|0|2.875|0
0|2021-11-23|0.0|0|0.002916666666666667|0|192.5|0|4.833333333333333|0
