|dates|Charlton_Georgia_UnitedStates.AverageDailyTemperature.data|Charlton_Georgia_UnitedStates.AverageDailyTemperature.missing|Charlton_Georgia_UnitedStates.AverageDewPoint.data|Charlton_Georgia_UnitedStates.AverageDewPoint.missing|Charlton_Georgia_UnitedStates.AverageRelativeHumidity.data|Charlton_Georgia_UnitedStates.AverageRelativeHumidity.missing|Charlton_Georgia_UnitedStates.AverageSurfaceAirPressure.data|Charlton_Georgia_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|63.125|0|52.208333333333336|0|69.04166666666667|0|30.02791666666667|0
0|2021-10-18|61.958333333333336|0|52.958333333333336|0|73.95833333333333|0|30.10083333333333|0
0|2021-10-19|64.75|0|55.833333333333336|0|75.0|0|30.157916666666665|0
0|2021-10-20|67.625|0|60.375|0|79.95833333333333|0|30.185833333333324|0
0|2021-10-21|70.375|0|62.666666666666664|0|78.79166666666667|0|30.116250000000004|0
0|2021-10-22|72.95833333333333|0|65.41666666666667|0|79.45833333333333|0|29.99208333333334|0
0|2021-10-23|70.375|0|60.791666666666664|0|74.95833333333333|0|29.980416666666667|0
0|2021-10-24|70.83333333333333|0|64.45833333333333|0|81.95833333333333|0|30.016041666666666|0
0|2021-10-25|75.45833333333333|0|72.83888888888889|0|91.9263888888889|0|29.861208333333327|0
0|2021-10-26|70.75|0|61.583333333333336|0|75.79166666666667|0|29.800833333333333|0
0|2021-10-27|63.3125|0|58.0|0|84.3125|0|29.820208333333344|0
0|2021-10-28|67.325|0|65.6138888888889|0|94.22777777777777|0|29.677763888888894|0
0|2021-10-29|64.16666666666667|0|54.458333333333336|0|71.91666666666667|0|29.624166666666664|0
0|2021-10-30|58.041666666666664|0|51.0|0|78.91666666666667|0|29.716666666666665|0
0|2021-10-31|56.354166666666664|0|51.354166666666664|0|84.625|0|29.933333333333326|0
0|2021-11-01|59.5|0|53.875|0|83.75|0|30.100416666666664|0
0|2021-11-02|65.54166666666667|0|59.958333333333336|0|83.91666666666667|0|30.101250000000007|0
0|2021-11-03|61.645833333333336|0|58.5625|0|90.0|0|30.098125|0
0|2021-11-04|60.479166666666664|0|56.541666666666664|0|87.47916666666667|0|30.074791666666673|0
0|2021-11-05|53.611111111111114|0|51.520833333333336|0|92.73611111111113|0|30.044444444444448|0
0|2021-11-06|47.71180555555555|0|46.25694444444445|0|94.80208333333333|0|29.934062500000007|0
0|2021-11-07|54.34375|0|48.885416666666664|0|83.11458333333333|0|30.01302083333334|0
0|2021-11-08|54.541666666666664|0|43.208333333333336|0|70.16666666666667|0|30.165416666666673|0
0|2021-11-09|56.625|0|47.166666666666664|0|73.83333333333333|0|30.202916666666653|0
0|2021-11-10|61.125|0|53.75|0|78.75|0|30.12958333333334|0
0|2021-11-11|67.72916666666667|0|63.895833333333336|0|88.39583333333333|0|30.034166666666664|0
0|2021-11-12|65.08333333333333|0|61.479166666666664|0|89.125|0|30.017083333333332|0
0|2021-11-13|59.34097222222223|0|54.989583333333336|0|86.91666666666667|0|29.947673611111114|0
0|2021-11-14|51.583333333333336|0|41.333333333333336|0|71.66666666666667|0|30.033333333333335|0
0|2021-11-15|52.75|0|41.875|0|71.41666666666667|0|30.151250000000005|0
0|2021-11-16|54.708333333333336|0|42.708333333333336|0|69.625|0|30.208333333333343|0
0|2021-11-17|61.458333333333336|0|55.854166666666664|0|84.20833333333333|0|30.219583333333347|0
0|2021-11-18|66.8888888888889|0|62.770833333333336|0|87.52777777777779|0|30.160277777777775|0
0|2021-11-19|62.864583333333336|0|55.791666666666664|0|78.79166666666667|0|30.203125|0
0|2021-11-20|59.25|0|55.270833333333336|0|86.75|0|30.248333333333335|0
0|2021-11-21|62.291666666666664|0|59.479166666666664|0|90.85416666666667|0|30.13875|0
0|2021-11-22|61.88194444444445|0|57.31944444444445|0|86.04166666666667|0|29.918784722222217|0
0|2021-11-23|48.25|0|33.666666666666664|0|59.791666666666664|0|30.12666666666667|0
0|2021-11-24|50.291666666666664|0|41.458333333333336|0|72.875|0|30.29749999999999|0
0|2021-11-25|56.666666666666664|0|50.708333333333336|0|82.5|0|30.1875|0
0|2021-11-26|54.40277777777777|0|48.98611111111111|0|83.125|0|30.004722222222217|0
0|2021-11-27|46.583333333333336|0|35.333333333333336|0|68.58333333333333|0|30.074166666666674|0
0|2021-11-28|51.875|0|41.833333333333336|0|71.33333333333333|0|30.016250000000003|0
0|2021-11-29|51.375|0|40.666666666666664|0|71.16666666666667|0|30.029583333333335|0
0|2021-11-30|49.333333333333336|0|40.166666666666664|0|75.79166666666667|0|30.156666666666663|0
0|2021-12-01|54.791666666666664|0|46.625|0|77.58333333333333|0|30.160833333333333|0
0|2021-12-02|56.27777777777777|0|48.38888888888889|0|78.41666666666667|0|30.092500000000005|0
0|2021-12-03|59.5|0|53.354166666666664|0|82.9375|0|30.06770833333334|0
0|2021-12-04|57.64930555555555|0|53.6875|0|88.56944444444444|0|30.099722222222223|0
0|2021-12-05|58.3763888888889|0|54.22222222222223|0|88.22361111111111|0|30.122430555555557|0
0|2021-12-06|63.30138888888889|0|57.46805555555556|0|83.5|0|30.050638888888884|0
