|dates|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Chesterfield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Chesterfield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7112.0|0|7112.0|0|143.0|0|0.0|100
0|2021-10-18|7150.0|0|7150.0|0|144.0|0|0.0|100
0|2021-10-19|7155.0|0|7155.0|0|144.0|0|0.0|100
0|2021-10-20|7163.0|0|7163.0|0|144.0|0|0.0|100
0|2021-10-21|7174.0|0|7174.0|0|144.0|0|0.0|100
0|2021-10-22|7186.0|0|7186.0|0|144.0|0|0.0|100
0|2021-10-23|7186.0|0|7186.0|0|144.0|0|0.0|100
0|2021-10-24|7186.0|0|7186.0|0|144.0|0|0.0|100
0|2021-10-25|7210.0|0|7210.0|0|144.0|0|0.0|100
0|2021-10-26|7217.0|0|7217.0|0|144.0|0|0.0|100
0|2021-10-27|7228.0|0|7228.0|0|144.0|0|0.0|100
0|2021-10-28|7242.0|0|7242.0|0|144.0|0|0.0|100
0|2021-10-29|7256.0|0|7256.0|0|144.0|0|0.0|100
0|2021-10-30|7256.0|0|7256.0|0|144.0|0|0.0|100
0|2021-10-31|7256.0|0|7256.0|0|144.0|0|0.0|100
0|2021-11-01|7288.0|0|7288.0|0|144.0|0|0.0|100
0|2021-11-02|7297.0|0|7297.0|0|144.0|0|0.0|100
0|2021-11-03|7299.0|0|7299.0|0|144.0|0|0.0|100
0|2021-11-04|7328.0|0|7328.0|0|144.0|0|0.0|100
0|2021-11-05|7353.0|0|7353.0|0|144.0|0|0.0|100
0|2021-11-06|7353.0|0|7353.0|0|144.0|0|0.0|100
0|2021-11-07|7353.0|0|7353.0|0|144.0|0|0.0|100
0|2021-11-08|7375.0|0|7375.0|0|144.0|0|0.0|100
0|2021-11-09|7380.0|0|7380.0|0|144.0|0|0.0|100
0|2021-11-10|7380.0|0|7388.0|0|144.0|0|0.0|100
0|2021-11-11|7388.0|0|7388.0|0|144.0|0|0.0|100
0|2021-11-12|7406.0|0|7406.0|0|144.0|0|0.0|100
0|2021-11-13|7406.0|0|7406.0|0|144.0|0|0.0|100
0|2021-11-14|7406.0|0|7406.0|0|144.0|0|0.0|100
0|2021-11-15|7423.0|0|7423.0|0|144.0|0|0.0|100
0|2021-11-16|7428.0|0|7428.0|0|145.0|0|0.0|100
0|2021-11-17|7441.0|0|7441.0|0|145.0|0|0.0|100
0|2021-11-18|7443.0|0|7443.0|0|145.0|0|0.0|100
0|2021-11-19|7450.0|0|7450.0|0|145.0|0|0.0|100
0|2021-11-20|7450.0|0|7450.0|0|145.0|0|0.0|100
0|2021-11-21|7450.0|0|7450.0|0|145.0|0|0.0|100
0|2021-11-22|7480.0|0|7480.0|0|146.0|0|0.0|100
0|2021-11-23|7484.0|0|7484.0|0|146.0|0|0.0|100
0|2021-11-24|7490.0|0|7490.0|0|146.0|0|0.0|100
0|2021-11-25|7490.0|0|7490.0|0|146.0|0|0.0|100
0|2021-11-26|7500.0|0|7500.0|0|147.0|0|0.0|100
0|2021-11-27|7500.0|0|7500.0|0|147.0|0|0.0|100
0|2021-11-28|7500.0|0|7500.0|0|147.0|0|0.0|100
0|2021-11-29|7540.0|0|7540.0|0|147.0|0|0.0|100
0|2021-11-30|7548.0|0|7548.0|0|147.0|0|0.0|100
0|2021-12-01|7551.0|0|7551.0|0|147.0|0|0.0|100
0|2021-12-02|7561.0|0|7561.0|0|149.0|0|0.0|100
0|2021-12-03|7584.0|0|7584.0|0|149.0|0|0.0|100
0|2021-12-04|7584.0|0|7584.0|0|149.0|0|0.0|100
0|2021-12-05|7584.0|0|7584.0|0|149.0|0|0.0|100
0|2021-12-06|7612.0|0|7612.0|0|149.0|0|0.0|100
0|2021-12-07|7617.0|0|7617.0|0|149.0|0|0.0|100
0|2021-12-08|7630.0|0|7630.0|0|149.0|0|0.0|100
0|2021-12-09|7656.0|0|7656.0|0|149.0|0|0.0|100
0|2021-12-10|7670.0|0|7670.0|0|151.0|0|0.0|100
0|2021-12-11|7670.0|0|7670.0|0|151.0|0|0.0|100
0|2021-12-12|7670.0|0|7670.0|0|151.0|0|0.0|100
0|2021-12-13|7708.0|0|7708.0|0|151.0|0|0.0|100
0|2021-12-14|7708.0|0|7724.0|0|151.0|0|0.0|100
0|2021-12-15|7736.0|0|7736.0|0|153.0|0|0.0|100
0|2021-12-16|7747.0|0|7747.0|0|153.0|0|0.0|100
0|2021-12-17|7760.0|0|7760.0|0|153.0|0|0.0|100
0|2021-12-18|7760.0|0|7760.0|0|153.0|0|0.0|100
0|2021-12-19|7760.0|0|7760.0|0|153.0|0|0.0|100
0|2021-12-20|7828.0|0|7828.0|0|153.0|0|0.0|100
0|2021-12-21|7838.0|0|7838.0|0|153.0|0|0.0|100
0|2021-12-22|7876.0|0|7876.0|0|154.0|0|0.0|100
0|2021-12-23|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-24|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-25|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-26|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-27|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-28|7912.0|0|7912.0|0|155.0|0|0.0|100
0|2021-12-29|8015.0|0|8015.0|0|157.0|0|0.0|100
0|2021-12-30|8056.0|0|8056.0|0|158.0|0|0.0|100
0|2021-12-31|8115.0|0|8115.0|0|158.0|0|0.0|100
0|2022-01-01|8115.0|0|8115.0|0|158.0|0|0.0|100
0|2022-01-02|8115.0|0|8115.0|0|158.0|0|0.0|100
0|2022-01-03|8115.0|0|8115.0|0|158.0|0|0.0|100
0|2022-01-04|8302.0|0|8302.0|0|162.0|0|0.0|100
0|2022-01-05|8373.0|0|8373.0|0|162.0|0|0.0|100
0|2022-01-06|8488.0|0|8488.0|0|162.0|0|0.0|100
0|2022-01-07|8538.0|0|8538.0|0|162.0|0|0.0|100
0|2022-01-08|8538.0|0|8538.0|0|162.0|0|0.0|100
0|2022-01-09|8538.0|0|8538.0|0|162.0|0|0.0|100
0|2022-01-10|8796.0|0|8796.0|0|162.0|0|0.0|100
0|2022-01-11|8851.0|0|8851.0|0|162.0|0|0.0|100
0|2022-01-12|8940.0|0|8940.0|0|163.0|0|0.0|100
0|2022-01-13|8940.0|0|9080.0|0|163.0|0|0.0|100
0|2022-01-14|9236.0|0|9236.0|0|164.0|0|0.0|100
0|2022-01-15|9236.0|0|9236.0|0|164.0|0|0.0|100
0|2022-01-16|9236.0|0|9236.0|0|164.0|0|0.0|100
