|dates|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Choctaw_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Choctaw_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1330.0|0|1330.0|0|26.0|0|0.0|100
0|2021-10-18|1330.0|0|1330.0|0|26.0|0|0.0|100
0|2021-10-19|1333.0|0|1333.0|0|26.0|0|0.0|100
0|2021-10-20|1333.0|0|1333.0|0|26.0|0|0.0|100
0|2021-10-21|1334.0|0|1334.0|0|26.0|0|0.0|100
0|2021-10-22|1334.0|0|1334.0|0|26.0|0|0.0|100
0|2021-10-23|1334.0|0|1334.0|0|26.0|0|0.0|100
0|2021-10-24|1334.0|0|1334.0|0|26.0|0|0.0|100
0|2021-10-25|1333.0|0|1333.0|0|26.0|0|0.0|100
0|2021-10-26|1346.0|0|1346.0|0|27.0|0|0.0|100
0|2021-10-27|1345.0|0|1345.0|0|27.0|0|0.0|100
0|2021-10-28|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-10-29|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-10-30|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-10-31|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-11-01|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-11-02|1347.0|0|1347.0|0|27.0|0|0.0|100
0|2021-11-03|1346.0|0|1346.0|0|27.0|0|0.0|100
0|2021-11-04|1349.0|0|1349.0|0|27.0|0|0.0|100
0|2021-11-05|1352.0|0|1352.0|0|27.0|0|0.0|100
0|2021-11-06|1352.0|0|1352.0|0|27.0|0|0.0|100
0|2021-11-07|1352.0|0|1352.0|0|27.0|0|0.0|100
0|2021-11-08|1353.0|0|1353.0|0|27.0|0|0.0|100
0|2021-11-09|1355.0|0|1355.0|0|27.0|0|0.0|100
0|2021-11-10|1355.0|0|1356.0|0|27.0|0|0.0|100
0|2021-11-11|1356.0|0|1356.0|0|27.0|0|0.0|100
0|2021-11-12|1356.0|0|1356.0|0|27.0|0|0.0|100
0|2021-11-13|1356.0|0|1356.0|0|27.0|0|0.0|100
0|2021-11-14|1356.0|0|1356.0|0|27.0|0|0.0|100
0|2021-11-15|1357.0|0|1357.0|0|27.0|0|0.0|100
0|2021-11-16|1359.0|0|1359.0|0|27.0|0|0.0|100
0|2021-11-17|1358.0|0|1358.0|0|27.0|0|0.0|100
0|2021-11-18|1359.0|0|1359.0|0|27.0|0|0.0|100
0|2021-11-19|1364.0|0|1364.0|0|27.0|0|0.0|100
0|2021-11-20|1364.0|0|1364.0|0|27.0|0|0.0|100
0|2021-11-21|1364.0|0|1364.0|0|27.0|0|0.0|100
0|2021-11-22|1364.0|0|1364.0|0|27.0|0|0.0|100
0|2021-11-23|1364.0|0|1364.0|0|27.0|0|0.0|100
0|2021-11-24|1365.0|0|1365.0|0|27.0|0|0.0|100
0|2021-11-25|1365.0|0|1365.0|0|27.0|0|0.0|100
0|2021-11-26|1365.0|0|1365.0|0|27.0|0|0.0|100
0|2021-11-27|1365.0|0|1365.0|0|27.0|0|0.0|100
0|2021-11-28|1365.0|0|1365.0|0|27.0|0|0.0|100
0|2021-11-29|1367.0|0|1367.0|0|27.0|0|0.0|100
0|2021-11-30|1367.0|0|1367.0|0|27.0|0|0.0|100
0|2021-12-01|1369.0|0|1369.0|0|27.0|0|0.0|100
0|2021-12-02|1369.0|0|1370.0|0|27.0|0|0.0|100
0|2021-12-03|1370.0|0|1370.0|0|27.0|0|0.0|100
0|2021-12-04|1370.0|0|1370.0|0|27.0|0|0.0|100
0|2021-12-05|1370.0|0|1370.0|0|27.0|0|0.0|100
0|2021-12-06|1378.0|0|1378.0|0|27.0|0|0.0|100
0|2021-12-07|1380.0|0|1380.0|0|27.0|0|0.0|100
0|2021-12-08|1380.0|0|1380.0|0|27.0|0|0.0|100
0|2021-12-09|1384.0|0|1384.0|0|27.0|0|0.0|100
0|2021-12-10|1384.0|0|1384.0|0|27.0|0|0.0|100
0|2021-12-11|1384.0|0|1384.0|0|27.0|0|0.0|100
0|2021-12-12|1384.0|0|1384.0|0|27.0|0|0.0|100
0|2021-12-13|1385.0|0|1385.0|0|27.0|0|0.0|100
0|2021-12-14|1385.0|0|1385.0|0|27.0|0|0.0|100
0|2021-12-15|1387.0|0|1387.0|0|27.0|0|0.0|100
0|2021-12-16|1390.0|0|1390.0|0|27.0|0|0.0|100
0|2021-12-17|1391.0|0|1391.0|0|27.0|0|0.0|100
0|2021-12-18|1391.0|0|1391.0|0|27.0|0|0.0|100
0|2021-12-19|1391.0|0|1391.0|0|27.0|0|0.0|100
0|2021-12-20|1392.0|0|1392.0|0|27.0|0|0.0|100
0|2021-12-21|1393.0|0|1393.0|0|27.0|0|0.0|100
0|2021-12-22|1394.0|0|1394.0|0|27.0|0|0.0|100
0|2021-12-23|1394.0|0|1394.0|0|27.0|0|0.0|100
0|2021-12-24|1394.0|0|1394.0|0|27.0|0|0.0|100
0|2021-12-25|1394.0|0|1394.0|0|27.0|0|0.0|100
0|2021-12-26|1394.0|0|1394.0|0|27.0|0|0.0|100
0|2021-12-27|1400.0|0|1400.0|0|27.0|0|0.0|100
0|2021-12-28|1403.0|0|1403.0|0|27.0|0|0.0|100
0|2021-12-29|1407.0|0|1407.0|0|27.0|0|0.0|100
0|2021-12-30|1413.0|0|1413.0|0|27.0|0|0.0|100
0|2021-12-31|1413.0|0|1413.0|0|27.0|0|0.0|100
0|2022-01-01|1413.0|0|1413.0|0|27.0|0|0.0|100
0|2022-01-02|1413.0|0|1413.0|0|27.0|0|0.0|100
0|2022-01-03|1438.0|0|1438.0|0|27.0|0|0.0|100
0|2022-01-04|1447.0|0|1447.0|0|27.0|0|0.0|100
0|2022-01-05|1458.0|0|1458.0|0|27.0|0|0.0|100
0|2022-01-06|1469.0|0|1469.0|0|27.0|0|0.0|100
0|2022-01-07|1473.0|0|1473.0|0|27.0|0|0.0|100
0|2022-01-08|1473.0|0|1473.0|0|27.0|0|0.0|100
0|2022-01-09|1473.0|0|1473.0|0|27.0|0|0.0|100
0|2022-01-10|1473.0|0|1483.0|0|27.0|0|0.0|100
0|2022-01-11|1509.0|0|1509.0|0|27.0|0|0.0|100
0|2022-01-12|1509.0|0|1531.0|0|27.0|0|0.0|100
0|2022-01-13|1509.0|0|1572.0|0|27.0|0|0.0|100
0|2022-01-14|1583.0|0|1583.0|0|27.0|0|0.0|100
0|2022-01-15|1583.0|0|1583.0|0|27.0|0|0.0|100
0|2022-01-16|1583.0|0|1583.0|0|27.0|0|0.0|100
0|2022-01-17|1583.0|0|0.0|100|27.0|0|0.0|100
