|dates|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clarendon_SouthCarolina_UnitedStates.Male_Total_Population.data|Clarendon_SouthCarolina_UnitedStates.Male_Total_Population.missing|Clarendon_SouthCarolina_UnitedStates.Female_Total_Population.data|Clarendon_SouthCarolina_UnitedStates.Female_Total_Population.missing|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-18|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-19|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-20|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-21|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-22|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-23|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-24|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-25|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-26|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-27|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-28|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-29|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-30|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-10-31|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-01|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-02|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-03|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-04|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-05|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-06|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-07|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-08|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-09|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-10|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-11|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-12|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-13|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-14|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-15|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-16|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-17|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2021-11-18|7914.0|0|16548.0|0|17152.0|0|6479.0|0
