|dates|Clay_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Clay_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Clay_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Clay_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Clay_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Clay_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1181.0|0|1181.0|0|17.0|0|0.0|100
0|2021-10-18|1187.0|0|1187.0|0|17.0|0|0.0|100
0|2021-10-19|1187.0|0|1187.0|0|17.0|0|0.0|100
0|2021-10-20|1190.0|0|1190.0|0|18.0|0|0.0|100
0|2021-10-21|1203.0|0|1203.0|0|18.0|0|0.0|100
0|2021-10-22|1206.0|0|1206.0|0|19.0|0|0.0|100
0|2021-10-23|1211.0|0|1211.0|0|19.0|0|0.0|100
0|2021-10-24|1218.0|0|1218.0|0|19.0|0|0.0|100
0|2021-10-25|1223.0|0|1223.0|0|19.0|0|0.0|100
0|2021-10-26|1224.0|0|1224.0|0|19.0|0|0.0|100
0|2021-10-27|1227.0|0|1227.0|0|20.0|0|0.0|100
0|2021-10-28|1235.0|0|1235.0|0|20.0|0|0.0|100
0|2021-10-29|1238.0|0|1238.0|0|20.0|0|0.0|100
0|2021-10-30|1241.0|0|1241.0|0|20.0|0|0.0|100
0|2021-10-31|1250.0|0|1250.0|0|20.0|0|0.0|100
0|2021-11-01|1260.0|0|1260.0|0|20.0|0|0.0|100
0|2021-11-02|1258.0|0|1258.0|0|20.0|0|0.0|100
0|2021-11-03|1259.0|0|1259.0|0|20.0|0|0.0|100
0|2021-11-04|1271.0|0|1271.0|0|20.0|0|0.0|100
0|2021-11-05|1281.0|0|1281.0|0|20.0|0|0.0|100
0|2021-11-06|1289.0|0|1289.0|0|20.0|0|0.0|100
0|2021-11-07|1291.0|0|1291.0|0|20.0|0|0.0|100
0|2021-11-08|1293.0|0|1293.0|0|20.0|0|0.0|100
0|2021-11-09|1293.0|0|1293.0|0|20.0|0|0.0|100
0|2021-11-10|1294.0|0|1294.0|0|20.0|0|0.0|100
0|2021-11-11|1305.0|0|1305.0|0|20.0|0|0.0|100
0|2021-11-12|1314.0|0|1314.0|0|20.0|0|0.0|100
0|2021-11-13|1319.0|0|1319.0|0|20.0|0|0.0|100
0|2021-11-14|1327.0|0|1327.0|0|20.0|0|0.0|100
0|2021-11-15|1330.0|0|1330.0|0|20.0|0|0.0|100
0|2021-11-16|1330.0|0|1330.0|0|20.0|0|0.0|100
0|2021-11-17|1332.0|0|1332.0|0|21.0|0|0.0|100
0|2021-11-18|1345.0|0|1345.0|0|21.0|0|0.0|100
0|2021-11-19|1353.0|0|1353.0|0|21.0|0|0.0|100
0|2021-11-20|1358.0|0|1358.0|0|21.0|0|0.0|100
0|2021-11-21|1359.0|0|1359.0|0|21.0|0|0.0|100
0|2021-11-22|1363.0|0|1363.0|0|21.0|0|0.0|100
0|2021-11-23|1368.0|0|1368.0|0|21.0|0|0.0|100
0|2021-11-24|1368.0|0|1368.0|0|22.0|0|0.0|100
0|2021-11-25|1368.0|0|1368.0|0|22.0|0|0.0|100
0|2021-11-26|1368.0|0|1368.0|0|22.0|0|0.0|100
0|2021-11-27|1368.0|0|1368.0|0|22.0|0|0.0|100
0|2021-11-28|1368.0|0|1368.0|0|22.0|0|0.0|100
0|2021-11-29|1386.0|0|1386.0|0|21.0|0|0.0|100
0|2021-11-30|1390.0|0|1390.0|0|22.0|0|0.0|100
0|2021-12-01|1393.0|0|1393.0|0|23.0|0|0.0|100
0|2021-12-02|1404.0|0|1404.0|0|23.0|0|0.0|100
0|2021-12-03|1413.0|0|1413.0|0|23.0|0|0.0|100
0|2021-12-04|1419.0|0|1419.0|0|23.0|0|0.0|100
0|2021-12-05|1422.0|0|1422.0|0|23.0|0|0.0|100
0|2021-12-06|1427.0|0|1427.0|0|23.0|0|0.0|100
0|2021-12-07|1427.0|0|1427.0|0|24.0|0|0.0|100
0|2021-12-08|1426.0|0|1426.0|0|24.0|0|0.0|100
0|2021-12-09|1441.0|0|1441.0|0|24.0|0|0.0|100
