|dates|Clermont_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clermont_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clermont_Ohio_UnitedStates.Male_Total_Population.data|Clermont_Ohio_UnitedStates.Male_Total_Population.missing|Clermont_Ohio_UnitedStates.Female_Total_Population.data|Clermont_Ohio_UnitedStates.Female_Total_Population.missing|Clermont_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Clermont_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-18|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-19|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-20|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-21|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-22|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-23|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-24|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-25|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-26|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-27|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-28|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-29|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-30|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-10-31|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-01|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-02|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-03|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-04|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-05|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-06|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-07|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-08|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-09|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-10|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-11|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-12|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-13|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-14|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-15|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-16|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-17|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2021-11-18|33533.0|0|101344.0|0|104122.0|0|47330.0|0
