|dates|Clinton_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Clinton_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Clinton_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Clinton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Clinton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1973.0|0|2172.0|0|32.0|0|0.0|100
0|2021-10-18|1986.0|0|2172.0|0|32.0|0|0.0|100
0|2021-10-19|1989.0|0|2178.0|0|32.0|0|0.0|100
0|2021-10-20|1993.0|0|2189.0|0|32.0|0|0.0|100
0|2021-10-21|1998.0|0|2201.0|0|32.0|0|0.0|100
0|2021-10-22|2003.0|0|2201.0|0|32.0|0|0.0|100
0|2021-10-23|2003.0|0|2204.0|0|32.0|0|0.0|100
0|2021-10-24|2003.0|0|2204.0|0|32.0|0|0.0|100
0|2021-10-25|2021.0|0|2212.0|0|32.0|0|0.0|100
0|2021-10-26|2036.0|0|2222.0|0|32.0|0|0.0|100
0|2021-10-27|2051.0|0|2222.0|0|32.0|0|0.0|100
0|2021-10-28|2066.0|0|2246.0|0|32.0|0|0.0|100
0|2021-10-29|2099.0|0|2246.0|0|33.0|0|0.0|100
0|2021-10-30|2099.0|0|2263.0|0|33.0|0|0.0|100
0|2021-10-31|2099.0|0|2263.0|0|33.0|0|0.0|100
0|2021-11-01|2103.0|0|2265.0|0|33.0|0|0.0|100
0|2021-11-02|2105.0|0|2265.0|0|33.0|0|0.0|100
0|2021-11-03|2113.0|0|2267.0|0|33.0|0|0.0|100
0|2021-11-04|2116.0|0|2277.0|0|33.0|0|0.0|100
0|2021-11-05|2129.0|0|2294.0|0|33.0|0|0.0|100
0|2021-11-06|2129.0|0|2294.0|0|33.0|0|0.0|100
0|2021-11-07|2129.0|0|2294.0|0|33.0|0|0.0|100
0|2021-11-08|2146.0|0|2294.0|0|33.0|0|0.0|100
0|2021-11-09|2160.0|0|2303.0|0|33.0|0|0.0|100
0|2021-11-10|2160.0|0|2314.0|0|33.0|0|0.0|100
0|2021-11-11|2172.0|0|2315.0|0|33.0|0|0.0|100
0|2021-11-12|2180.0|0|2315.0|0|33.0|0|0.0|100
0|2021-11-13|2180.0|0|2324.0|0|33.0|0|0.0|100
0|2021-11-14|2180.0|0|2324.0|0|33.0|0|0.0|100
0|2021-11-15|2187.0|0|2324.0|0|33.0|0|0.0|100
0|2021-11-16|2189.0|0|2329.0|0|33.0|0|0.0|100
0|2021-11-17|2200.0|0|2341.0|0|33.0|0|0.0|100
0|2021-11-18|2205.0|0|2350.0|0|33.0|0|0.0|100
0|2021-11-19|2205.0|0|2350.0|0|34.0|0|0.0|100
0|2021-11-20|2205.0|0|2354.0|0|34.0|0|0.0|100
0|2021-11-21|2205.0|0|2354.0|0|34.0|0|0.0|100
0|2021-11-22|2223.0|0|2354.0|0|34.0|0|0.0|100
0|2021-11-23|2228.0|0|2356.0|0|34.0|0|0.0|100
0|2021-11-24|2238.0|0|2373.0|0|34.0|0|0.0|100
0|2021-11-25|2238.0|0|2382.0|0|34.0|0|0.0|100
0|2021-11-26|2238.0|0|2382.0|0|34.0|0|0.0|100
0|2021-11-27|2238.0|0|2382.0|0|34.0|0|0.0|100
0|2021-11-28|2238.0|0|2382.0|0|34.0|0|0.0|100
0|2021-11-29|2264.0|0|2393.0|0|34.0|0|0.0|100
0|2021-11-30|2277.0|0|2393.0|0|34.0|0|0.0|100
0|2021-12-01|2292.0|0|2412.0|0|34.0|0|0.0|100
0|2021-12-02|2292.0|0|2433.0|0|34.0|0|0.0|100
0|2021-12-03|2317.0|0|2445.0|0|35.0|0|0.0|100
0|2021-12-04|2317.0|0|2451.0|0|35.0|0|0.0|100
0|2021-12-05|2317.0|0|2451.0|0|35.0|0|0.0|100
0|2021-12-06|2332.0|0|2461.0|0|35.0|0|0.0|100
0|2021-12-07|2338.0|0|2471.0|0|35.0|0|0.0|100
0|2021-12-08|2359.0|0|2471.0|0|36.0|0|0.0|100
0|2021-12-09|2377.0|0|2482.0|0|36.0|0|0.0|100
0|2021-12-10|2381.0|0|2495.0|0|38.0|0|0.0|100
0|2021-12-11|2381.0|0|2495.0|0|38.0|0|0.0|100
