|dates|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.data|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Cole_Missouri_UnitedStates.NYT_ConfirmedCases.data|Cole_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12793.0|0|12793.0|0|170.0|0|0.0|100
0|2021-10-18|12795.0|0|12795.0|0|170.0|0|0.0|100
0|2021-10-19|12806.0|0|12806.0|0|171.0|0|0.0|100
0|2021-10-20|12820.0|0|12820.0|0|171.0|0|0.0|100
0|2021-10-21|12834.0|0|12834.0|0|171.0|0|0.0|100
0|2021-10-22|12842.0|0|12842.0|0|171.0|0|0.0|100
0|2021-10-23|12854.0|0|12854.0|0|171.0|0|0.0|100
0|2021-10-24|12859.0|0|12859.0|0|171.0|0|0.0|100
0|2021-10-25|12866.0|0|12866.0|0|171.0|0|0.0|100
0|2021-10-26|12880.0|0|12880.0|0|172.0|0|0.0|100
0|2021-10-27|12898.0|0|12898.0|0|172.0|0|0.0|100
0|2021-10-28|12909.0|0|12909.0|0|172.0|0|0.0|100
0|2021-10-29|12927.0|0|12927.0|0|172.0|0|0.0|100
0|2021-10-30|12946.0|0|12946.0|0|172.0|0|0.0|100
0|2021-10-31|12950.0|0|12950.0|0|172.0|0|0.0|100
0|2021-11-01|12956.0|0|12956.0|0|172.0|0|0.0|100
0|2021-11-02|13080.0|0|13080.0|0|173.0|0|0.0|100
0|2021-11-03|13099.0|0|13099.0|0|173.0|0|0.0|100
0|2021-11-04|13122.0|0|13122.0|0|173.0|0|0.0|100
0|2021-11-05|13135.0|0|13135.0|0|173.0|0|0.0|100
0|2021-11-06|13149.0|0|13149.0|0|173.0|0|0.0|100
0|2021-11-07|13158.0|0|13158.0|0|173.0|0|0.0|100
0|2021-11-08|13165.0|0|13165.0|0|173.0|0|0.0|100
0|2021-11-09|13196.0|0|13196.0|0|173.0|0|0.0|100
0|2021-11-10|13212.0|0|13212.0|0|173.0|0|0.0|100
0|2021-11-11|13212.0|0|13212.0|0|173.0|0|0.0|100
0|2021-11-12|13262.0|0|13262.0|0|173.0|0|0.0|100
0|2021-11-13|13279.0|0|13279.0|0|173.0|0|0.0|100
0|2021-11-14|13283.0|0|13283.0|0|173.0|0|0.0|100
0|2021-11-15|13284.0|0|13284.0|0|173.0|0|0.0|100
0|2021-11-16|13315.0|0|13315.0|0|175.0|0|0.0|100
0|2021-11-17|13352.0|0|13352.0|0|175.0|0|0.0|100
0|2021-11-18|13546.0|0|13546.0|0|176.0|0|0.0|100
0|2021-11-19|13572.0|0|13572.0|0|176.0|0|0.0|100
0|2021-11-20|13585.0|0|13585.0|0|176.0|0|0.0|100
0|2021-11-21|13592.0|0|13592.0|0|176.0|0|0.0|100
0|2021-11-22|13610.0|0|13610.0|0|175.0|0|0.0|100
0|2021-11-23|13636.0|0|13636.0|0|175.0|0|0.0|100
0|2021-11-24|13656.0|0|13656.0|0|175.0|0|0.0|100
0|2021-11-25|13656.0|0|13656.0|0|175.0|0|0.0|100
0|2021-11-26|13656.0|0|13656.0|0|175.0|0|0.0|100
0|2021-11-27|13656.0|0|13656.0|0|175.0|0|0.0|100
0|2021-11-28|13656.0|0|13656.0|0|175.0|0|0.0|100
0|2021-11-29|13737.0|0|13737.0|0|175.0|0|0.0|100
0|2021-11-30|13765.0|0|13765.0|0|176.0|0|0.0|100
0|2021-12-01|13811.0|0|13811.0|0|176.0|0|0.0|100
0|2021-12-02|13863.0|0|13863.0|0|232.0|0|0.0|100
0|2021-12-03|13863.0|0|13863.0|0|232.0|0|0.0|100
0|2021-12-04|13906.0|0|13906.0|0|232.0|0|0.0|100
0|2021-12-05|13927.0|0|13927.0|0|232.0|0|0.0|100
0|2021-12-06|13978.0|0|13978.0|0|232.0|0|0.0|100
0|2021-12-07|14010.0|0|14010.0|0|233.0|0|0.0|100
0|2021-12-08|14043.0|0|14043.0|0|233.0|0|0.0|100
0|2021-12-09|14080.0|0|14080.0|0|233.0|0|0.0|100
0|2021-12-10|14108.0|0|14108.0|0|233.0|0|0.0|100
0|2021-12-11|14125.0|0|14125.0|0|233.0|0|0.0|100
0|2021-12-12|14134.0|0|14134.0|0|233.0|0|0.0|100
0|2021-12-13|14139.0|0|14139.0|0|233.0|0|0.0|100
0|2021-12-14|14139.0|0|14182.0|0|233.0|0|0.0|100
0|2021-12-15|14233.0|0|14233.0|0|234.0|0|0.0|100
0|2021-12-16|14304.0|0|14304.0|0|234.0|0|0.0|100
0|2021-12-17|14330.0|0|14330.0|0|233.0|0|0.0|100
0|2021-12-18|14354.0|0|14354.0|0|233.0|0|0.0|100
0|2021-12-19|14365.0|0|14365.0|0|233.0|0|0.0|100
0|2021-12-20|14374.0|0|14374.0|0|233.0|0|0.0|100
0|2021-12-21|14403.0|0|14403.0|0|234.0|0|0.0|100
0|2021-12-22|14435.0|0|14435.0|0|234.0|0|0.0|100
0|2021-12-23|14478.0|0|14478.0|0|234.0|0|0.0|100
0|2021-12-24|14478.0|0|14478.0|0|234.0|0|0.0|100
0|2021-12-25|14478.0|0|14478.0|0|234.0|0|0.0|100
0|2021-12-26|14478.0|0|14478.0|0|234.0|0|0.0|100
0|2021-12-27|14545.0|0|14545.0|0|234.0|0|0.0|100
0|2021-12-28|14601.0|0|14601.0|0|236.0|0|0.0|100
0|2021-12-29|14664.0|0|14664.0|0|236.0|0|0.0|100
0|2021-12-30|14748.0|0|14748.0|0|235.0|0|0.0|100
0|2021-12-31|14748.0|0|14748.0|0|235.0|0|0.0|100
0|2022-01-01|14748.0|0|14748.0|0|235.0|0|0.0|100
0|2022-01-02|14748.0|0|14748.0|0|235.0|0|0.0|100
0|2022-01-03|14748.0|0|14912.0|0|235.0|0|0.0|100
0|2022-01-04|14987.0|0|14987.0|0|242.0|0|0.0|100
0|2022-01-05|15106.0|0|15106.0|0|242.0|0|0.0|100
0|2022-01-06|15232.0|0|15232.0|0|242.0|0|0.0|100
0|2022-01-07|15387.0|0|15387.0|0|242.0|0|0.0|100
0|2022-01-08|15517.0|0|15517.0|0|242.0|0|0.0|100
0|2022-01-09|15545.0|0|15545.0|0|242.0|0|0.0|100
