|dates|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.missing|ColonialHeights_Virginia_UnitedStates.NYT_ConfirmedCases.data|ColonialHeights_Virginia_UnitedStates.NYT_ConfirmedCases.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2548.0|0|2548.0|0|64.0|0|0.0|100
0|2021-10-18|2557.0|0|2557.0|0|64.0|0|0.0|100
0|2021-10-19|2563.0|0|2563.0|0|65.0|0|0.0|100
0|2021-10-20|2561.0|0|2561.0|0|65.0|0|0.0|100
0|2021-10-21|2565.0|0|2565.0|0|65.0|0|0.0|100
0|2021-10-22|2568.0|0|2568.0|0|65.0|0|0.0|100
0|2021-10-23|2568.0|0|2568.0|0|65.0|0|0.0|100
0|2021-10-24|2568.0|0|2568.0|0|65.0|0|0.0|100
0|2021-10-25|2584.0|0|2584.0|0|65.0|0|0.0|100
0|2021-10-26|2584.0|0|2584.0|0|66.0|0|0.0|100
0|2021-10-27|2588.0|0|2588.0|0|66.0|0|0.0|100
0|2021-10-28|2589.0|0|2589.0|0|66.0|0|0.0|100
0|2021-10-29|2597.0|0|2597.0|0|66.0|0|0.0|100
0|2021-10-30|2597.0|0|2597.0|0|66.0|0|0.0|100
0|2021-10-31|2597.0|0|2597.0|0|66.0|0|0.0|100
0|2021-11-01|2602.0|0|2602.0|0|66.0|0|0.0|100
0|2021-11-02|2606.0|0|2606.0|0|66.0|0|0.0|100
0|2021-11-03|2609.0|0|2609.0|0|66.0|0|0.0|100
0|2021-11-04|2612.0|0|2612.0|0|66.0|0|0.0|100
0|2021-11-05|2615.0|0|2615.0|0|66.0|0|0.0|100
0|2021-11-06|2615.0|0|2615.0|0|66.0|0|0.0|100
0|2021-11-07|2615.0|0|2615.0|0|66.0|0|0.0|100
0|2021-11-08|2620.0|0|2620.0|0|66.0|0|0.0|100
0|2021-11-09|2622.0|0|2622.0|0|67.0|0|0.0|100
0|2021-11-10|2622.0|0|2625.0|0|67.0|0|0.0|100
0|2021-11-11|2628.0|0|2628.0|0|67.0|0|0.0|100
0|2021-11-12|2628.0|0|2628.0|0|67.0|0|0.0|100
0|2021-11-13|2628.0|0|2628.0|0|67.0|0|0.0|100
0|2021-11-14|2628.0|0|2628.0|0|67.0|0|0.0|100
0|2021-11-15|2634.0|0|2634.0|0|68.0|0|0.0|100
0|2021-11-16|2638.0|0|2638.0|0|68.0|0|0.0|100
0|2021-11-17|2641.0|0|2641.0|0|68.0|0|0.0|100
0|2021-11-18|2644.0|0|2644.0|0|68.0|0|0.0|100
0|2021-11-19|2646.0|0|2646.0|0|69.0|0|0.0|100
0|2021-11-20|2646.0|0|2646.0|0|69.0|0|0.0|100
0|2021-11-21|2646.0|0|2646.0|0|69.0|0|0.0|100
0|2021-11-22|2655.0|0|2655.0|0|69.0|0|0.0|100
0|2021-11-23|2656.0|0|2656.0|0|69.0|0|0.0|100
0|2021-11-24|2664.0|0|2664.0|0|69.0|0|0.0|100
0|2021-11-25|2667.0|0|2667.0|0|69.0|0|0.0|100
0|2021-11-26|2670.0|0|2670.0|0|69.0|0|0.0|100
0|2021-11-27|2670.0|0|2670.0|0|69.0|0|0.0|100
0|2021-11-28|2670.0|0|2670.0|0|69.0|0|0.0|100
0|2021-11-29|2684.0|0|2684.0|0|69.0|0|0.0|100
0|2021-11-30|2687.0|0|2687.0|0|69.0|0|0.0|100
0|2021-12-01|2691.0|0|2691.0|0|69.0|0|0.0|100
0|2021-12-02|2695.0|0|2695.0|0|69.0|0|0.0|100
0|2021-12-03|2700.0|0|2700.0|0|69.0|0|0.0|100
0|2021-12-04|2700.0|0|2700.0|0|69.0|0|0.0|100
0|2021-12-05|2700.0|0|2700.0|0|69.0|0|0.0|100
0|2021-12-06|2722.0|0|2722.0|0|70.0|0|0.0|100
0|2021-12-07|2729.0|0|2729.0|0|70.0|0|0.0|100
0|2021-12-08|2731.0|0|2731.0|0|70.0|0|0.0|100
0|2021-12-09|2738.0|0|2738.0|0|70.0|0|0.0|100
0|2021-12-10|2740.0|0|2740.0|0|70.0|0|0.0|100
0|2021-12-11|2740.0|0|2740.0|0|70.0|0|0.0|100
0|2021-12-12|2740.0|0|2740.0|0|70.0|0|0.0|100
0|2021-12-13|2756.0|0|2756.0|0|70.0|0|0.0|100
0|2021-12-14|2756.0|0|2766.0|0|70.0|0|0.0|100
0|2021-12-15|2772.0|0|2772.0|0|70.0|0|0.0|100
0|2021-12-16|2784.0|0|2784.0|0|70.0|0|0.0|100
0|2021-12-17|2785.0|0|2785.0|0|70.0|0|0.0|100
0|2021-12-18|2785.0|0|2785.0|0|70.0|0|0.0|100
