|dates|Colusa_California_UnitedStates.JHU_ConfirmedCases.data|Colusa_California_UnitedStates.JHU_ConfirmedCases.missing|Colusa_California_UnitedStates.NYT_ConfirmedCases.data|Colusa_California_UnitedStates.NYT_ConfirmedCases.missing|Colusa_California_UnitedStates.JHU_ConfirmedDeaths.data|Colusa_California_UnitedStates.JHU_ConfirmedDeaths.missing|Colusa_California_UnitedStates.JHU_ConfirmedRecoveries.data|Colusa_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3062.0|0|3017.0|0|18.0|0|0.0|100
0|2021-10-18|3071.0|0|3028.0|0|18.0|0|0.0|100
0|2021-10-19|3076.0|0|3030.0|0|18.0|0|0.0|100
0|2021-10-20|3085.0|0|3033.0|0|18.0|0|0.0|100
0|2021-10-21|3090.0|0|3072.0|0|18.0|0|0.0|100
0|2021-10-22|3096.0|0|3076.0|0|18.0|0|0.0|100
0|2021-10-23|3096.0|0|3076.0|0|18.0|0|0.0|100
0|2021-10-24|3096.0|0|3076.0|0|18.0|0|0.0|100
0|2021-10-25|3111.0|0|3076.0|0|18.0|0|0.0|100
0|2021-10-26|3119.0|0|3089.0|0|18.0|0|0.0|100
0|2021-10-27|3122.0|0|3096.0|0|18.0|0|0.0|100
0|2021-10-28|3127.0|0|3116.0|0|18.0|0|0.0|100
0|2021-10-29|3129.0|0|3120.0|0|19.0|0|0.0|100
0|2021-10-30|3130.0|0|3120.0|0|19.0|0|0.0|100
0|2021-10-31|3139.0|0|3120.0|0|19.0|0|0.0|100
0|2021-11-01|3140.0|0|3129.0|0|18.0|0|0.0|100
0|2021-11-02|3145.0|0|3130.0|0|19.0|0|0.0|100
0|2021-11-03|3147.0|0|3133.0|0|19.0|0|0.0|100
0|2021-11-04|3149.0|0|3147.0|0|20.0|0|0.0|100
0|2021-11-05|3149.0|0|3149.0|0|19.0|0|0.0|100
0|2021-11-06|3149.0|0|3149.0|0|19.0|0|0.0|100
0|2021-11-07|3149.0|0|3149.0|0|19.0|0|0.0|100
0|2021-11-08|3159.0|0|3159.0|0|19.0|0|0.0|100
0|2021-11-09|3162.0|0|3162.0|0|19.0|0|0.0|100
0|2021-11-10|3162.0|0|3165.0|0|19.0|0|0.0|100
0|2021-11-11|3178.0|0|3178.0|0|19.0|0|0.0|100
0|2021-11-12|3178.0|0|3178.0|0|19.0|0|0.0|100
0|2021-11-13|3182.0|0|3182.0|0|19.0|0|0.0|100
0|2021-11-14|3182.0|0|3182.0|0|19.0|0|0.0|100
0|2021-11-15|3192.0|0|3192.0|0|19.0|0|0.0|100
0|2021-11-16|3195.0|0|3195.0|0|19.0|0|0.0|100
0|2021-11-17|3198.0|0|3198.0|0|19.0|0|0.0|100
