|dates|Crawford_Iowa_UnitedStates.AveragePrecipitationTotal.data|Crawford_Iowa_UnitedStates.AveragePrecipitationTotal.missing|Crawford_Iowa_UnitedStates.AveragePrecipitation.data|Crawford_Iowa_UnitedStates.AveragePrecipitation.missing|Crawford_Iowa_UnitedStates.AverageWindDirection.data|Crawford_Iowa_UnitedStates.AverageWindDirection.missing|Crawford_Iowa_UnitedStates.AverageWindSpeed.data|Crawford_Iowa_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|104.6875|0|4.395833333333333|0
0|2021-10-18|0.0|0|0.0|0|127.8125|0|8.166666666666666|0
0|2021-10-19|0.0|0|0.0|0|164.47916666666666|0|12.104166666666666|0
0|2021-10-20|0.0|0|0.0|0|228.85416666666666|0|13.59375|0
0|2021-10-21|0.0|0|0.0|0|260.0|0|11.010416666666666|0
0|2021-10-22|0.0|0|0.0|0|52.291666666666664|0|3.53125|0
0|2021-10-23|0.0|0|0.0|0|77.39583333333333|0|9.510416666666666|0
0|2021-10-24|0.0|0|0.04223958333333333|0|63.333333333333336|0|13.619791666666666|0
0|2021-10-25|0.0|0|0.0|0|71.66666666666667|0|6.088541666666667|0
0|2021-10-26|0.0|0|0.0|0|130.36458333333334|0|12.265625|0
0|2021-10-27|0.0|0|0.014375000000000004|0|108.64583333333333|0|9.333333333333334|0
0|2021-10-28|0.0|0|0.011875000000000005|0|269.5833333333333|0|15.28125|0
0|2021-10-29|0.0|0|0.0|0|247.39583333333334|0|11.875|0
0|2021-10-30|0.0|0|0.0|0|157.8125|0|6.260416666666667|0
0|2021-10-31|0.0|0|0.0|0|241.77083333333334|0|9.260416666666666|0
0|2021-11-01|0.0|0|0.0|0|124.16666666666667|0|3.1041666666666665|0
0|2021-11-02|0.0|0|0.0|0|90.0|0|2.9479166666666665|0
0|2021-11-03|0.0|0|0.0|0|121.25|0|5.270833333333333|0
0|2021-11-04|0.0|0|0.0|0|164.0625|0|8.989583333333334|0
0|2021-11-05|0.0|0|0.0|0|186.25|0|17.114583333333332|0
0|2021-11-06|0.0|0|0.0|0|184.47916666666666|0|9.375|0
0|2021-11-07|0.0|0|0.0|0|152.76041666666666|0|9.276041666666666|0
0|2021-11-08|0.0|0|0.0|0|26.354166666666668|0|8.6875|0
0|2021-11-09|0.0|0|0.0|0|54.84375|0|8.635416666666666|0
0|2021-11-10|0.0|0|0.0|0|127.39583333333333|0|8.739583333333334|0
0|2021-11-11|0.0|0|0.0|0|219.0625|0|15.302083333333334|0
0|2021-11-12|0.0|0|0.0|0|303.75|0|21.479166666666668|0
0|2021-11-13|0.0|0|0.0|0|249.47916666666666|0|11.291666666666666|0
0|2021-11-14|0.0|0|0.0|0|252.60416666666666|0|11.322916666666666|0
0|2021-11-15|0.0|0|0.0|0|92.5|0|7.21875|0
0|2021-11-16|0.0|0|0.0008333333333333334|0|144.79166666666666|0|9.8125|0
0|2021-11-17|0.0|0|0.0|0|314.3229166666667|0|13.619791666666666|0
0|2021-11-18|0.0|0|0.0|0|226.5625|0|9.09375|0
