|dates|Crockett_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Crockett_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Crockett_Texas_UnitedStates.Male_Total_Population.data|Crockett_Texas_UnitedStates.Male_Total_Population.missing|Crockett_Texas_UnitedStates.Female_Total_Population.data|Crockett_Texas_UnitedStates.Female_Total_Population.missing|Crockett_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Crockett_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-18|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-19|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-20|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-21|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-22|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-23|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-24|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-25|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-26|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-27|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-28|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-29|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-30|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-10-31|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-01|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-02|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-03|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-04|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-05|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-06|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-07|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-08|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-09|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-10|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-11|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-12|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-13|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-14|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-15|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-16|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-17|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-18|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-19|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-20|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-21|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-22|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-23|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-24|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-25|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-26|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-27|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-28|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-29|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-11-30|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-01|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-02|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-03|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-04|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-05|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-06|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-07|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-08|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-09|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-10|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-11|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-12|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-13|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-14|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-15|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-16|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-17|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-18|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-19|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-20|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-21|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-22|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-23|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-24|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-25|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-26|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-27|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-28|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-29|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-30|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2021-12-31|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-01|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-02|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-03|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-04|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-05|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-06|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-07|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-08|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-09|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-10|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-11|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-12|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-13|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-14|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-15|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-16|620.0|0|1747.0|0|1752.0|0|857.0|0
0|2022-01-17|620.0|0|1747.0|0|1752.0|0|857.0|0
