|dates|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Cumberland_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|44099.0|0|44099.0|0|451.0|0|0.0|100
0|2021-10-18|44333.0|0|44333.0|0|452.0|0|0.0|100
0|2021-10-19|44378.0|0|44378.0|0|453.0|0|0.0|100
0|2021-10-20|44531.0|0|44531.0|0|453.0|0|0.0|100
0|2021-10-21|44682.0|0|44682.0|0|462.0|0|0.0|100
0|2021-10-22|44878.0|0|44878.0|0|462.0|0|0.0|100
0|2021-10-23|44878.0|0|44878.0|0|462.0|0|0.0|100
0|2021-10-24|44878.0|0|44878.0|0|462.0|0|0.0|100
0|2021-10-25|45159.0|0|45159.0|0|462.0|0|0.0|100
0|2021-10-26|45252.0|0|45252.0|0|463.0|0|0.0|100
0|2021-10-27|45421.0|0|45421.0|0|464.0|0|0.0|100
0|2021-10-28|45521.0|0|45521.0|0|464.0|0|0.0|100
0|2021-10-29|45623.0|0|45623.0|0|473.0|0|0.0|100
0|2021-10-30|45623.0|0|45623.0|0|473.0|0|0.0|100
0|2021-10-31|45623.0|0|45623.0|0|473.0|0|0.0|100
0|2021-11-01|45790.0|0|45790.0|0|473.0|0|0.0|100
0|2021-11-02|45845.0|0|45845.0|0|474.0|0|0.0|100
0|2021-11-03|45898.0|0|45898.0|0|478.0|0|0.0|100
0|2021-11-04|46033.0|0|46033.0|0|478.0|0|0.0|100
0|2021-11-05|46163.0|0|46163.0|0|478.0|0|0.0|100
0|2021-11-06|46163.0|0|46163.0|0|478.0|0|0.0|100
0|2021-11-07|46163.0|0|46163.0|0|478.0|0|0.0|100
0|2021-11-08|46417.0|0|46417.0|0|481.0|0|0.0|100
0|2021-11-09|46493.0|0|46493.0|0|481.0|0|0.0|100
0|2021-11-10|46623.0|0|46623.0|0|487.0|0|0.0|100
0|2021-11-11|46623.0|0|46623.0|0|487.0|0|0.0|100
0|2021-11-12|46820.0|0|46820.0|0|487.0|0|0.0|100
0|2021-11-13|46820.0|0|46820.0|0|487.0|0|0.0|100
0|2021-11-14|46820.0|0|46820.0|0|487.0|0|0.0|100
0|2021-11-15|46918.0|0|46918.0|0|487.0|0|0.0|100
0|2021-11-16|46955.0|0|46955.0|0|487.0|0|0.0|100
0|2021-11-17|47018.0|0|47018.0|0|487.0|0|0.0|100
0|2021-11-18|47077.0|0|47077.0|0|487.0|0|0.0|100
0|2021-11-19|47140.0|0|47140.0|0|487.0|0|0.0|100
0|2021-11-20|47140.0|0|47140.0|0|487.0|0|0.0|100
0|2021-11-21|47140.0|0|47140.0|0|487.0|0|0.0|100
0|2021-11-22|47272.0|0|47272.0|0|491.0|0|0.0|100
0|2021-11-23|47313.0|0|47313.0|0|491.0|0|0.0|100
0|2021-11-24|47367.0|0|47367.0|0|491.0|0|0.0|100
0|2021-11-25|47367.0|0|47367.0|0|491.0|0|0.0|100
0|2021-11-26|47367.0|0|47367.0|0|491.0|0|0.0|100
0|2021-11-27|47367.0|0|47367.0|0|491.0|0|0.0|100
0|2021-11-28|47367.0|0|47367.0|0|491.0|0|0.0|100
0|2021-11-29|47576.0|0|47576.0|0|498.0|0|0.0|100
0|2021-11-30|47642.0|0|47642.0|0|498.0|0|0.0|100
0|2021-12-01|47746.0|0|47746.0|0|498.0|0|0.0|100
0|2021-12-02|47879.0|0|47879.0|0|498.0|0|0.0|100
0|2021-12-03|48042.0|0|48042.0|0|499.0|0|0.0|100
0|2021-12-04|48042.0|0|48042.0|0|499.0|0|0.0|100
0|2021-12-05|48042.0|0|48042.0|0|499.0|0|0.0|100
0|2021-12-06|48285.0|0|48285.0|0|499.0|0|0.0|100
