|dates|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cumberland_NorthCarolina_UnitedStates.Male_Total_Population.data|Cumberland_NorthCarolina_UnitedStates.Male_Total_Population.missing|Cumberland_NorthCarolina_UnitedStates.Female_Total_Population.data|Cumberland_NorthCarolina_UnitedStates.Female_Total_Population.missing|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-18|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-19|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-20|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-21|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-22|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-23|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-24|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-25|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-26|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-27|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-28|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-29|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-30|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-10-31|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-01|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-02|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-03|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-04|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-05|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-06|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-07|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-08|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-09|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-10|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-11|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-12|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-13|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-14|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-15|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-16|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-17|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-18|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-19|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-20|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-21|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-22|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-23|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-24|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-25|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-26|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-27|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-28|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-29|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-11-30|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-01|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-02|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-03|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-04|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-05|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-06|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-07|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-08|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-09|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-10|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-11|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-12|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-13|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-14|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-15|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-16|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2021-12-17|39617.0|0|164493.0|0|167837.0|0|82119.0|0
