|dates|Dakota_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Dakota_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Dakota_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Dakota_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Dakota_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Dakota_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Dakota_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Dakota_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-18|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-19|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-20|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-21|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-22|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-23|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-24|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-25|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-26|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-27|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-28|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-29|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-30|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-10-31|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-11-01|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-11-02|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-11-03|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-11-04|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
0|2021-11-05|10097.0|0|271.0|0|2.6138117283950617|0|10368.0|0
