|dates|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Dale_Alabama_UnitedStates.NYT_ConfirmedCases.data|Dale_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8864.0|0|8864.0|0|181.0|0|0.0|100
0|2021-10-18|8866.0|0|8866.0|0|181.0|0|0.0|100
0|2021-10-19|8873.0|0|8873.0|0|184.0|0|0.0|100
0|2021-10-20|8874.0|0|8874.0|0|185.0|0|0.0|100
0|2021-10-21|8880.0|0|8880.0|0|185.0|0|0.0|100
0|2021-10-22|8884.0|0|8884.0|0|185.0|0|0.0|100
0|2021-10-23|8897.0|0|8897.0|0|185.0|0|0.0|100
0|2021-10-24|8900.0|0|8900.0|0|185.0|0|0.0|100
0|2021-10-25|8904.0|0|8904.0|0|185.0|0|0.0|100
0|2021-10-26|8912.0|0|8912.0|0|186.0|0|0.0|100
0|2021-10-27|8929.0|0|8929.0|0|186.0|0|0.0|100
0|2021-10-28|8936.0|0|8936.0|0|186.0|0|0.0|100
0|2021-10-29|8939.0|0|8939.0|0|187.0|0|0.0|100
0|2021-10-30|8943.0|0|8943.0|0|187.0|0|0.0|100
0|2021-10-31|8944.0|0|8944.0|0|187.0|0|0.0|100
0|2021-11-01|8945.0|0|8945.0|0|187.0|0|0.0|100
0|2021-11-02|8954.0|0|8954.0|0|188.0|0|0.0|100
0|2021-11-03|8954.0|0|8954.0|0|188.0|0|0.0|100
0|2021-11-04|8952.0|0|8952.0|0|188.0|0|0.0|100
0|2021-11-05|8955.0|0|8955.0|0|187.0|0|0.0|100
0|2021-11-06|8959.0|0|8959.0|0|186.0|0|0.0|100
0|2021-11-07|8963.0|0|8963.0|0|186.0|0|0.0|100
0|2021-11-08|8962.0|0|8962.0|0|186.0|0|0.0|100
0|2021-11-09|8971.0|0|8971.0|0|186.0|0|0.0|100
0|2021-11-10|8975.0|0|8975.0|0|186.0|0|0.0|100
0|2021-11-11|8984.0|0|8984.0|0|188.0|0|0.0|100
0|2021-11-12|8988.0|0|8988.0|0|188.0|0|0.0|100
0|2021-11-13|8986.0|0|8986.0|0|189.0|0|0.0|100
0|2021-11-14|8987.0|0|8987.0|0|189.0|0|0.0|100
0|2021-11-15|8992.0|0|8992.0|0|189.0|0|0.0|100
0|2021-11-16|8998.0|0|8998.0|0|190.0|0|0.0|100
0|2021-11-17|9005.0|0|9005.0|0|190.0|0|0.0|100
0|2021-11-18|9004.0|0|9004.0|0|191.0|0|0.0|100
0|2021-11-19|9006.0|0|9006.0|0|191.0|0|0.0|100
0|2021-11-20|9004.0|0|9004.0|0|191.0|0|0.0|100
0|2021-11-21|9005.0|0|9005.0|0|191.0|0|0.0|100
0|2021-11-22|9007.0|0|9007.0|0|191.0|0|0.0|100
0|2021-11-23|9011.0|0|9011.0|0|191.0|0|0.0|100
0|2021-11-24|9011.0|0|9011.0|0|191.0|0|0.0|100
0|2021-11-25|9013.0|0|9013.0|0|191.0|0|0.0|100
0|2021-11-26|9013.0|0|9013.0|0|191.0|0|0.0|100
0|2021-11-27|9018.0|0|9018.0|0|191.0|0|0.0|100
0|2021-11-28|9018.0|0|9018.0|0|191.0|0|0.0|100
0|2021-11-29|9020.0|0|9020.0|0|191.0|0|0.0|100
0|2021-11-30|9024.0|0|9024.0|0|192.0|0|0.0|100
0|2021-12-01|9030.0|0|9030.0|0|192.0|0|0.0|100
0|2021-12-02|9035.0|0|9035.0|0|192.0|0|0.0|100
0|2021-12-03|9038.0|0|9038.0|0|192.0|0|0.0|100
0|2021-12-04|9044.0|0|9044.0|0|192.0|0|0.0|100
0|2021-12-05|9045.0|0|9045.0|0|192.0|0|0.0|100
0|2021-12-06|9049.0|0|9049.0|0|192.0|0|0.0|100
0|2021-12-07|9052.0|0|9052.0|0|192.0|0|0.0|100
0|2021-12-08|9063.0|0|9063.0|0|192.0|0|0.0|100
0|2021-12-09|9066.0|0|9066.0|0|192.0|0|0.0|100
0|2021-12-10|9072.0|0|9072.0|0|192.0|0|0.0|100
0|2021-12-11|9080.0|0|9080.0|0|193.0|0|0.0|100
0|2021-12-12|9083.0|0|9083.0|0|193.0|0|0.0|100
