|dates|Dallas_Texas_UnitedStates.JHU_ConfirmedCases.data|Dallas_Texas_UnitedStates.JHU_ConfirmedCases.missing|Dallas_Texas_UnitedStates.NYT_ConfirmedCases.data|Dallas_Texas_UnitedStates.NYT_ConfirmedCases.missing|Dallas_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Dallas_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Dallas_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Dallas_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|398928.0|0|398928.0|0|5173.0|0|0.0|100
0|2021-10-18|399401.0|0|398928.0|0|5172.0|0|0.0|100
0|2021-10-19|400449.0|0|399401.0|0|5185.0|0|0.0|100
0|2021-10-20|401005.0|0|400449.0|0|5206.0|0|0.0|100
0|2021-10-21|401467.0|0|401005.0|0|5228.0|0|0.0|100
0|2021-10-22|402023.0|0|401467.0|0|5259.0|0|0.0|100
0|2021-10-23|402023.0|0|402022.0|0|5273.0|0|0.0|100
0|2021-10-24|402023.0|0|402022.0|0|5279.0|0|0.0|100
0|2021-10-25|402626.0|0|402022.0|0|5280.0|0|0.0|100
0|2021-10-26|403180.0|0|402626.0|0|5288.0|0|0.0|100
0|2021-10-27|403180.0|0|403180.0|0|5304.0|0|0.0|100
0|2021-10-28|404096.0|0|403749.0|0|5319.0|0|0.0|100
0|2021-10-29|404096.0|0|404096.0|0|5339.0|0|0.0|100
0|2021-10-30|404637.0|0|404637.0|0|5348.0|0|0.0|100
0|2021-10-31|404637.0|0|404637.0|0|5356.0|0|0.0|100
0|2021-11-01|405166.0|0|404637.0|0|5357.0|0|0.0|100
0|2021-11-02|405166.0|0|405166.0|0|5367.0|0|0.0|100
0|2021-11-03|406345.0|0|406078.0|0|5389.0|0|0.0|100
0|2021-11-04|406345.0|0|406345.0|0|5402.0|0|0.0|100
0|2021-11-05|406656.0|0|406656.0|0|5415.0|0|0.0|100
0|2021-11-06|406656.0|0|406656.0|0|5426.0|0|0.0|100
0|2021-11-07|406991.0|0|406991.0|0|5433.0|0|0.0|100
0|2021-11-08|406991.0|0|406991.0|0|5434.0|0|0.0|100
0|2021-11-09|407391.0|0|407391.0|0|5442.0|0|0.0|100
0|2021-11-10|408241.0|0|407391.0|0|5442.0|0|0.0|100
0|2021-11-11|408586.0|0|408586.0|0|5469.0|0|0.0|100
0|2021-11-12|408920.0|0|408920.0|0|5495.0|0|0.0|100
0|2021-11-13|409318.0|0|409318.0|0|5504.0|0|0.0|100
0|2021-11-14|409318.0|0|409318.0|0|5508.0|0|0.0|100
