|dates|Decatur_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Decatur_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Decatur_Kansas_UnitedStates.Male_Total_Population.data|Decatur_Kansas_UnitedStates.Male_Total_Population.missing|Decatur_Kansas_UnitedStates.Female_Total_Population.data|Decatur_Kansas_UnitedStates.Female_Total_Population.missing|Decatur_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Decatur_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-18|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-19|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-20|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-21|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-22|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-23|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-24|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-25|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-26|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-27|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-28|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-29|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-30|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-10-31|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-01|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-02|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-03|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-04|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-05|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-06|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-07|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-08|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-09|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2021-11-10|808.0|0|1443.0|0|1428.0|0|558.0|0
