|dates|DelNorte_California_UnitedStates.JHU_ConfirmedCases.data|DelNorte_California_UnitedStates.JHU_ConfirmedCases.missing|DelNorte_California_UnitedStates.NYT_ConfirmedCases.data|DelNorte_California_UnitedStates.NYT_ConfirmedCases.missing|DelNorte_California_UnitedStates.JHU_ConfirmedDeaths.data|DelNorte_California_UnitedStates.JHU_ConfirmedDeaths.missing|DelNorte_California_UnitedStates.JHU_ConfirmedRecoveries.data|DelNorte_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3573.0|0|3657.0|0|41.0|0|0.0|100
0|2021-10-18|3576.0|0|3669.0|0|41.0|0|0.0|100
0|2021-10-19|3578.0|0|3672.0|0|41.0|0|0.0|100
0|2021-10-20|3583.0|0|3676.0|0|42.0|0|0.0|100
0|2021-10-21|3587.0|0|3685.0|0|42.0|0|0.0|100
0|2021-10-22|3588.0|0|3691.0|0|42.0|0|0.0|100
0|2021-10-23|3588.0|0|3691.0|0|42.0|0|0.0|100
0|2021-10-24|3588.0|0|3691.0|0|42.0|0|0.0|100
0|2021-10-25|3610.0|0|3703.0|0|42.0|0|0.0|100
0|2021-10-26|3611.0|0|3703.0|0|42.0|0|0.0|100
0|2021-10-27|3619.0|0|3713.0|0|42.0|0|0.0|100
0|2021-10-28|3622.0|0|3720.0|0|42.0|0|0.0|100
0|2021-10-29|3622.0|0|3720.0|0|42.0|0|0.0|100
0|2021-10-30|3622.0|0|3720.0|0|42.0|0|0.0|100
0|2021-10-31|3640.0|0|3725.0|0|42.0|0|0.0|100
0|2021-11-01|3643.0|0|3737.0|0|42.0|0|0.0|100
0|2021-11-02|3645.0|0|3742.0|0|42.0|0|0.0|100
0|2021-11-03|3649.0|0|3749.0|0|42.0|0|0.0|100
0|2021-11-04|3656.0|0|3750.0|0|42.0|0|0.0|100
0|2021-11-05|3656.0|0|3750.0|0|42.0|0|0.0|100
0|2021-11-06|3656.0|0|3750.0|0|42.0|0|0.0|100
0|2021-11-07|3656.0|0|3750.0|0|42.0|0|0.0|100
0|2021-11-08|3666.0|0|3764.0|0|42.0|0|0.0|100
0|2021-11-09|3668.0|0|3766.0|0|42.0|0|0.0|100
0|2021-11-10|3668.0|0|3769.0|0|42.0|0|0.0|100
0|2021-11-11|3672.0|0|3769.0|0|42.0|0|0.0|100
0|2021-11-12|3672.0|0|3769.0|0|42.0|0|0.0|100
0|2021-11-13|3679.0|0|3769.0|0|42.0|0|0.0|100
0|2021-11-14|3679.0|0|3769.0|0|42.0|0|0.0|100
0|2021-11-15|3679.0|0|3776.0|0|42.0|0|0.0|100
0|2021-11-16|3680.0|0|3776.0|0|42.0|0|0.0|100
0|2021-11-17|3680.0|0|3781.0|0|42.0|0|0.0|100
0|2021-11-18|3681.0|0|3791.0|0|42.0|0|0.0|100
0|2021-11-19|3688.0|0|3791.0|0|42.0|0|0.0|100
0|2021-11-20|3688.0|0|3791.0|0|42.0|0|0.0|100
0|2021-11-21|3688.0|0|3791.0|0|42.0|0|0.0|100
0|2021-11-22|3710.0|0|3804.0|0|42.0|0|0.0|100
0|2021-11-23|3710.0|0|3809.0|0|42.0|0|0.0|100
0|2021-11-24|3712.0|0|3821.0|0|42.0|0|0.0|100
0|2021-11-25|3712.0|0|3821.0|0|42.0|0|0.0|100
0|2021-11-26|3712.0|0|3821.0|0|42.0|0|0.0|100
0|2021-11-27|3712.0|0|3821.0|0|42.0|0|0.0|100
0|2021-11-28|3712.0|0|3821.0|0|42.0|0|0.0|100
0|2021-11-29|3754.0|0|3856.0|0|42.0|0|0.0|100
0|2021-11-30|3754.0|0|3858.0|0|42.0|0|0.0|100
0|2021-12-01|3769.0|0|3860.0|0|42.0|0|0.0|100
0|2021-12-02|3775.0|0|3880.0|0|42.0|0|0.0|100
0|2021-12-03|3779.0|0|3885.0|0|42.0|0|0.0|100
0|2021-12-04|3779.0|0|3885.0|0|42.0|0|0.0|100
0|2021-12-05|3779.0|0|3885.0|0|42.0|0|0.0|100
0|2021-12-06|3804.0|0|3896.0|0|42.0|0|0.0|100
0|2021-12-07|3804.0|0|3898.0|0|42.0|0|0.0|100
0|2021-12-08|3819.0|0|3909.0|0|42.0|0|0.0|100
0|2021-12-09|3820.0|0|3909.0|0|42.0|0|0.0|100
0|2021-12-10|3831.0|0|3915.0|0|42.0|0|0.0|100
0|2021-12-11|3831.0|0|3915.0|0|42.0|0|0.0|100
0|2021-12-12|3831.0|0|3915.0|0|42.0|0|0.0|100
0|2021-12-13|3846.0|0|3919.0|0|42.0|0|0.0|100
0|2021-12-14|3846.0|0|3919.0|0|42.0|0|0.0|100
0|2021-12-15|3841.0|0|3921.0|0|43.0|0|0.0|100
0|2021-12-16|3848.0|0|3922.0|0|43.0|0|0.0|100
0|2021-12-17|3850.0|0|3926.0|0|43.0|0|0.0|100
0|2021-12-18|3850.0|0|3926.0|0|43.0|0|0.0|100
0|2021-12-19|3850.0|0|3926.0|0|43.0|0|0.0|100
0|2021-12-20|3856.0|0|3933.0|0|43.0|0|0.0|100
0|2021-12-21|3851.0|0|3933.0|0|43.0|0|0.0|100
0|2021-12-22|3852.0|0|3936.0|0|43.0|0|0.0|100
0|2021-12-23|3854.0|0|3936.0|0|43.0|0|0.0|100
0|2021-12-24|3855.0|0|3936.0|0|43.0|0|0.0|100
0|2021-12-25|3855.0|0|3936.0|0|43.0|0|0.0|100
0|2021-12-26|3855.0|0|3936.0|0|43.0|0|0.0|100
0|2021-12-27|3855.0|0|3946.0|0|43.0|0|0.0|100
0|2021-12-28|3862.0|0|3946.0|0|43.0|0|0.0|100
0|2021-12-29|3875.0|0|3954.0|0|43.0|0|0.0|100
0|2021-12-30|3886.0|0|3963.0|0|43.0|0|0.0|100
0|2021-12-31|3901.0|0|3963.0|0|43.0|0|0.0|100
0|2022-01-01|3901.0|0|3963.0|0|43.0|0|0.0|100
0|2022-01-02|3901.0|0|3963.0|0|43.0|0|0.0|100
0|2022-01-03|3901.0|0|4003.0|0|43.0|0|0.0|100
0|2022-01-04|3933.0|0|4016.0|0|43.0|0|0.0|100
0|2022-01-05|3942.0|0|4024.0|0|43.0|0|0.0|100
0|2022-01-06|3930.0|0|4053.0|0|43.0|0|0.0|100
0|2022-01-07|3970.0|0|4053.0|0|43.0|0|0.0|100
0|2022-01-08|3970.0|0|4053.0|0|43.0|0|0.0|100
0|2022-01-09|3970.0|0|4075.0|0|43.0|0|0.0|100
0|2022-01-10|4018.0|0|4141.0|0|43.0|0|0.0|100
0|2022-01-11|4038.0|0|4174.0|0|43.0|0|0.0|100
0|2022-01-12|4104.0|0|4211.0|0|43.0|0|0.0|100
0|2022-01-13|4104.0|0|4251.0|0|43.0|0|0.0|100
0|2022-01-14|4150.0|0|4251.0|0|43.0|0|0.0|100
0|2022-01-15|4150.0|0|4251.0|0|43.0|0|0.0|100
0|2022-01-16|4150.0|0|4285.0|0|43.0|0|0.0|100
0|2022-01-17|4262.0|0|0.0|100|43.0|0|0.0|100
