|dates|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Delaware_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|61037.0|0|61037.0|0|1488.0|0|0.0|100
0|2021-10-18|61104.0|0|61104.0|0|1488.0|0|0.0|100
0|2021-10-19|61206.0|0|61206.0|0|1488.0|0|0.0|100
0|2021-10-20|61284.0|0|61284.0|0|1490.0|0|0.0|100
0|2021-10-21|61404.0|0|61404.0|0|1493.0|0|0.0|100
0|2021-10-22|61501.0|0|61501.0|0|1494.0|0|0.0|100
0|2021-10-23|61635.0|0|61635.0|0|1495.0|0|0.0|100
0|2021-10-24|61759.0|0|61759.0|0|1495.0|0|0.0|100
0|2021-10-25|61810.0|0|61810.0|0|1496.0|0|0.0|100
0|2021-10-26|61932.0|0|61932.0|0|1496.0|0|0.0|100
0|2021-10-27|62010.0|0|62010.0|0|1499.0|0|0.0|100
0|2021-10-28|62107.0|0|62107.0|0|1501.0|0|0.0|100
0|2021-10-29|62205.0|0|62205.0|0|1504.0|0|0.0|100
0|2021-10-30|62298.0|0|62298.0|0|1504.0|0|0.0|100
0|2021-10-31|62391.0|0|62391.0|0|1504.0|0|0.0|100
0|2021-11-01|62391.0|0|62391.0|0|1504.0|0|0.0|100
0|2021-11-02|62533.0|0|62533.0|0|1504.0|0|0.0|100
0|2021-11-03|62601.0|0|62601.0|0|1507.0|0|0.0|100
0|2021-11-04|62715.0|0|62715.0|0|1509.0|0|0.0|100
0|2021-11-05|62809.0|0|62809.0|0|1509.0|0|0.0|100
0|2021-11-06|62896.0|0|62896.0|0|1510.0|0|0.0|100
0|2021-11-07|62967.0|0|62967.0|0|1510.0|0|0.0|100
0|2021-11-08|63026.0|0|63026.0|0|1510.0|0|0.0|100
0|2021-11-09|63125.0|0|63125.0|0|1511.0|0|0.0|100
0|2021-11-10|63226.0|0|63226.0|0|1513.0|0|0.0|100
0|2021-11-11|63351.0|0|63351.0|0|1515.0|0|0.0|100
0|2021-11-12|63441.0|0|63441.0|0|1515.0|0|0.0|100
0|2021-11-13|64082.0|0|64082.0|0|1515.0|0|0.0|100
0|2021-11-14|64214.0|0|64214.0|0|1515.0|0|0.0|100
0|2021-11-15|64267.0|0|64267.0|0|1515.0|0|0.0|100
0|2021-11-16|64385.0|0|64385.0|0|1515.0|0|0.0|100
0|2021-11-17|64481.0|0|64481.0|0|1518.0|0|0.0|100
0|2021-11-18|64640.0|0|64640.0|0|1520.0|0|0.0|100
0|2021-11-19|64791.0|0|64791.0|0|1522.0|0|0.0|100
0|2021-11-20|64919.0|0|64919.0|0|1522.0|0|0.0|100
0|2021-11-21|65041.0|0|65041.0|0|1522.0|0|0.0|100
0|2021-11-22|65145.0|0|65145.0|0|1522.0|0|0.0|100
0|2021-11-23|65302.0|0|65302.0|0|1523.0|0|0.0|100
0|2021-11-24|65455.0|0|65455.0|0|1525.0|0|0.0|100
0|2021-11-25|65592.0|0|65592.0|0|1527.0|0|0.0|100
0|2021-11-26|65748.0|0|65748.0|0|1527.0|0|0.0|100
0|2021-11-27|65854.0|0|65854.0|0|1527.0|0|0.0|100
0|2021-11-28|65944.0|0|65944.0|0|1527.0|0|0.0|100
0|2021-11-29|66035.0|0|66035.0|0|1527.0|0|0.0|100
0|2021-11-30|66167.0|0|66167.0|0|1527.0|0|0.0|100
0|2021-12-01|66368.0|0|66368.0|0|1527.0|0|0.0|100
0|2021-12-02|66601.0|0|66601.0|0|1530.0|0|0.0|100
0|2021-12-03|66950.0|0|66950.0|0|1530.0|0|0.0|100
0|2021-12-04|67112.0|0|67112.0|0|1531.0|0|0.0|100
0|2021-12-05|67219.0|0|67219.0|0|1533.0|0|0.0|100
0|2021-12-06|67302.0|0|67302.0|0|1533.0|0|0.0|100
0|2021-12-07|67576.0|0|67576.0|0|1534.0|0|0.0|100
0|2021-12-08|67754.0|0|67754.0|0|1534.0|0|0.0|100
0|2021-12-09|68028.0|0|68028.0|0|1536.0|0|0.0|100
0|2021-12-10|68413.0|0|68413.0|0|1536.0|0|0.0|100
0|2021-12-11|68673.0|0|68673.0|0|1538.0|0|0.0|100
0|2021-12-12|68979.0|0|68979.0|0|1538.0|0|0.0|100
0|2021-12-13|69145.0|0|69145.0|0|1538.0|0|0.0|100
0|2021-12-14|69145.0|0|69378.0|0|1538.0|0|0.0|100
0|2021-12-15|69145.0|0|69551.0|0|1543.0|0|0.0|100
0|2021-12-16|69868.0|0|69868.0|0|1544.0|0|0.0|100
0|2021-12-17|70201.0|0|70201.0|0|1549.0|0|0.0|100
0|2021-12-18|70552.0|0|70552.0|0|1555.0|0|0.0|100
0|2021-12-19|70858.0|0|70858.0|0|1556.0|0|0.0|100
0|2021-12-20|71061.0|0|71061.0|0|1556.0|0|0.0|100
0|2021-12-21|71444.0|0|71444.0|0|1560.0|0|0.0|100
0|2021-12-22|71845.0|0|71845.0|0|1560.0|0|0.0|100
0|2021-12-23|72308.0|0|72308.0|0|1562.0|0|0.0|100
0|2021-12-24|73142.0|0|73142.0|0|1563.0|0|0.0|100
0|2021-12-25|73722.0|0|73722.0|0|1563.0|0|0.0|100
0|2021-12-26|74344.0|0|74344.0|0|1563.0|0|0.0|100
0|2021-12-27|74693.0|0|74693.0|0|1563.0|0|0.0|100
0|2021-12-28|75511.0|0|75511.0|0|1568.0|0|0.0|100
0|2021-12-29|76786.0|0|76786.0|0|1576.0|0|0.0|100
0|2021-12-30|77947.0|0|77947.0|0|1582.0|0|0.0|100
0|2021-12-31|79520.0|0|79520.0|0|1582.0|0|0.0|100
0|2022-01-01|80991.0|0|80991.0|0|1582.0|0|0.0|100
0|2022-01-02|82044.0|0|82044.0|0|1582.0|0|0.0|100
0|2022-01-03|83381.0|0|83381.0|0|1584.0|0|0.0|100
0|2022-01-04|84648.0|0|84648.0|0|1588.0|0|0.0|100
