|dates|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Delaware_Pennsylvania_UnitedStates.Male_Total_Population.data|Delaware_Pennsylvania_UnitedStates.Male_Total_Population.missing|Delaware_Pennsylvania_UnitedStates.Female_Total_Population.data|Delaware_Pennsylvania_UnitedStates.Female_Total_Population.missing|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-18|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-19|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-20|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-21|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-22|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-23|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-24|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-25|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-26|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-27|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-28|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-29|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-30|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-10-31|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-01|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-02|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-03|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-04|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-05|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-06|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-07|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-08|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-09|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-10|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-11|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-12|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-13|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-14|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-15|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-16|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-17|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-18|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-19|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-20|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-21|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-22|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-23|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-24|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-25|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-26|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-27|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-28|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-29|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2021-11-30|92607.0|0|271816.0|0|292935.0|0|123908.0|0
