|dates|Deschutes_Oregon_UnitedStates.JHU_ConfirmedCases.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Deschutes_Oregon_UnitedStates.NYT_ConfirmedCases.data|Deschutes_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Deschutes_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Deschutes_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19577.0|0|19577.0|0|123.0|0|0.0|100
0|2021-10-18|19886.0|0|19886.0|0|124.0|0|0.0|100
0|2021-10-19|19958.0|0|19958.0|0|125.0|0|0.0|100
0|2021-10-20|20066.0|0|20066.0|0|125.0|0|0.0|100
0|2021-10-21|20211.0|0|20211.0|0|125.0|0|0.0|100
0|2021-10-22|20336.0|0|20336.0|0|125.0|0|0.0|100
0|2021-10-23|20336.0|0|20336.0|0|125.0|0|0.0|100
0|2021-10-24|20336.0|0|20336.0|0|125.0|0|0.0|100
0|2021-10-25|20559.0|0|20559.0|0|125.0|0|0.0|100
0|2021-10-26|20680.0|0|20680.0|0|125.0|0|0.0|100
0|2021-10-27|20819.0|0|20819.0|0|125.0|0|0.0|100
0|2021-10-28|20935.0|0|20932.0|0|125.0|0|0.0|100
0|2021-10-29|21037.0|0|21037.0|0|125.0|0|0.0|100
0|2021-10-30|21037.0|0|21037.0|0|125.0|0|0.0|100
0|2021-10-31|21037.0|0|21037.0|0|125.0|0|0.0|100
0|2021-11-01|21298.0|0|21298.0|0|125.0|0|0.0|100
0|2021-11-02|21349.0|0|21349.0|0|128.0|0|0.0|100
0|2021-11-03|21459.0|0|21459.0|0|136.0|0|0.0|100
0|2021-11-04|21559.0|0|21559.0|0|138.0|0|0.0|100
0|2021-11-05|21677.0|0|21677.0|0|138.0|0|0.0|100
0|2021-11-06|21677.0|0|21677.0|0|138.0|0|0.0|100
0|2021-11-07|21677.0|0|21677.0|0|138.0|0|0.0|100
0|2021-11-08|21924.0|0|21924.0|0|141.0|0|0.0|100
0|2021-11-09|22000.0|0|22000.0|0|143.0|0|0.0|100
