|dates|Dolores_Colorado_UnitedStates.AveragePrecipitationTotal.data|Dolores_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Dolores_Colorado_UnitedStates.AveragePrecipitation.data|Dolores_Colorado_UnitedStates.AveragePrecipitation.missing|Dolores_Colorado_UnitedStates.AverageWindDirection.data|Dolores_Colorado_UnitedStates.AverageWindDirection.missing|Dolores_Colorado_UnitedStates.AverageWindSpeed.data|Dolores_Colorado_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|109.16666666666667|0|5.458333333333333|0
0|2021-10-18|0.0|0|0.0|0|136.875|0|12.75|0
0|2021-10-19|0.0004166666666666667|0|0.0004166666666666667|0|140.625|0|6.791666666666667|0
0|2021-10-20|0.0|0|0.0|0|78.75|0|4.583333333333333|0
0|2021-10-21|0.0|0|0.0|0|94.58333333333333|0|4.916666666666667|0
0|2021-10-22|0.0|0|0.0|0|93.33333333333333|0|5.458333333333333|0
0|2021-10-23|0.0|0|0.0|0|129.375|0|7.458333333333333|0
0|2021-10-24|0.0|0|0.0|0|84.16666666666667|0|5.5|0
0|2021-10-25|0.0|0|0.0|0|120.83333333333333|0|7.833333333333333|0
0|2021-10-26|0.0|0|0.011388888888888888|0|239.0277777777778|0|14.336805555555555|0
0|2021-10-27|0.016666666666666666|0|0.0|0|249.58333333333334|0|8.916666666666666|0
0|2021-10-28|0.0|0|0.0|0|217.91666666666666|0|7.958333333333333|0
0|2021-10-29|0.0|0|0.0|0|116.25|0|6.25|0
0|2021-10-30|0.0|0|0.0|0|96.25|0|4.875|0
0|2021-10-31|0.0|0|0.0|0|95.0|0|5.458333333333333|0
0|2021-11-01|0.0|0|0.0|0|110.41666666666667|0|4.166666666666667|0
0|2021-11-02|0.0|0|0.0|0|117.91666666666667|0|5.125|0
0|2021-11-03|0.0|0|0.0|0|129.58333333333334|0|5.791666666666667|0
0|2021-11-04|0.0|0|0.0|0|96.25|0|4.791666666666667|0
0|2021-11-05|0.0|0|0.0|0|107.08333333333333|0|4.833333333333333|0
0|2021-11-06|0.0|0|0.0|0|99.58333333333333|0|5.125|0
0|2021-11-07|0.0|0|0.0|0|76.875|0|4.479166666666667|0
0|2021-11-08|0.0|0|0.0|0|89.58333333333333|0|5.666666666666667|0
0|2021-11-09|0.0|0|0.0004166666666666667|0|109.58333333333333|0|7.166666666666667|0
0|2021-11-10|0.0004166666666666667|0|0.0|0|160.83333333333334|0|7.958333333333333|0
0|2021-11-11|0.0|0|0.0|0|167.08333333333334|0|9.125|0
0|2021-11-12|0.0|0|0.0|0|183.75|0|8.666666666666666|0
0|2021-11-13|0.0|0|0.0|0|116.66666666666667|0|7.833333333333333|0
0|2021-11-14|0.0|0|0.0|0|127.5|0|7.916666666666667|0
0|2021-11-15|0.0|0|0.0|0|69.16666666666667|0|4.5|0
0|2021-11-16|0.0|0|0.0|0|84.58333333333333|0|5.0|0
0|2021-11-17|0.0|0|0.0|0|149.58333333333334|0|7.5|0
0|2021-11-18|0.0|0|0.0|0|85.83333333333333|0|5.458333333333333|0
0|2021-11-19|0.0|0|0.0|0|94.58333333333333|0|5.541666666666667|0
0|2021-11-20|0.0|0|0.0|0|104.16666666666667|0|3.8333333333333335|0
0|2021-11-21|0.0|0|0.0|0|109.16666666666667|0|6.541666666666667|0
0|2021-11-22|0.0|0|0.0|0|84.58333333333333|0|5.25|0
0|2021-11-23|0.0|0|0.0033333333333333335|0|89.58333333333333|0|3.0208333333333335|0
0|2021-11-24|0.00375|0|0.0|0|192.5|0|6.979166666666667|0
0|2021-11-25|0.0|0|0.0|0|85.41666666666667|0|5.416666666666667|0
0|2021-11-26|0.0|0|0.0|0|96.25|0|4.791666666666667|0
0|2021-11-27|0.0|0|0.0|0|99.16666666666667|0|7.25|0
0|2021-11-28|0.0|0|0.0|0|94.58333333333333|0|5.041666666666667|0
0|2021-11-29|0.0|0|0.0|0|97.91666666666667|0|5.541666666666667|0
0|2021-11-30|0.0|0|0.0|0|117.91666666666667|0|7.625|0
0|2021-12-01|0.0|0|0.0|0|97.08333333333333|0|5.5|0
0|2021-12-02|0.0|0|0.0|0|85.83333333333333|0|5.416666666666667|0
0|2021-12-03|0.0|0|0.0|0|102.08333333333333|0|5.208333333333333|0
0|2021-12-04|0.0|0|0.0|0|87.5|0|5.041666666666667|0
0|2021-12-05|0.0|0|0.0|0|105.41666666666667|0|7.375|0
0|2021-12-06|0.0|0|0.0|0|84.58333333333333|0|4.583333333333333|0
0|2021-12-07|0.0008333333333333334|0|0.00125|0|153.33333333333334|0|5.125|0
0|2021-12-08|0.0004166666666666667|0|0.0|0|56.25|0|3.125|0
0|2021-12-09|0.0|0|0.03125|0|166.875|0|9.520833333333334|0
0|2021-12-10|0.013333333333333334|0|0.007916666666666667|0|186.5798611111111|0|10.416666666666666|0
0|2021-12-11|0.002916666666666667|0|0.0|0|42.916666666666664|0|3.0|0
0|2021-12-12|0.0|0|0.0|0|92.91666666666667|0|4.833333333333333|0
0|2021-12-13|0.0|0|0.0|0|80.83333333333333|0|3.9166666666666665|0
0|2021-12-14|0.0|0|0.0|0|149.16666666666666|0|17.208333333333332|0
0|2021-12-15|0.0007638888888888889|0|0.003263888888888889|0|150.78125|0|14.489583333333334|0
0|2021-12-16|0.0|0|0.0|0|80.83333333333333|0|3.625|0
0|2021-12-17|0.0|0|0.0|0|150.41666666666666|0|6.583333333333333|0
0|2021-12-18|0.0|0|0.0|0|99.58333333333333|0|4.791666666666667|0
0|2021-12-19|0.0|0|0.0|0|70.0|0|3.8333333333333335|0
0|2021-12-20|0.0|0|0.0|0|62.916666666666664|0|3.375|0
0|2021-12-21|0.0|0|0.0|0|82.08333333333333|0|4.125|0
0|2021-12-22|0.0|0|0.0|0|37.5|0|2.4166666666666665|0
0|2021-12-23|0.0|0|0.002916666666666667|0|80.83333333333333|0|4.208333333333333|0
0|2021-12-24|0.01|0|0.023756944444444445|0|176.25694444444446|0|9.359722222222222|0
0|2021-12-25|0.022083333333333333|0|0.0|0|144.16666666666666|0|9.708333333333334|0
0|2021-12-26|0.0|0|0.0|0|200.83333333333334|0|14.708333333333334|0
0|2021-12-27|0.0|0|0.0|0|156.51388888888889|0|8.91388888888889|0
0|2021-12-28|0.0|0|0.002638888888888889|0|177.0347222222222|0|11.491666666666667|0
0|2021-12-29|0.002916666666666667|0|0.0026041666666666674|0|178.52777777777774|0|7.640277777777778|0
0|2021-12-30|0.0025|0|0.0|0|78.75|0|3.625|0
0|2021-12-31|0.0|0|0.001986111111111111|0|164.40277777777777|0|8.265277777777778|0
0|2022-01-01|0.0025|0|0.0|0|252.0486111111111|0|11.885416666666666|0
0|2022-01-02|0.0|0|0.0|0|84.16666666666667|0|5.625|0
0|2022-01-03|0.0|0|0.0|0|87.5|0|3.875|0
0|2022-01-04|0.0|0|0.0|0|85.0|0|4.166666666666667|0
0|2022-01-05|0.0|0|0.0|0|75.83333333333333|0|4.708333333333333|0
0|2022-01-06|0.0|0|0.0|0|116.66666666666667|0|6.041666666666667|0
0|2022-01-07|0.0|0|0.0|0|72.5|0|4.25|0
0|2022-01-08|0.0|0|0.0|0|107.91666666666667|0|4.166666666666667|0
0|2022-01-09|0.0|0|0.0|0|77.91666666666667|0|4.291666666666667|0
0|2022-01-10|0.0|0|0.0|0|71.25|0|2.8333333333333335|0
0|2022-01-11|0.0|0|0.0|0|100.83333333333333|0|4.916666666666667|0
0|2022-01-12|0.0|0|0.0|0|122.5|0|5.75|0
0|2022-01-13|0.0|0|0.0|0|86.66666666666667|0|3.6666666666666665|0
0|2022-01-14|0.0|0|0.0|0|175.41666666666666|0|10.25|0
0|2022-01-15|0.0|0|0.0|0|117.08333333333333|0|5.9375|0
0|2022-01-16|0.0|0|0.0|0|70.83333333333333|0|4.75|0
0|2022-01-17|0.0|20|0.0|20|100.125|0|4.75|0
