|dates|Dunklin_Missouri_UnitedStates.JHU_ConfirmedCases.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Dunklin_Missouri_UnitedStates.NYT_ConfirmedCases.data|Dunklin_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Dunklin_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Dunklin_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4284.0|0|4284.0|0|60.0|0|0.0|100
0|2021-10-18|4285.0|0|4285.0|0|60.0|0|0.0|100
0|2021-10-19|4296.0|0|4296.0|0|60.0|0|0.0|100
0|2021-10-20|4310.0|0|4310.0|0|61.0|0|0.0|100
0|2021-10-21|4317.0|0|4317.0|0|61.0|0|0.0|100
0|2021-10-22|4318.0|0|4318.0|0|61.0|0|0.0|100
0|2021-10-23|4323.0|0|4323.0|0|61.0|0|0.0|100
0|2021-10-24|4323.0|0|4323.0|0|61.0|0|0.0|100
0|2021-10-25|4326.0|0|4326.0|0|61.0|0|0.0|100
0|2021-10-26|4332.0|0|4332.0|0|61.0|0|0.0|100
0|2021-10-27|4346.0|0|4346.0|0|61.0|0|0.0|100
0|2021-10-28|4367.0|0|4367.0|0|61.0|0|0.0|100
0|2021-10-29|4371.0|0|4371.0|0|61.0|0|0.0|100
0|2021-10-30|4375.0|0|4375.0|0|61.0|0|0.0|100
0|2021-10-31|4375.0|0|4375.0|0|61.0|0|0.0|100
0|2021-11-01|4375.0|0|4375.0|0|61.0|0|0.0|100
0|2021-11-02|4382.0|0|4382.0|0|61.0|0|0.0|100
0|2021-11-03|4388.0|0|4388.0|0|61.0|0|0.0|100
0|2021-11-04|4405.0|0|4405.0|0|61.0|0|0.0|100
0|2021-11-05|4414.0|0|4414.0|0|61.0|0|0.0|100
0|2021-11-06|4422.0|0|4422.0|0|61.0|0|0.0|100
0|2021-11-07|4422.0|0|4422.0|0|61.0|0|0.0|100
0|2021-11-08|4423.0|0|4423.0|0|61.0|0|0.0|100
0|2021-11-09|4434.0|0|4434.0|0|62.0|0|0.0|100
0|2021-11-10|4454.0|0|4454.0|0|62.0|0|0.0|100
0|2021-11-11|4454.0|0|4454.0|0|62.0|0|0.0|100
0|2021-11-12|4473.0|0|4473.0|0|62.0|0|0.0|100
0|2021-11-13|4483.0|0|4483.0|0|62.0|0|0.0|100
0|2021-11-14|4484.0|0|4484.0|0|62.0|0|0.0|100
0|2021-11-15|4486.0|0|4486.0|0|62.0|0|0.0|100
0|2021-11-16|4500.0|0|4500.0|0|63.0|0|0.0|100
0|2021-11-17|4506.0|0|4506.0|0|63.0|0|0.0|100
0|2021-11-18|4569.0|0|4569.0|0|63.0|0|0.0|100
0|2021-11-19|4576.0|0|4576.0|0|63.0|0|0.0|100
0|2021-11-20|4591.0|0|4591.0|0|63.0|0|0.0|100
0|2021-11-21|4592.0|0|4592.0|0|63.0|0|0.0|100
0|2021-11-22|4595.0|0|4595.0|0|63.0|0|0.0|100
0|2021-11-23|4612.0|0|4612.0|0|64.0|0|0.0|100
0|2021-11-24|4614.0|0|4614.0|0|64.0|0|0.0|100
0|2021-11-25|4614.0|0|4614.0|0|64.0|0|0.0|100
0|2021-11-26|4614.0|0|4614.0|0|64.0|0|0.0|100
0|2021-11-27|4614.0|0|4614.0|0|64.0|0|0.0|100
0|2021-11-28|4614.0|0|4614.0|0|64.0|0|0.0|100
0|2021-11-29|4625.0|0|4625.0|0|64.0|0|0.0|100
0|2021-11-30|4634.0|0|4634.0|0|64.0|0|0.0|100
0|2021-12-01|4649.0|0|4649.0|0|64.0|0|0.0|100
0|2021-12-02|4666.0|0|4666.0|0|93.0|0|0.0|100
0|2021-12-03|4666.0|0|4666.0|0|93.0|0|0.0|100
0|2021-12-04|4687.0|0|4687.0|0|93.0|0|0.0|100
0|2021-12-05|4692.0|0|4692.0|0|93.0|0|0.0|100
0|2021-12-06|4697.0|0|4697.0|0|93.0|0|0.0|100
0|2021-12-07|4699.0|0|4699.0|0|93.0|0|0.0|100
0|2021-12-08|4711.0|0|4711.0|0|93.0|0|0.0|100
0|2021-12-09|4730.0|0|4730.0|0|93.0|0|0.0|100
0|2021-12-10|4742.0|0|4742.0|0|93.0|0|0.0|100
0|2021-12-11|4757.0|0|4757.0|0|93.0|0|0.0|100
0|2021-12-12|4760.0|0|4760.0|0|93.0|0|0.0|100
0|2021-12-13|4760.0|0|4760.0|0|93.0|0|0.0|100
0|2021-12-14|4760.0|0|4765.0|0|93.0|0|0.0|100
0|2021-12-15|4776.0|0|4776.0|0|93.0|0|0.0|100
0|2021-12-16|4782.0|0|4782.0|0|93.0|0|0.0|100
0|2021-12-17|4789.0|0|4789.0|0|93.0|0|0.0|100
0|2021-12-18|4794.0|0|4794.0|0|93.0|0|0.0|100
0|2021-12-19|4794.0|0|4794.0|0|93.0|0|0.0|100
0|2021-12-20|4794.0|0|4794.0|0|93.0|0|0.0|100
0|2021-12-21|4805.0|0|4805.0|0|93.0|0|0.0|100
0|2021-12-22|4818.0|0|4818.0|0|93.0|0|0.0|100
0|2021-12-23|4837.0|0|4837.0|0|93.0|0|0.0|100
0|2021-12-24|4837.0|0|4837.0|0|93.0|0|0.0|100
0|2021-12-25|4837.0|0|4837.0|0|93.0|0|0.0|100
0|2021-12-26|4837.0|0|4837.0|0|93.0|0|0.0|100
0|2021-12-27|4844.0|0|4844.0|0|93.0|0|0.0|100
0|2021-12-28|4848.0|0|4848.0|0|93.0|0|0.0|100
0|2021-12-29|4877.0|0|4877.0|0|93.0|0|0.0|100
0|2021-12-30|4903.0|0|4903.0|0|93.0|0|0.0|100
0|2021-12-31|4903.0|0|4903.0|0|93.0|0|0.0|100
0|2022-01-01|4903.0|0|4903.0|0|93.0|0|0.0|100
0|2022-01-02|4903.0|0|4903.0|0|93.0|0|0.0|100
0|2022-01-03|4903.0|0|4961.0|0|93.0|0|0.0|100
0|2022-01-04|4982.0|0|4982.0|0|93.0|0|0.0|100
0|2022-01-05|5023.0|0|5023.0|0|93.0|0|0.0|100
0|2022-01-06|5078.0|0|5078.0|0|93.0|0|0.0|100
0|2022-01-07|5130.0|0|5130.0|0|93.0|0|0.0|100
0|2022-01-08|5173.0|0|5173.0|0|93.0|0|0.0|100
0|2022-01-09|5180.0|0|5180.0|0|93.0|0|0.0|100
0|2022-01-10|5203.0|0|5203.0|0|93.0|0|0.0|100
0|2022-01-11|5237.0|0|5237.0|0|93.0|0|0.0|100
0|2022-01-12|5283.0|0|5283.0|0|93.0|0|0.0|100
0|2022-01-13|5283.0|0|5417.0|0|93.0|0|0.0|100
0|2022-01-14|5481.0|0|5481.0|0|93.0|0|0.0|100
0|2022-01-15|5669.0|0|5669.0|0|93.0|0|0.0|100
0|2022-01-16|5670.0|0|5670.0|0|93.0|0|0.0|100
0|2022-01-17|5670.0|0|0.0|100|93.0|0|0.0|100
