|dates|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Eddy_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Eddy_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Eddy_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|517.0|0|517.0|0|6.0|0|0.0|100
0|2021-10-18|517.0|0|517.0|0|6.0|0|0.0|100
0|2021-10-19|520.0|0|520.0|0|6.0|0|0.0|100
0|2021-10-20|520.0|0|520.0|0|6.0|0|0.0|100
0|2021-10-21|522.0|0|522.0|0|6.0|0|0.0|100
0|2021-10-22|525.0|0|525.0|0|6.0|0|0.0|100
0|2021-10-23|532.0|0|532.0|0|6.0|0|0.0|100
0|2021-10-24|532.0|0|532.0|0|6.0|0|0.0|100
0|2021-10-25|532.0|0|532.0|0|6.0|0|0.0|100
0|2021-10-26|534.0|0|534.0|0|6.0|0|0.0|100
0|2021-10-27|536.0|0|536.0|0|6.0|0|0.0|100
0|2021-10-28|537.0|0|537.0|0|6.0|0|0.0|100
0|2021-10-29|537.0|0|537.0|0|6.0|0|0.0|100
0|2021-10-30|537.0|0|537.0|0|6.0|0|0.0|100
0|2021-10-31|537.0|0|537.0|0|6.0|0|0.0|100
0|2021-11-01|537.0|0|537.0|0|6.0|0|0.0|100
0|2021-11-02|539.0|0|539.0|0|6.0|0|0.0|100
0|2021-11-03|541.0|0|541.0|0|6.0|0|0.0|100
0|2021-11-04|541.0|0|541.0|0|6.0|0|0.0|100
0|2021-11-05|542.0|0|542.0|0|6.0|0|0.0|100
0|2021-11-06|542.0|0|542.0|0|6.0|0|0.0|100
0|2021-11-07|542.0|0|542.0|0|6.0|0|0.0|100
0|2021-11-08|543.0|0|543.0|0|6.0|0|0.0|100
0|2021-11-09|545.0|0|545.0|0|6.0|0|0.0|100
0|2021-11-10|545.0|0|547.0|0|6.0|0|0.0|100
0|2021-11-11|549.0|0|549.0|0|6.0|0|0.0|100
0|2021-11-12|549.0|0|549.0|0|6.0|0|0.0|100
0|2021-11-13|549.0|0|549.0|0|6.0|0|0.0|100
0|2021-11-14|549.0|0|549.0|0|6.0|0|0.0|100
0|2021-11-15|549.0|0|549.0|0|6.0|0|0.0|100
0|2021-11-16|548.0|0|548.0|0|6.0|0|0.0|100
0|2021-11-17|550.0|0|550.0|0|6.0|0|0.0|100
0|2021-11-18|550.0|0|550.0|0|6.0|0|0.0|100
0|2021-11-19|551.0|0|551.0|0|6.0|0|0.0|100
0|2021-11-20|551.0|0|551.0|0|6.0|0|0.0|100
0|2021-11-21|551.0|0|551.0|0|6.0|0|0.0|100
0|2021-11-22|551.0|0|551.0|0|6.0|0|0.0|100
0|2021-11-23|553.0|0|553.0|0|6.0|0|0.0|100
0|2021-11-24|556.0|0|556.0|0|6.0|0|0.0|100
0|2021-11-25|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-11-26|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-11-27|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-11-28|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-11-29|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-11-30|557.0|0|557.0|0|6.0|0|0.0|100
0|2021-12-01|556.0|0|556.0|0|6.0|0|0.0|100
0|2021-12-02|561.0|0|561.0|0|6.0|0|0.0|100
0|2021-12-03|561.0|0|563.0|0|6.0|0|0.0|100
0|2021-12-04|563.0|0|563.0|0|6.0|0|0.0|100
0|2021-12-05|563.0|0|563.0|0|6.0|0|0.0|100
0|2021-12-06|563.0|0|563.0|0|6.0|0|0.0|100
0|2021-12-07|566.0|0|566.0|0|6.0|0|0.0|100
0|2021-12-08|566.0|0|566.0|0|6.0|0|0.0|100
0|2021-12-09|566.0|0|566.0|0|6.0|0|0.0|100
0|2021-12-10|568.0|0|568.0|0|6.0|0|0.0|100
0|2021-12-11|568.0|0|568.0|0|6.0|0|0.0|100
0|2021-12-12|568.0|0|568.0|0|6.0|0|0.0|100
0|2021-12-13|568.0|0|568.0|0|6.0|0|0.0|100
0|2021-12-14|568.0|0|571.0|0|6.0|0|0.0|100
0|2021-12-15|571.0|0|571.0|0|6.0|0|0.0|100
0|2021-12-16|573.0|0|573.0|0|6.0|0|0.0|100
0|2021-12-17|575.0|0|575.0|0|6.0|0|0.0|100
0|2021-12-18|576.0|0|576.0|0|6.0|0|0.0|100
0|2021-12-19|576.0|0|576.0|0|6.0|0|0.0|100
0|2021-12-20|576.0|0|576.0|0|6.0|0|0.0|100
0|2021-12-21|583.0|0|583.0|0|6.0|0|0.0|100
0|2021-12-22|585.0|0|585.0|0|6.0|0|0.0|100
0|2021-12-23|586.0|0|586.0|0|6.0|0|0.0|100
0|2021-12-24|588.0|0|588.0|0|6.0|0|0.0|100
0|2021-12-25|588.0|0|588.0|0|6.0|0|0.0|100
0|2021-12-26|589.0|0|589.0|0|6.0|0|0.0|100
0|2021-12-27|589.0|0|589.0|0|6.0|0|0.0|100
0|2021-12-28|590.0|0|590.0|0|6.0|0|0.0|100
0|2021-12-29|597.0|0|597.0|0|6.0|0|0.0|100
0|2021-12-30|601.0|0|601.0|0|6.0|0|0.0|100
0|2021-12-31|605.0|0|605.0|0|6.0|0|0.0|100
0|2022-01-01|612.0|0|612.0|0|6.0|0|0.0|100
0|2022-01-02|613.0|0|613.0|0|6.0|0|0.0|100
0|2022-01-03|614.0|0|614.0|0|6.0|0|0.0|100
0|2022-01-04|622.0|0|622.0|0|6.0|0|0.0|100
0|2022-01-05|627.0|0|627.0|0|6.0|0|0.0|100
0|2022-01-06|629.0|0|629.0|0|6.0|0|0.0|100
0|2022-01-07|635.0|0|635.0|0|6.0|0|0.0|100
0|2022-01-08|636.0|0|636.0|0|6.0|0|0.0|100
0|2022-01-09|637.0|0|637.0|0|6.0|0|0.0|100
0|2022-01-10|635.0|0|635.0|0|6.0|0|0.0|100
0|2022-01-11|639.0|0|639.0|0|6.0|0|0.0|100
0|2022-01-12|644.0|0|644.0|0|6.0|0|0.0|100
0|2022-01-13|644.0|0|649.0|0|6.0|0|0.0|100
0|2022-01-14|652.0|0|652.0|0|6.0|0|0.0|100
0|2022-01-15|658.0|0|658.0|0|6.0|0|0.0|100
0|2022-01-16|660.0|0|660.0|0|6.0|0|0.0|100
0|2022-01-17|660.0|0|0.0|100|6.0|0|0.0|100
