|dates|ElDorado_California_UnitedStates.AveragePrecipitationTotal.data|ElDorado_California_UnitedStates.AveragePrecipitationTotal.missing|ElDorado_California_UnitedStates.AveragePrecipitation.data|ElDorado_California_UnitedStates.AveragePrecipitation.missing|ElDorado_California_UnitedStates.AverageWindDirection.data|ElDorado_California_UnitedStates.AverageWindDirection.missing|ElDorado_California_UnitedStates.AverageWindSpeed.data|ElDorado_California_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.007604166666666666|0|177.1875|0|9.072916666666666|0
0|2021-10-18|0.0|0|0.003333333333333334|0|148.64583333333334|0|5.890625|0
0|2021-10-19|0.0|0|0.0|0|156.04166666666666|0|6.760416666666667|0
0|2021-10-20|0.0|0|0.0003125|0|172.1875|0|8.15625|0
0|2021-10-21|0.0|0|0.00979166666666667|0|138.02083333333334|0|6.322916666666667|0
0|2021-10-22|0.0|0|0.02781249999999999|0|141.14583333333334|0|5.9375|0
0|2021-10-23|0.0|0|0.005416666666666667|0|110.625|0|4.625|0
0|2021-10-24|0.0|0|0.17885416666666684|0|182.44791666666666|0|18.989583333333332|0
0|2021-10-25|0.0|0|0.07015624999999999|0|186.40625|0|6.833333333333333|0
0|2021-10-26|0.0|0|0.0|0|113.95833333333333|0|3.7708333333333335|0
0|2021-10-27|0.0|0|0.0|0|142.1875|0|3.7083333333333335|0
0|2021-10-28|0.0|0|0.0|0|93.80208333333333|0|2.109375|0
0|2021-10-29|0.0|0|0.0|0|90.41666666666667|0|3.3854166666666665|0
0|2021-10-30|0.0|0|0.000625|0|162.91666666666666|0|4.234375|0
0|2021-10-31|0.0|0|0.0|0|110.3125|0|2.1979166666666665|0
0|2021-11-01|0.0|0|0.0003125|0|166.5625|0|6.71875|0
0|2021-11-02|0.0|0|0.0|0|137.76041666666666|0|3.2135416666666665|0
0|2021-11-03|0.0|0|0.0|0|123.95833333333333|0|3.7708333333333335|0
0|2021-11-04|0.0|0|0.006979166666666666|0|133.125|0|5.125|0
0|2021-11-05|0.0|0|0.0|0|111.25|0|2.9791666666666665|0
0|2021-11-06|0.0|0|0.0|0|98.22916666666667|0|3.6041666666666665|0
0|2021-11-07|0.0|0|0.0|0|145.72916666666666|0|3.7291666666666665|0
0|2021-11-08|0.0|0|0.005833333333333335|0|135.98958333333334|0|7.145833333333333|0
0|2021-11-09|0.0|0|0.030624999999999947|0|148.80208333333334|0|9.557291666666666|0
0|2021-11-10|0.0|0|0.0|0|121.82291666666667|0|4.59375|0
0|2021-11-11|0.0|0|0.0|0|101.04166666666667|0|3.59375|0
0|2021-11-12|0.0|0|0.0|0|75.41666666666667|0|3.1875|0
0|2021-11-13|0.0|0|0.0|0|102.60416666666667|0|3.6666666666666665|0
0|2021-11-14|0.0|0|0.0|0|81.45833333333333|0|2.90625|0
0|2021-11-15|0.0|0|0.0|0|129.58333333333334|0|4.104166666666667|0
0|2021-11-16|0.0|0|0.0|0|128.64583333333334|0|3.5208333333333335|0
0|2021-11-17|0.0|0|0.0|0|113.95833333333333|0|2.4010416666666665|0
0|2021-11-18|0.0|0|0.0|0|113.125|0|3.9895833333333335|0
0|2021-11-19|0.0|0|0.0|0|163.125|0|3.40625|0
0|2021-11-20|0.0|0|0.0|0|149.375|0|5.9375|0
0|2021-11-21|0.0|0|0.0|0|81.45833333333333|0|4.354166666666667|0
0|2021-11-22|0.0|0|0.0|0|113.125|0|5.9375|0
0|2021-11-23|0.0|0|0.0|0|131.66666666666666|0|5.510416666666667|0
0|2021-11-24|0.0|0|0.0|0|108.85416666666667|0|6.09375|0
0|2021-11-25|0.0|0|0.0|0|128.02083333333334|0|4.052083333333333|0
0|2021-11-26|0.0|0|0.0|0|101.5625|0|2.9375|0
0|2021-11-27|0.0|0|0.0|0|77.5|0|2.2083333333333335|0
0|2021-11-28|0.0|0|0.0|0|100.9375|0|2.7708333333333335|0
0|2021-11-29|0.0|0|0.0|0|119.375|0|3.3020833333333335|0
0|2021-11-30|0.0|0|0.0|0|91.04166666666667|0|3.1979166666666665|0
0|2021-12-01|0.0|0|0.0|0|80.41666666666667|0|3.1770833333333335|0
0|2021-12-02|0.0|0|0.0|0|102.86458333333333|0|4.125|0
0|2021-12-03|0.0|0|0.0|0|108.125|0|3.40625|0
0|2021-12-04|0.0|0|0.0|0|119.58333333333333|0|2.4166666666666665|0
0|2021-12-05|0.0|0|0.0|0|92.1875|0|2.9479166666666665|0
0|2021-12-06|0.0|0|0.002916666666666667|0|135.98958333333334|0|3.515625|0
0|2021-12-07|0.0|0|0.0007291666666666667|0|138.4375|0|3.4270833333333335|0
0|2021-12-08|0.0|0|0.0|0|122.29166666666667|0|2.8229166666666665|0
0|2021-12-09|0.0|0|0.020312500000000008|0|120.0|0|4.317708333333333|0
0|2021-12-10|0.0|0|0.0|0|112.08333333333333|0|5.791666666666667|0
0|2021-12-11|0.0|0|0.0|0|150.72916666666666|0|5.364583333333333|0
0|2021-12-12|0.0|0|0.029375|0|157.86458333333334|0|14.677083333333334|0
0|2021-12-13|0.0|0|0.0596875|0|166.14583333333334|0|24.0|0
0|2021-12-14|0.0|0|0.019687500000000014|0|27.03125|0|0.5885416666666666|0
0|2021-12-15|0.0|0|0.013437500000000003|0|138.125|0|12.885416666666666|0
0|2021-12-16|0.0|0|0.01177083333333334|0|153.85416666666666|0|7.020833333333333|0
0|2021-12-17|0.0|0|0.0|0|124.58333333333333|0|4.385416666666667|0
0|2021-12-18|0.0|0|0.0|0|105.52083333333333|0|2.6458333333333335|0
0|2021-12-19|0.0|0|0.0|0|103.125|0|3.6458333333333335|0
0|2021-12-20|0.0|0|0.0|0|152.875|0|3.7239583333333335|0
0|2021-12-21|0.0|0|0.0|0|131.66666666666666|0|4.71875|0
0|2021-12-22|0.0|0|0.005833333333333336|0|159.16666666666666|0|9.697916666666666|0
0|2021-12-23|0.0|0|0.05812499999999998|0|182.20833333333334|0|11.239583333333334|0
0|2021-12-24|0.0|0|0.0389583333333333|0|194.53125|0|10.520833333333334|0
0|2021-12-25|0.0|0|0.022916666666666665|0|185.41666666666666|0|15.822916666666666|0
0|2021-12-26|0.0|0|0.008437500000000006|0|187.39583333333334|0|11.489583333333334|0
0|2021-12-27|0.0|0|0.015416666666666676|0|27.8125|0|2.1458333333333335|0
0|2021-12-28|0.0|0|0.010000000000000007|0|0.0|0|0.0|0
0|2021-12-29|0.0|0|0.011197916666666674|0|35.104166666666664|0|1.2864583333333333|0
0|2021-12-30|0.0|0|0.0015624999999999999|0|93.125|0|3.6145833333333335|0
0|2021-12-31|0.0|0|0.0|0|88.4375|0|2.9791666666666665|0
0|2022-01-01|0.0|0|0.0|0|138.33333333333334|0|7.125|0
0|2022-01-02|0.0|0|0.0|0|129.42708333333334|0|4.869791666666667|0
0|2022-01-03|0.0|0|0.0013541666666666667|0|153.4375|0|8.572916666666666|0
0|2022-01-04|0.0|0|0.002500000000000001|0|131.35416666666666|0|5.895833333333333|0
0|2022-01-05|0.0|0|0.0|0|110.41666666666667|0|3.2916666666666665|0
0|2022-01-06|0.0|0|0.0|0|75.0|0|2.9375|0
0|2022-01-07|0.0|0|0.007187500000000002|0|152.08333333333334|0|5.5625|0
0|2022-01-08|0.0|0|0.0|0|131.97916666666666|0|5.354166666666667|0
0|2022-01-09|0.0|0|0.0|0|125.0|0|5.447916666666667|0
0|2022-01-10|0.0|0|0.0|0|118.125|0|6.161458333333333|0
0|2022-01-11|0.0|0|0.0|0|100.41666666666667|0|4.65625|0
0|2022-01-12|0.0|0|0.0|0|98.85416666666667|0|3.03125|0
0|2022-01-13|0.0|0|0.0|0|102.60416666666667|0|4.09375|0
0|2022-01-14|0.0|0|0.0|0|163.59375|0|6.270833333333333|0
0|2022-01-15|0.0|0|0.0|0|88.22916666666667|0|5.21875|0
0|2022-01-16|0.0|0|0.0|0|104.27083333333333|0|3.5208333333333335|0
0|2022-01-17|0.0|26|0.0|26|94.97916666666667|0|2.9791666666666665|0
