|dates|Elko_Nevada_UnitedStates.JHU_ConfirmedCases.data|Elko_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Elko_Nevada_UnitedStates.NYT_ConfirmedCases.data|Elko_Nevada_UnitedStates.NYT_ConfirmedCases.missing|Elko_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Elko_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Elko_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Elko_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7870.0|0|8518.0|0|103.0|0|0.0|100
0|2021-10-18|7933.0|0|8581.0|0|105.0|0|0.0|100
0|2021-10-19|8009.0|0|8657.0|0|105.0|0|0.0|100
0|2021-10-20|8050.0|0|8701.0|0|108.0|0|0.0|100
0|2021-10-21|8098.0|0|8758.0|0|110.0|0|0.0|100
0|2021-10-22|8129.0|0|8795.0|0|110.0|0|0.0|100
0|2021-10-23|8129.0|0|8795.0|0|110.0|0|0.0|100
0|2021-10-24|8129.0|0|8795.0|0|110.0|0|0.0|100
0|2021-10-25|8179.0|0|8861.0|0|111.0|0|0.0|100
0|2021-10-26|8237.0|0|8919.0|0|111.0|0|0.0|100
0|2021-10-27|8261.0|0|8943.0|0|111.0|0|0.0|100
0|2021-10-28|8293.0|0|8975.0|0|112.0|0|0.0|100
0|2021-10-29|8293.0|0|8975.0|0|112.0|0|0.0|100
0|2021-10-30|8293.0|0|8975.0|0|112.0|0|0.0|100
0|2021-10-31|8293.0|0|8975.0|0|112.0|0|0.0|100
0|2021-11-01|8349.0|0|9031.0|0|113.0|0|0.0|100
0|2021-11-02|8383.0|0|9065.0|0|114.0|0|0.0|100
0|2021-11-03|8405.0|0|9087.0|0|114.0|0|0.0|100
0|2021-11-04|8440.0|0|9122.0|0|115.0|0|0.0|100
0|2021-11-05|8473.0|0|9155.0|0|115.0|0|0.0|100
0|2021-11-06|8473.0|0|9155.0|0|115.0|0|0.0|100
0|2021-11-07|8473.0|0|9155.0|0|115.0|0|0.0|100
0|2021-11-08|8485.0|0|9207.0|0|117.0|0|0.0|100
0|2021-11-09|8515.0|0|9243.0|0|120.0|0|0.0|100
0|2021-11-10|8535.0|0|9269.0|0|120.0|0|0.0|100
0|2021-11-11|8535.0|0|9269.0|0|120.0|0|0.0|100
0|2021-11-12|8551.0|0|9285.0|0|121.0|0|0.0|100
0|2021-11-13|8551.0|0|9285.0|0|121.0|0|0.0|100
0|2021-11-14|8551.0|0|9285.0|0|121.0|0|0.0|100
0|2021-11-15|8586.0|0|9327.0|0|120.0|0|0.0|100
0|2021-11-16|8619.0|0|9363.0|0|120.0|0|0.0|100
0|2021-11-17|8627.0|0|9371.0|0|120.0|0|0.0|100
0|2021-11-18|8636.0|0|9380.0|0|120.0|0|0.0|100
0|2021-11-19|8651.0|0|9395.0|0|120.0|0|0.0|100
0|2021-11-20|8651.0|0|9395.0|0|120.0|0|0.0|100
0|2021-11-21|8651.0|0|9395.0|0|120.0|0|0.0|100
0|2021-11-22|8664.0|0|9426.0|0|120.0|0|0.0|100
0|2021-11-23|8664.0|0|9433.0|0|120.0|0|0.0|100
0|2021-11-24|8672.0|0|9441.0|0|120.0|0|0.0|100
0|2021-11-25|8672.0|0|9441.0|0|120.0|0|0.0|100
0|2021-11-26|8672.0|0|9441.0|0|120.0|0|0.0|100
0|2021-11-27|8672.0|0|9441.0|0|120.0|0|0.0|100
0|2021-11-28|8672.0|0|9441.0|0|120.0|0|0.0|100
0|2021-11-29|8686.0|0|9455.0|0|120.0|0|0.0|100
0|2021-11-30|8735.0|0|9504.0|0|120.0|0|0.0|100
0|2021-12-01|8742.0|0|9525.0|0|120.0|0|0.0|100
0|2021-12-02|8760.0|0|9543.0|0|120.0|0|0.0|100
0|2021-12-03|8778.0|0|9561.0|0|120.0|0|0.0|100
0|2021-12-04|8778.0|0|9561.0|0|120.0|0|0.0|100
0|2021-12-05|8778.0|0|9561.0|0|120.0|0|0.0|100
0|2021-12-06|8791.0|0|9574.0|0|120.0|0|0.0|100
0|2021-12-07|8807.0|0|9590.0|0|120.0|0|0.0|100
0|2021-12-08|8819.0|0|9602.0|0|121.0|0|0.0|100
0|2021-12-09|8834.0|0|9617.0|0|122.0|0|0.0|100
0|2021-12-10|8839.0|0|9622.0|0|122.0|0|0.0|100
0|2021-12-11|8839.0|0|9622.0|0|122.0|0|0.0|100
0|2021-12-12|8839.0|0|9622.0|0|122.0|0|0.0|100
0|2021-12-13|8858.0|0|9662.0|0|122.0|0|0.0|100
0|2021-12-14|8858.0|0|9683.0|0|122.0|0|0.0|100
0|2021-12-15|8881.0|0|9692.0|0|123.0|0|0.0|100
0|2021-12-16|8889.0|0|9700.0|0|123.0|0|0.0|100
0|2021-12-17|8899.0|0|9710.0|0|123.0|0|0.0|100
0|2021-12-18|8899.0|0|9710.0|0|123.0|0|0.0|100
0|2021-12-19|8899.0|0|9710.0|0|123.0|0|0.0|100
0|2021-12-20|8900.0|0|9711.0|0|123.0|0|0.0|100
0|2021-12-21|8914.0|0|9725.0|0|123.0|0|0.0|100
0|2021-12-22|8918.0|0|9729.0|0|123.0|0|0.0|100
0|2021-12-23|8929.0|0|9740.0|0|123.0|0|0.0|100
0|2021-12-24|8929.0|0|9740.0|0|123.0|0|0.0|100
0|2021-12-25|8929.0|0|9740.0|0|123.0|0|0.0|100
0|2021-12-26|8929.0|0|9740.0|0|123.0|0|0.0|100
0|2021-12-27|8944.0|0|9755.0|0|123.0|0|0.0|100
0|2021-12-28|8963.0|0|9796.0|0|123.0|0|0.0|100
0|2021-12-29|8967.0|0|9800.0|0|124.0|0|0.0|100
0|2021-12-30|8979.0|0|9820.0|0|124.0|0|0.0|100
0|2021-12-31|8979.0|0|9820.0|0|124.0|0|0.0|100
0|2022-01-01|8979.0|0|9820.0|0|124.0|0|0.0|100
0|2022-01-02|8979.0|0|9820.0|0|124.0|0|0.0|100
0|2022-01-03|8997.0|0|9838.0|0|124.0|0|0.0|100
0|2022-01-04|9038.0|0|9884.0|0|125.0|0|0.0|100
0|2022-01-05|9062.0|0|9920.0|0|125.0|0|0.0|100
0|2022-01-06|9093.0|0|9951.0|0|126.0|0|0.0|100
0|2022-01-07|9135.0|0|9993.0|0|126.0|0|0.0|100
0|2022-01-08|9135.0|0|9993.0|0|126.0|0|0.0|100
0|2022-01-09|9135.0|0|9993.0|0|126.0|0|0.0|100
0|2022-01-10|9185.0|0|10064.0|0|126.0|0|0.0|100
0|2022-01-11|9236.0|0|10115.0|0|126.0|0|0.0|100
0|2022-01-12|9275.0|0|10154.0|0|127.0|0|0.0|100
0|2022-01-13|9275.0|0|10200.0|0|127.0|0|0.0|100
0|2022-01-14|9389.0|0|10268.0|0|127.0|0|0.0|100
0|2022-01-15|9389.0|0|10268.0|0|127.0|0|0.0|100
0|2022-01-16|9389.0|0|10268.0|0|127.0|0|0.0|100
0|2022-01-17|9389.0|0|0.0|100|127.0|0|0.0|100
