|dates|Esmeralda_Nevada_UnitedStates.AveragePrecipitationTotal.data|Esmeralda_Nevada_UnitedStates.AveragePrecipitationTotal.missing|Esmeralda_Nevada_UnitedStates.AveragePrecipitation.data|Esmeralda_Nevada_UnitedStates.AveragePrecipitation.missing|Esmeralda_Nevada_UnitedStates.AverageWindDirection.data|Esmeralda_Nevada_UnitedStates.AverageWindDirection.missing|Esmeralda_Nevada_UnitedStates.AverageWindSpeed.data|Esmeralda_Nevada_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|188.33333333333334|0|8.125|0
0|2021-10-18|0.0|0|0.0|0|254.16666666666666|0|15.333333333333334|0
0|2021-10-19|0.0|0|0.0|0|193.75|0|10.5|0
0|2021-10-20|0.0|0|0.0|0|217.91666666666666|0|5.5|0
0|2021-10-21|0.0|0|0.0|0|205.41666666666666|0|4.416666666666667|0
0|2021-10-22|0.0|0|0.0|0|178.33333333333334|0|7.916666666666667|0
0|2021-10-23|0.0|0|0.0|0|175.83333333333334|0|6.166666666666667|0
0|2021-10-24|0.0|0|0.0|0|138.75|0|8.166666666666666|0
0|2021-10-25|0.0|0|0.020520833333333332|0|250.20833333333334|0|14.635416666666666|0
0|2021-10-26|0.027083333333333334|0|0.0|0|157.91666666666666|0|2.75|0
0|2021-10-27|0.0|0|0.0|0|243.54166666666666|0|5.9375|0
0|2021-10-28|0.0|0|0.0|0|207.91666666666666|0|4.791666666666667|0
0|2021-10-29|0.0|0|0.0|0|215.0|0|5.0|0
0|2021-10-30|0.0|0|0.0|0|169.58333333333334|0|5.333333333333333|0
0|2021-10-31|0.0|0|0.0|0|183.33333333333334|0|5.666666666666667|0
0|2021-11-01|0.0|0|0.0|0|167.91666666666666|0|4.708333333333333|0
0|2021-11-02|0.0|0|0.0|0|136.25|0|3.0416666666666665|0
0|2021-11-03|0.0|0|0.0|0|226.66666666666666|0|5.666666666666667|0
0|2021-11-04|0.0|0|0.0|0|215.83333333333334|0|4.916666666666667|0
0|2021-11-05|0.0|0|0.0|0|196.25|0|7.916666666666667|0
0|2021-11-06|0.0|0|0.0|0|162.08333333333334|0|6.791666666666667|0
0|2021-11-07|0.0|0|0.0|0|188.125|0|7.1875|0
0|2021-11-08|0.0|0|0.0|0|175.83333333333334|0|4.458333333333333|0
0|2021-11-09|0.0|0|0.005416666666666667|0|211.66666666666666|0|5.125|0
0|2021-11-10|0.005416666666666667|0|0.0|0|185.83333333333334|0|6.875|0
0|2021-11-11|0.0|0|0.0|0|227.91666666666666|0|5.25|0
0|2021-11-12|0.0|0|0.0|0|243.33333333333334|0|5.75|0
0|2021-11-13|0.0|0|0.0|0|237.5|0|5.333333333333333|0
0|2021-11-14|0.0|0|0.0|0|206.66666666666666|0|5.0|0
0|2021-11-15|0.0|0|0.0|0|200.0|0|3.5833333333333335|0
0|2021-11-16|0.0|0|0.0|0|219.58333333333334|0|7.416666666666667|0
0|2021-11-17|0.0|0|0.0|0|151.66666666666666|0|5.791666666666667|0
0|2021-11-18|0.0|0|0.0|0|0.0|0|3.0|0
0|2021-11-19|0.0|0|0.0|0|0.0|0|3.0|0
0|2021-11-20|0.0|0|0.0|0|0.0|0|3.0|0
0|2021-11-21|0.0|0|0.0|0|0.0|0|3.0|0
0|2021-11-22|0.0|0|0.0|0|145.625|0|3.5416666666666665|0
0|2021-11-23|0.0|0|0.0|0|192.91666666666666|0|8.041666666666666|0
0|2021-11-24|0.0|0|0.0|0|305.4166666666667|0|15.125|0
0|2021-11-25|0.0|0|0.0|0|252.91666666666666|0|6.041666666666667|0
0|2021-11-26|0.0|0|0.0|0|257.5|0|4.791666666666667|0
0|2021-11-27|0.0|0|0.0|0|223.75|0|4.791666666666667|0
0|2021-11-28|0.0|0|0.0|0|232.91666666666666|0|4.708333333333333|0
0|2021-11-29|0.0|0|0.0|0|244.16666666666666|0|5.208333333333333|0
0|2021-11-30|0.0|0|0.0|0|255.83333333333334|0|5.666666666666667|0
0|2021-12-01|0.0|0|0.0|0|220.83333333333334|0|5.333333333333333|0
0|2021-12-02|0.0|0|0.0|0|255.0|0|5.291666666666667|0
0|2021-12-03|0.0|0|0.0|0|184.58333333333334|0|4.791666666666667|0
0|2021-12-04|0.0|0|0.0|0|217.91666666666666|0|4.583333333333333|0
0|2021-12-05|0.0|0|0.0|0|297.5|0|10.375|0
0|2021-12-06|0.0|0|0.0|0|157.5|0|4.291666666666667|0
0|2021-12-07|0.0|0|0.0|0|291.25|0|7.083333333333333|0
0|2021-12-08|0.0|0|0.0|0|200.83333333333334|0|4.5|0
0|2021-12-09|0.0|0|0.0|0|232.91666666666666|0|11.833333333333334|0
0|2021-12-10|0.0|0|0.0|0|165.0|0|5.375|0
0|2021-12-11|0.0|0|0.0|0|181.66666666666666|0|4.083333333333333|0
0|2021-12-12|0.0|0|0.0|0|175.41666666666666|0|5.416666666666667|0
0|2021-12-13|0.0|0|0.01861111111111111|0|147.5|0|15.75|0
0|2021-12-14|0.02|0|0.04395833333333334|0|258.40277777777777|0|19.274305555555557|0
0|2021-12-15|0.03666666666666667|0|0.0|0|203.75|0|4.958333333333333|0
0|2021-12-16|0.0|0|0.002104166666666667|0|255.02083333333334|0|6.310416666666666|0
0|2021-12-17|0.0020833333333333333|0|0.0|0|282.0833333333333|0|6.541666666666667|0
0|2021-12-18|0.0|0|0.0|0|220.0|0|4.583333333333333|0
0|2021-12-19|0.0|0|0.0|0|203.75|0|4.041666666666667|0
0|2021-12-20|0.0|0|0.0|0|225.41666666666666|0|4.375|0
0|2021-12-21|0.0|0|0.0|0|165.41666666666666|0|3.5416666666666665|0
0|2021-12-22|0.0|0|0.0004166666666666667|0|162.5|0|4.416666666666667|0
0|2021-12-23|0.0004166666666666667|0|0.04159722222222222|0|141.14583333333334|0|4.253472222222222|0
0|2021-12-24|0.06083333333333333|0|0.0|0|176.84722222222226|0|4.803968253968254|0
0|2021-12-25|0.0|0|0.009444444444444445|0|172.97222222222226|0|10.905555555555557|0
0|2021-12-26|0.007083333333333334|0|0.00020833333333333335|0|138.33333333333334|0|6.111111111111111|0
0|2021-12-27|0.0|0|0.0|0|155.625|0|4.166666666666667|0
0|2021-12-28|0.0|0|0.0|0|169.16666666666666|0|3.2083333333333335|0
0|2021-12-29|0.0|0|0.0004583333333333333|0|130.69444444444446|0|4.121527777777778|0
0|2021-12-30|0.0008333333333333334|0|0.0|0|137.29166666666666|0|2.75|0
0|2021-12-31|0.0|0|0.0|0|231.875|0|10.458333333333334|0
0|2022-01-01|0.0|0|0.0|0|250.41666666666666|0|9.208333333333334|0
0|2022-01-02|0.0|0|0.0|0|227.91666666666666|0|4.583333333333333|0
0|2022-01-03|0.0|0|0.0|0|155.0|0|3.3333333333333335|0
0|2022-01-04|0.0|0|0.0|0|120.41666666666667|0|2.75|0
