|dates|FairbanksNorthStar_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|FairbanksNorthStar_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|FairbanksNorthStar_Alaska_UnitedStates.Male_Total_Population.data|FairbanksNorthStar_Alaska_UnitedStates.Male_Total_Population.missing|FairbanksNorthStar_Alaska_UnitedStates.Female_Total_Population.data|FairbanksNorthStar_Alaska_UnitedStates.Female_Total_Population.missing|FairbanksNorthStar_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|FairbanksNorthStar_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-18|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-19|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-20|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-21|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-22|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-23|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-24|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-25|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-26|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-27|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-28|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-29|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-30|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-10-31|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-01|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-02|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-03|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-04|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-05|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-06|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-07|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-08|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-09|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-10|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-11|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-12|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-13|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-14|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-15|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-16|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-17|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-18|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-19|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-20|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-21|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-22|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-23|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-24|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-25|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-26|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-27|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-28|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-29|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-11-30|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-01|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-02|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-03|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-04|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-05|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-06|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-07|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-08|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-09|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-10|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-11|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-12|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-13|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-14|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-15|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-16|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-17|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-18|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-19|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-20|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-21|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-22|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-23|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-24|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-25|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-26|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-27|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-28|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-29|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-30|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2021-12-31|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-01|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-02|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-03|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-04|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-05|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-06|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-07|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-08|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-09|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-10|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-11|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-12|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-13|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-14|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-15|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-16|10204.0|0|53310.0|0|45661.0|0|23861.0|0
0|2022-01-17|10204.0|0|53310.0|0|45661.0|0|23861.0|0
