|dates|Fergus_Montana_UnitedStates.JHU_ConfirmedCases.data|Fergus_Montana_UnitedStates.JHU_ConfirmedCases.missing|Fergus_Montana_UnitedStates.NYT_ConfirmedCases.data|Fergus_Montana_UnitedStates.NYT_ConfirmedCases.missing|Fergus_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Fergus_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Fergus_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Fergus_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1513.0|0|1513.0|0|37.0|0|0.0|100
0|2021-10-18|1517.0|0|1517.0|0|37.0|0|0.0|100
0|2021-10-19|1544.0|0|1544.0|0|37.0|0|0.0|100
0|2021-10-20|1544.0|0|1544.0|0|37.0|0|0.0|100
0|2021-10-21|1563.0|0|1563.0|0|37.0|0|0.0|100
0|2021-10-22|1601.0|0|1601.0|0|37.0|0|0.0|100
0|2021-10-23|1601.0|0|1601.0|0|37.0|0|0.0|100
0|2021-10-24|1601.0|0|1601.0|0|37.0|0|0.0|100
0|2021-10-25|1643.0|0|1643.0|0|38.0|0|0.0|100
0|2021-10-26|1657.0|0|1657.0|0|38.0|0|0.0|100
0|2021-10-27|1658.0|0|1658.0|0|38.0|0|0.0|100
0|2021-10-28|1673.0|0|1673.0|0|38.0|0|0.0|100
0|2021-10-29|1672.0|0|1672.0|0|38.0|0|0.0|100
0|2021-10-30|1672.0|0|1672.0|0|38.0|0|0.0|100
0|2021-10-31|1672.0|0|1672.0|0|38.0|0|0.0|100
0|2021-11-01|1692.0|0|1692.0|0|43.0|0|0.0|100
0|2021-11-02|1717.0|0|1717.0|0|43.0|0|0.0|100
0|2021-11-03|1723.0|0|1723.0|0|43.0|0|0.0|100
0|2021-11-04|1728.0|0|1728.0|0|43.0|0|0.0|100
0|2021-11-05|1738.0|0|1738.0|0|43.0|0|0.0|100
0|2021-11-06|1738.0|0|1738.0|0|43.0|0|0.0|100
0|2021-11-07|1738.0|0|1738.0|0|43.0|0|0.0|100
0|2021-11-08|1743.0|0|1743.0|0|43.0|0|0.0|100
0|2021-11-09|1778.0|0|1778.0|0|43.0|0|0.0|100
0|2021-11-10|1782.0|0|1782.0|0|45.0|0|0.0|100
0|2021-11-11|1782.0|0|1782.0|0|45.0|0|0.0|100
0|2021-11-12|1791.0|0|1791.0|0|46.0|0|0.0|100
0|2021-11-13|1791.0|0|1791.0|0|46.0|0|0.0|100
0|2021-11-14|1791.0|0|1791.0|0|46.0|0|0.0|100
0|2021-11-15|1805.0|0|1805.0|0|46.0|0|0.0|100
0|2021-11-16|1812.0|0|1812.0|0|46.0|0|0.0|100
0|2021-11-17|1813.0|0|1813.0|0|46.0|0|0.0|100
0|2021-11-18|1825.0|0|1825.0|0|46.0|0|0.0|100
0|2021-11-19|1825.0|0|1825.0|0|46.0|0|0.0|100
0|2021-11-20|1825.0|0|1825.0|0|46.0|0|0.0|100
0|2021-11-21|1825.0|0|1825.0|0|46.0|0|0.0|100
0|2021-11-22|1832.0|0|1832.0|0|46.0|0|0.0|100
0|2021-11-23|1837.0|0|1837.0|0|48.0|0|0.0|100
0|2021-11-24|1837.0|0|1837.0|0|48.0|0|0.0|100
0|2021-11-25|1837.0|0|1837.0|0|48.0|0|0.0|100
0|2021-11-26|1842.0|0|1842.0|0|48.0|0|0.0|100
0|2021-11-27|1842.0|0|1842.0|0|48.0|0|0.0|100
0|2021-11-28|1842.0|0|1842.0|0|48.0|0|0.0|100
0|2021-11-29|1842.0|0|1842.0|0|48.0|0|0.0|100
0|2021-11-30|1842.0|0|1842.0|0|48.0|0|0.0|100
0|2021-12-01|1854.0|0|1854.0|0|48.0|0|0.0|100
0|2021-12-02|1854.0|0|1854.0|0|48.0|0|0.0|100
0|2021-12-03|1856.0|0|1856.0|0|48.0|0|0.0|100
0|2021-12-04|1856.0|0|1856.0|0|48.0|0|0.0|100
0|2021-12-05|1856.0|0|1856.0|0|48.0|0|0.0|100
0|2021-12-06|1858.0|0|1858.0|0|48.0|0|0.0|100
0|2021-12-07|1861.0|0|1861.0|0|48.0|0|0.0|100
0|2021-12-08|1861.0|0|1861.0|0|48.0|0|0.0|100
0|2021-12-09|1868.0|0|1868.0|0|48.0|0|0.0|100
0|2021-12-10|1869.0|0|1869.0|0|48.0|0|0.0|100
0|2021-12-11|1869.0|0|1869.0|0|48.0|0|0.0|100
0|2021-12-12|1869.0|0|1869.0|0|48.0|0|0.0|100
0|2021-12-13|1870.0|0|1870.0|0|50.0|0|0.0|100
0|2021-12-14|1870.0|0|1870.0|0|50.0|0|0.0|100
0|2021-12-15|1875.0|0|1875.0|0|50.0|0|0.0|100
0|2021-12-16|1877.0|0|1877.0|0|50.0|0|0.0|100
0|2021-12-17|1877.0|0|1877.0|0|51.0|0|0.0|100
0|2021-12-18|1877.0|0|1877.0|0|51.0|0|0.0|100
0|2021-12-19|1877.0|0|1877.0|0|51.0|0|0.0|100
0|2021-12-20|1878.0|0|1878.0|0|51.0|0|0.0|100
0|2021-12-21|1879.0|0|1879.0|0|51.0|0|0.0|100
0|2021-12-22|1880.0|0|1880.0|0|51.0|0|0.0|100
0|2021-12-23|1882.0|0|1882.0|0|51.0|0|0.0|100
0|2021-12-24|1882.0|0|1882.0|0|51.0|0|0.0|100
0|2021-12-25|1882.0|0|1882.0|0|51.0|0|0.0|100
0|2021-12-26|1882.0|0|1882.0|0|51.0|0|0.0|100
0|2021-12-27|1889.0|0|1889.0|0|51.0|0|0.0|100
0|2021-12-28|1894.0|0|1894.0|0|51.0|0|0.0|100
0|2021-12-29|1894.0|0|1894.0|0|51.0|0|0.0|100
0|2021-12-30|1904.0|0|1904.0|0|51.0|0|0.0|100
0|2021-12-31|1904.0|0|1904.0|0|51.0|0|0.0|100
0|2022-01-01|1904.0|0|1904.0|0|51.0|0|0.0|100
0|2022-01-02|1904.0|0|1904.0|0|51.0|0|0.0|100
0|2022-01-03|1907.0|0|1907.0|0|51.0|0|0.0|100
0|2022-01-04|1911.0|0|1911.0|0|51.0|0|0.0|100
0|2022-01-05|1912.0|0|1912.0|0|51.0|0|0.0|100
0|2022-01-06|1933.0|0|1933.0|0|51.0|0|0.0|100
0|2022-01-07|1958.0|0|1958.0|0|52.0|0|0.0|100
0|2022-01-08|1958.0|0|1958.0|0|52.0|0|0.0|100
0|2022-01-09|1958.0|0|1958.0|0|52.0|0|0.0|100
0|2022-01-10|1963.0|0|1963.0|0|52.0|0|0.0|100
0|2022-01-11|1963.0|0|1963.0|0|52.0|0|0.0|100
0|2022-01-12|1994.0|0|1994.0|0|52.0|0|0.0|100
0|2022-01-13|1994.0|0|2003.0|0|52.0|0|0.0|100
