|dates|Gaines_Texas_UnitedStates.JHU_ConfirmedCases.data|Gaines_Texas_UnitedStates.JHU_ConfirmedCases.missing|Gaines_Texas_UnitedStates.NYT_ConfirmedCases.data|Gaines_Texas_UnitedStates.NYT_ConfirmedCases.missing|Gaines_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Gaines_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Gaines_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Gaines_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2120.0|0|2120.0|0|59.0|0|0.0|100
0|2021-10-18|2120.0|0|2120.0|0|59.0|0|0.0|100
0|2021-10-19|2126.0|0|2126.0|0|59.0|0|0.0|100
0|2021-10-20|2126.0|0|2126.0|0|59.0|0|0.0|100
0|2021-10-21|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-22|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-23|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-24|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-25|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-26|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-27|2131.0|0|2131.0|0|60.0|0|0.0|100
0|2021-10-28|2154.0|0|2154.0|0|60.0|0|0.0|100
0|2021-10-29|2154.0|0|2154.0|0|60.0|0|0.0|100
0|2021-10-30|2154.0|0|2154.0|0|60.0|0|0.0|100
0|2021-10-31|2154.0|0|2154.0|0|60.0|0|0.0|100
0|2021-11-01|2154.0|0|2154.0|0|60.0|0|0.0|100
0|2021-11-02|2164.0|0|2164.0|0|60.0|0|0.0|100
0|2021-11-03|2168.0|0|2168.0|0|60.0|0|0.0|100
0|2021-11-04|2168.0|0|2168.0|0|60.0|0|0.0|100
0|2021-11-05|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-06|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-07|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-08|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-09|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-10|2168.0|0|2168.0|0|61.0|0|0.0|100
0|2021-11-11|2182.0|0|2182.0|0|62.0|0|0.0|100
0|2021-11-12|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-13|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-14|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-15|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-16|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-17|2182.0|0|2182.0|0|63.0|0|0.0|100
0|2021-11-18|2184.0|0|2184.0|0|64.0|0|0.0|100
0|2021-11-19|2184.0|0|2184.0|0|64.0|0|0.0|100
0|2021-11-20|2184.0|0|2184.0|0|65.0|0|0.0|100
0|2021-11-21|2184.0|0|2184.0|0|65.0|0|0.0|100
0|2021-11-22|2184.0|0|2184.0|0|65.0|0|0.0|100
0|2021-11-23|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-24|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-25|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-26|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-27|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-28|2189.0|0|2189.0|0|65.0|0|0.0|100
0|2021-11-29|2191.0|0|2191.0|0|65.0|0|0.0|100
0|2021-11-30|2191.0|0|2191.0|0|65.0|0|0.0|100
0|2021-12-01|2191.0|0|2191.0|0|65.0|0|0.0|100
0|2021-12-02|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-03|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-04|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-05|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-06|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-07|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-08|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-09|2192.0|0|2192.0|0|65.0|0|0.0|100
0|2021-12-10|2195.0|0|2195.0|0|66.0|0|0.0|100
0|2021-12-11|2196.0|0|2196.0|0|66.0|0|0.0|100
0|2021-12-12|2197.0|0|2197.0|0|66.0|0|0.0|100
0|2021-12-13|2197.0|0|2197.0|0|66.0|0|0.0|100
0|2021-12-14|2197.0|0|2198.0|0|66.0|0|0.0|100
0|2021-12-15|2198.0|0|2198.0|0|67.0|0|0.0|100
0|2021-12-16|2200.0|0|2200.0|0|67.0|0|0.0|100
0|2021-12-17|2202.0|0|2202.0|0|67.0|0|0.0|100
0|2021-12-18|2203.0|0|2203.0|0|67.0|0|0.0|100
0|2021-12-19|2203.0|0|2203.0|0|67.0|0|0.0|100
0|2021-12-20|2204.0|0|2204.0|0|67.0|0|0.0|100
0|2021-12-21|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-22|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-23|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-24|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-25|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-26|2205.0|0|2205.0|0|67.0|0|0.0|100
0|2021-12-27|2211.0|0|2211.0|0|68.0|0|0.0|100
0|2021-12-28|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2021-12-29|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2021-12-30|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2021-12-31|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2022-01-01|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2022-01-02|2212.0|0|2212.0|0|68.0|0|0.0|100
0|2022-01-03|2221.0|0|2221.0|0|68.0|0|0.0|100
0|2022-01-04|2223.0|0|2223.0|0|69.0|0|0.0|100
0|2022-01-05|2226.0|0|2226.0|0|69.0|0|0.0|100
0|2022-01-06|2239.0|0|2239.0|0|71.0|0|0.0|100
0|2022-01-07|2241.0|0|2241.0|0|71.0|0|0.0|100
0|2022-01-08|2244.0|0|2244.0|0|71.0|0|0.0|100
0|2022-01-09|2246.0|0|2246.0|0|71.0|0|0.0|100
0|2022-01-10|2249.0|0|2249.0|0|71.0|0|0.0|100
0|2022-01-11|2253.0|0|2253.0|0|71.0|0|0.0|100
0|2022-01-12|2271.0|0|2271.0|0|72.0|0|0.0|100
0|2022-01-13|2271.0|0|2327.0|0|72.0|0|0.0|100
0|2022-01-14|2327.0|0|1557.0|0|72.0|0|0.0|100
0|2022-01-15|1561.0|0|1561.0|0|72.0|0|0.0|100
0|2022-01-16|1567.0|0|1567.0|0|72.0|0|0.0|100
0|2022-01-17|1573.0|0|0.0|100|72.0|0|0.0|100
