|dates|Garfield_Washington_UnitedStates.JHU_ConfirmedCases.data|Garfield_Washington_UnitedStates.JHU_ConfirmedCases.missing|Garfield_Washington_UnitedStates.NYT_ConfirmedCases.data|Garfield_Washington_UnitedStates.NYT_ConfirmedCases.missing|Garfield_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Garfield_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Garfield_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Garfield_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|239.0|0|239.0|0|7.0|0|0.0|100
0|2021-10-18|239.0|0|239.0|0|7.0|0|0.0|100
0|2021-10-19|242.0|0|242.0|0|7.0|0|0.0|100
0|2021-10-20|243.0|0|243.0|0|7.0|0|0.0|100
0|2021-10-21|244.0|0|244.0|0|7.0|0|0.0|100
0|2021-10-22|244.0|0|244.0|0|7.0|0|0.0|100
0|2021-10-23|244.0|0|244.0|0|7.0|0|0.0|100
0|2021-10-24|244.0|0|244.0|0|7.0|0|0.0|100
0|2021-10-25|245.0|0|245.0|0|7.0|0|0.0|100
0|2021-10-26|248.0|0|248.0|0|7.0|0|0.0|100
0|2021-10-27|250.0|0|250.0|0|7.0|0|0.0|100
0|2021-10-28|250.0|0|250.0|0|7.0|0|0.0|100
0|2021-10-29|250.0|0|250.0|0|7.0|0|0.0|100
0|2021-10-30|250.0|0|250.0|0|7.0|0|0.0|100
0|2021-10-31|250.0|0|250.0|0|7.0|0|0.0|100
0|2021-11-01|251.0|0|251.0|0|7.0|0|0.0|100
0|2021-11-02|251.0|0|251.0|0|7.0|0|0.0|100
0|2021-11-03|251.0|0|251.0|0|7.0|0|0.0|100
0|2021-11-04|251.0|0|251.0|0|7.0|0|0.0|100
0|2021-11-05|252.0|0|252.0|0|7.0|0|0.0|100
0|2021-11-06|252.0|0|252.0|0|7.0|0|0.0|100
0|2021-11-07|252.0|0|252.0|0|7.0|0|0.0|100
0|2021-11-08|254.0|0|254.0|0|7.0|0|0.0|100
0|2021-11-09|253.0|0|253.0|0|7.0|0|0.0|100
0|2021-11-10|253.0|0|253.0|0|7.0|0|0.0|100
