|dates|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Gaston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Gaston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|39320.0|0|39320.0|0|595.0|0|0.0|100
0|2021-10-18|39524.0|0|39524.0|0|602.0|0|0.0|100
0|2021-10-19|39553.0|0|39553.0|0|602.0|0|0.0|100
0|2021-10-20|39611.0|0|39611.0|0|603.0|0|0.0|100
0|2021-10-21|39665.0|0|39665.0|0|603.0|0|0.0|100
0|2021-10-22|39725.0|0|39725.0|0|609.0|0|0.0|100
0|2021-10-23|39725.0|0|39725.0|0|609.0|0|0.0|100
0|2021-10-24|39725.0|0|39725.0|0|609.0|0|0.0|100
0|2021-10-25|39858.0|0|39858.0|0|615.0|0|0.0|100
0|2021-10-26|39877.0|0|39877.0|0|615.0|0|0.0|100
0|2021-10-27|39910.0|0|39910.0|0|615.0|0|0.0|100
0|2021-10-28|39978.0|0|39978.0|0|621.0|0|0.0|100
0|2021-10-29|40027.0|0|40027.0|0|621.0|0|0.0|100
0|2021-10-30|40027.0|0|40027.0|0|621.0|0|0.0|100
0|2021-10-31|40027.0|0|40027.0|0|621.0|0|0.0|100
0|2021-11-01|40131.0|0|40131.0|0|622.0|0|0.0|100
0|2021-11-02|40152.0|0|40152.0|0|622.0|0|0.0|100
0|2021-11-03|40167.0|0|40167.0|0|624.0|0|0.0|100
0|2021-11-04|40208.0|0|40208.0|0|624.0|0|0.0|100
0|2021-11-05|40243.0|0|40243.0|0|624.0|0|0.0|100
0|2021-11-06|40243.0|0|40243.0|0|624.0|0|0.0|100
0|2021-11-07|40243.0|0|40243.0|0|624.0|0|0.0|100
0|2021-11-08|40355.0|0|40355.0|0|626.0|0|0.0|100
0|2021-11-09|40386.0|0|40386.0|0|626.0|0|0.0|100
0|2021-11-10|40386.0|0|40456.0|0|626.0|0|0.0|100
0|2021-11-11|40456.0|0|40456.0|0|627.0|0|0.0|100
0|2021-11-12|40592.0|0|40592.0|0|628.0|0|0.0|100
0|2021-11-13|40592.0|0|40592.0|0|628.0|0|0.0|100
0|2021-11-14|40592.0|0|40592.0|0|628.0|0|0.0|100
0|2021-11-15|40766.0|0|40766.0|0|628.0|0|0.0|100
0|2021-11-16|40824.0|0|40824.0|0|628.0|0|0.0|100
0|2021-11-17|40885.0|0|40885.0|0|629.0|0|0.0|100
0|2021-11-18|40980.0|0|40980.0|0|630.0|0|0.0|100
