|dates|Goshen_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Goshen_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Goshen_Wyoming_UnitedStates.Male_Total_Population.data|Goshen_Wyoming_UnitedStates.Male_Total_Population.missing|Goshen_Wyoming_UnitedStates.Female_Total_Population.data|Goshen_Wyoming_UnitedStates.Female_Total_Population.missing|Goshen_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.data|Goshen_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-18|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-19|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-20|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-21|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-22|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-23|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-24|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-25|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-26|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-27|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-28|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-29|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-30|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-10-31|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-01|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-02|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-03|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-04|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-05|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-06|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-07|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-08|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-09|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-10|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-11|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-12|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-13|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-14|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-15|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-16|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-17|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-18|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-19|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-20|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-21|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-22|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-23|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-24|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-25|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-26|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-27|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-28|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-29|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-11-30|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2021-12-01|2934.0|0|6983.0|0|6393.0|0|2685.0|0
