|dates|Greene_Alabama_UnitedStates.JHU_ConfirmedCases.data|Greene_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Greene_Alabama_UnitedStates.NYT_ConfirmedCases.data|Greene_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Greene_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1258.0|0|1258.0|0|44.0|0|0.0|100
0|2021-10-18|1258.0|0|1258.0|0|44.0|0|0.0|100
0|2021-10-19|1258.0|0|1258.0|0|44.0|0|0.0|100
0|2021-10-20|1262.0|0|1262.0|0|44.0|0|0.0|100
0|2021-10-21|1266.0|0|1266.0|0|44.0|0|0.0|100
0|2021-10-22|1266.0|0|1266.0|0|44.0|0|0.0|100
0|2021-10-23|1267.0|0|1267.0|0|44.0|0|0.0|100
0|2021-10-24|1267.0|0|1267.0|0|44.0|0|0.0|100
0|2021-10-25|1267.0|0|1267.0|0|44.0|0|0.0|100
0|2021-10-26|1267.0|0|1267.0|0|44.0|0|0.0|100
0|2021-10-27|1267.0|0|1267.0|0|44.0|0|0.0|100
0|2021-10-28|1277.0|0|1277.0|0|44.0|0|0.0|100
0|2021-10-29|1277.0|0|1277.0|0|44.0|0|0.0|100
0|2021-10-30|1277.0|0|1277.0|0|44.0|0|0.0|100
0|2021-10-31|1277.0|0|1277.0|0|44.0|0|0.0|100
0|2021-11-01|1278.0|0|1278.0|0|44.0|0|0.0|100
0|2021-11-02|1280.0|0|1280.0|0|44.0|0|0.0|100
0|2021-11-03|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-04|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-05|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-06|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-07|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-08|1284.0|0|1284.0|0|44.0|0|0.0|100
0|2021-11-09|1287.0|0|1287.0|0|44.0|0|0.0|100
0|2021-11-10|1287.0|0|1288.0|0|44.0|0|0.0|100
0|2021-11-11|1293.0|0|1293.0|0|44.0|0|0.0|100
0|2021-11-12|1293.0|0|1293.0|0|44.0|0|0.0|100
0|2021-11-13|1294.0|0|1294.0|0|45.0|0|0.0|100
0|2021-11-14|1294.0|0|1294.0|0|45.0|0|0.0|100
0|2021-11-15|1294.0|0|1294.0|0|45.0|0|0.0|100
0|2021-11-16|1296.0|0|1296.0|0|45.0|0|0.0|100
0|2021-11-17|1295.0|0|1295.0|0|45.0|0|0.0|100
0|2021-11-18|1297.0|0|1297.0|0|45.0|0|0.0|100
0|2021-11-19|1298.0|0|1298.0|0|45.0|0|0.0|100
0|2021-11-20|1300.0|0|1300.0|0|45.0|0|0.0|100
0|2021-11-21|1300.0|0|1300.0|0|45.0|0|0.0|100
0|2021-11-22|1300.0|0|1300.0|0|45.0|0|0.0|100
0|2021-11-23|1301.0|0|1301.0|0|45.0|0|0.0|100
0|2021-11-24|1301.0|0|1301.0|0|45.0|0|0.0|100
0|2021-11-25|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-11-26|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-11-27|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-11-28|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-11-29|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-11-30|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-12-01|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-12-02|1302.0|0|1302.0|0|45.0|0|0.0|100
0|2021-12-03|1303.0|0|1303.0|0|45.0|0|0.0|100
0|2021-12-04|1305.0|0|1305.0|0|45.0|0|0.0|100
0|2021-12-05|1307.0|0|1307.0|0|45.0|0|0.0|100
0|2021-12-06|1307.0|0|1307.0|0|45.0|0|0.0|100
0|2021-12-07|1308.0|0|1308.0|0|45.0|0|0.0|100
0|2021-12-08|1310.0|0|1310.0|0|45.0|0|0.0|100
0|2021-12-09|1310.0|0|1310.0|0|45.0|0|0.0|100
0|2021-12-10|1310.0|0|1310.0|0|45.0|0|0.0|100
0|2021-12-11|1311.0|0|1311.0|0|45.0|0|0.0|100
0|2021-12-12|1311.0|0|1311.0|0|45.0|0|0.0|100
0|2021-12-13|1311.0|0|1311.0|0|45.0|0|0.0|100
0|2021-12-14|1311.0|0|1311.0|0|45.0|0|0.0|100
0|2021-12-15|1312.0|0|1312.0|0|45.0|0|0.0|100
