|dates|Haines_Alaska_UnitedStates.JHU_ConfirmedCases.data|Haines_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Haines_Alaska_UnitedStates.NYT_ConfirmedCases.data|Haines_Alaska_UnitedStates.NYT_ConfirmedCases.missing|Haines_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Haines_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Haines_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Haines_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|228.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-18|228.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-19|228.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-20|228.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-21|228.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-22|229.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-23|229.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-24|229.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-25|230.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-26|230.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-27|230.0|0|0.0|100|0.0|0|0.0|100
0|2021-10-28|230.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-29|232.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-30|232.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-31|232.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-01|232.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-02|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-03|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-04|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-05|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-06|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-07|233.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-08|236.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-09|236.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-10|236.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-11|236.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-12|237.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-13|237.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-14|237.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-15|238.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-16|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-17|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-18|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-19|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-20|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-21|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-22|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-23|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-24|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-25|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-26|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-27|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-28|239.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-29|240.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-30|240.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-01|240.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-02|240.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-03|241.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-04|241.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-05|241.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-06|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-07|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-08|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-09|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-10|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-11|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-12|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-13|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-14|243.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-15|244.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-16|244.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-17|246.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-18|246.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-19|246.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-20|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-21|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-22|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-23|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-24|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-25|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-26|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-27|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-28|247.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-29|259.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-30|259.0|0|0.0|100|1.0|0|0.0|100
0|2021-12-31|259.0|0|0.0|100|1.0|0|0.0|100
0|2022-01-01|259.0|0|0.0|100|1.0|0|0.0|100
0|2022-01-02|259.0|0|0.0|100|1.0|0|0.0|100
0|2022-01-03|279.0|0|0.0|100|1.0|0|0.0|100
