|dates|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Georgia_UnitedStates.NYT_ConfirmedCases.data|Hancock_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-18|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-19|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-20|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-21|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-22|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-23|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-24|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-25|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-26|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-27|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-28|1121.0|0|1124.0|0|80.0|0|0.0|100
0|2021-10-29|1121.0|0|1124.0|0|81.0|0|0.0|100
0|2021-10-30|1121.0|0|1124.0|0|81.0|0|0.0|100
0|2021-10-31|1121.0|0|1124.0|0|81.0|0|0.0|100
0|2021-11-01|1121.0|0|1125.0|0|81.0|0|0.0|100
0|2021-11-02|1121.0|0|1125.0|0|81.0|0|0.0|100
0|2021-11-03|1123.0|0|1127.0|0|81.0|0|0.0|100
0|2021-11-04|1123.0|0|1127.0|0|81.0|0|0.0|100
0|2021-11-05|1123.0|0|1127.0|0|82.0|0|0.0|100
0|2021-11-06|1123.0|0|1127.0|0|82.0|0|0.0|100
0|2021-11-07|1123.0|0|1127.0|0|82.0|0|0.0|100
0|2021-11-08|1123.0|0|1128.0|0|82.0|0|0.0|100
0|2021-11-09|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-10|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-11|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-12|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-13|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-14|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-15|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-16|1124.0|0|1129.0|0|82.0|0|0.0|100
0|2021-11-17|1125.0|0|1130.0|0|82.0|0|0.0|100
0|2021-11-18|1126.0|0|1131.0|0|82.0|0|0.0|100
0|2021-11-19|1125.0|0|1130.0|0|82.0|0|0.0|100
0|2021-11-20|1125.0|0|1130.0|0|82.0|0|0.0|100
0|2021-11-21|1125.0|0|1130.0|0|82.0|0|0.0|100
