|dates|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hawkins_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hawkins_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10046.0|0|10046.0|0|164.0|0|0.0|100
0|2021-10-18|10078.0|0|10078.0|0|165.0|0|0.0|100
0|2021-10-19|10093.0|0|10093.0|0|166.0|0|0.0|100
0|2021-10-20|10114.0|0|10114.0|0|167.0|0|0.0|100
0|2021-10-21|10136.0|0|10136.0|0|167.0|0|0.0|100
0|2021-10-22|10144.0|0|10144.0|0|167.0|0|0.0|100
0|2021-10-23|10144.0|0|10144.0|0|167.0|0|0.0|100
0|2021-10-24|10144.0|0|10144.0|0|167.0|0|0.0|100
0|2021-10-25|10144.0|0|10144.0|0|167.0|0|0.0|100
0|2021-10-26|10199.0|0|10199.0|0|167.0|0|0.0|100
0|2021-10-27|10207.0|0|10207.0|0|167.0|0|0.0|100
0|2021-10-28|10235.0|0|10235.0|0|167.0|0|0.0|100
0|2021-10-29|10247.0|0|10247.0|0|167.0|0|0.0|100
0|2021-10-30|10247.0|0|10247.0|0|167.0|0|0.0|100
0|2021-10-31|10247.0|0|10247.0|0|167.0|0|0.0|100
0|2021-11-01|10247.0|0|10247.0|0|167.0|0|0.0|100
0|2021-11-02|10283.0|0|10283.0|0|168.0|0|0.0|100
0|2021-11-03|10295.0|0|10295.0|0|168.0|0|0.0|100
0|2021-11-04|10313.0|0|10313.0|0|169.0|0|0.0|100
0|2021-11-05|10321.0|0|10321.0|0|170.0|0|0.0|100
0|2021-11-06|10321.0|0|10321.0|0|170.0|0|0.0|100
0|2021-11-07|10321.0|0|10321.0|0|170.0|0|0.0|100
0|2021-11-08|10321.0|0|10321.0|0|170.0|0|0.0|100
0|2021-11-09|10377.0|0|10377.0|0|174.0|0|0.0|100
0|2021-11-10|10404.0|0|10404.0|0|175.0|0|0.0|100
0|2021-11-11|10404.0|0|10404.0|0|175.0|0|0.0|100
