|dates|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedCases.data|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedCases.missing|HoodRiver_Oregon_UnitedStates.NYT_ConfirmedCases.data|HoodRiver_Oregon_UnitedStates.NYT_ConfirmedCases.missing|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|HoodRiver_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1883.0|0|1883.0|0|37.0|0|0.0|100
0|2021-10-18|1901.0|0|1901.0|0|37.0|0|0.0|100
0|2021-10-19|1905.0|0|1905.0|0|37.0|0|0.0|100
0|2021-10-20|1916.0|0|1916.0|0|37.0|0|0.0|100
0|2021-10-21|1921.0|0|1921.0|0|37.0|0|0.0|100
0|2021-10-22|1928.0|0|1928.0|0|37.0|0|0.0|100
0|2021-10-23|1928.0|0|1928.0|0|37.0|0|0.0|100
0|2021-10-24|1928.0|0|1928.0|0|37.0|0|0.0|100
0|2021-10-25|1947.0|0|1947.0|0|37.0|0|0.0|100
0|2021-10-26|1958.0|0|1958.0|0|37.0|0|0.0|100
0|2021-10-27|1966.0|0|1966.0|0|37.0|0|0.0|100
0|2021-10-28|1970.0|0|1967.0|0|37.0|0|0.0|100
0|2021-10-29|1973.0|0|1973.0|0|37.0|0|0.0|100
0|2021-10-30|1973.0|0|1973.0|0|37.0|0|0.0|100
0|2021-10-31|1973.0|0|1973.0|0|37.0|0|0.0|100
0|2021-11-01|1985.0|0|1985.0|0|37.0|0|0.0|100
0|2021-11-02|1992.0|0|1992.0|0|37.0|0|0.0|100
0|2021-11-03|1997.0|0|1997.0|0|37.0|0|0.0|100
0|2021-11-04|2002.0|0|2002.0|0|37.0|0|0.0|100
0|2021-11-05|2007.0|0|2007.0|0|37.0|0|0.0|100
