|dates|Jackson_Oregon_UnitedStates.JHU_ConfirmedCases.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Oregon_UnitedStates.NYT_ConfirmedCases.data|Jackson_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22632.0|0|22632.0|0|300.0|0|0.0|100
0|2021-10-18|22783.0|0|22783.0|0|304.0|0|0.0|100
0|2021-10-19|22837.0|0|22837.0|0|305.0|0|0.0|100
0|2021-10-20|22911.0|0|22911.0|0|308.0|0|0.0|100
0|2021-10-21|22982.0|0|22982.0|0|310.0|0|0.0|100
0|2021-10-22|23059.0|0|23059.0|0|310.0|0|0.0|100
0|2021-10-23|23059.0|0|23059.0|0|310.0|0|0.0|100
0|2021-10-24|23059.0|0|23059.0|0|310.0|0|0.0|100
0|2021-10-25|23165.0|0|23165.0|0|310.0|0|0.0|100
0|2021-10-26|23248.0|0|23248.0|0|310.0|0|0.0|100
0|2021-10-27|23297.0|0|23297.0|0|314.0|0|0.0|100
0|2021-10-28|23351.0|0|23350.0|0|318.0|0|0.0|100
0|2021-10-29|23433.0|0|23433.0|0|320.0|0|0.0|100
0|2021-10-30|23433.0|0|23433.0|0|320.0|0|0.0|100
0|2021-10-31|23433.0|0|23433.0|0|320.0|0|0.0|100
0|2021-11-01|23577.0|0|23577.0|0|321.0|0|0.0|100
0|2021-11-02|23618.0|0|23618.0|0|324.0|0|0.0|100
0|2021-11-03|23694.0|0|23694.0|0|329.0|0|0.0|100
0|2021-11-04|23754.0|0|23754.0|0|329.0|0|0.0|100
0|2021-11-05|23807.0|0|23807.0|0|330.0|0|0.0|100
0|2021-11-06|23807.0|0|23807.0|0|330.0|0|0.0|100
0|2021-11-07|23807.0|0|23807.0|0|330.0|0|0.0|100
0|2021-11-08|23889.0|0|23889.0|0|333.0|0|0.0|100
0|2021-11-09|23955.0|0|23955.0|0|335.0|0|0.0|100
0|2021-11-10|24008.0|0|24008.0|0|338.0|0|0.0|100
0|2021-11-11|24008.0|0|24008.0|0|338.0|0|0.0|100
0|2021-11-12|24103.0|0|24103.0|0|339.0|0|0.0|100
0|2021-11-13|24103.0|0|24103.0|0|339.0|0|0.0|100
0|2021-11-14|24103.0|0|24103.0|0|339.0|0|0.0|100
0|2021-11-15|24182.0|0|24182.0|0|341.0|0|0.0|100
0|2021-11-16|24267.0|0|24267.0|0|345.0|0|0.0|100
0|2021-11-17|24337.0|0|24337.0|0|344.0|0|0.0|100
0|2021-11-18|24404.0|0|24404.0|0|345.0|0|0.0|100
0|2021-11-19|24450.0|0|24450.0|0|347.0|0|0.0|100
0|2021-11-20|24450.0|0|24450.0|0|347.0|0|0.0|100
0|2021-11-21|24450.0|0|24450.0|0|347.0|0|0.0|100
0|2021-11-22|24555.0|0|24555.0|0|347.0|0|0.0|100
0|2021-11-23|24605.0|0|24605.0|0|349.0|0|0.0|100
0|2021-11-24|24672.0|0|24672.0|0|350.0|0|0.0|100
0|2021-11-25|24672.0|0|24672.0|0|350.0|0|0.0|100
0|2021-11-26|24672.0|0|24672.0|0|350.0|0|0.0|100
0|2021-11-27|24672.0|0|24672.0|0|350.0|0|0.0|100
0|2021-11-28|24672.0|0|24672.0|0|350.0|0|0.0|100
0|2021-11-29|24808.0|0|24808.0|0|357.0|0|0.0|100
0|2021-11-30|24880.0|0|24880.0|0|360.0|0|0.0|100
0|2021-12-01|24956.0|0|24956.0|0|361.0|0|0.0|100
0|2021-12-02|25042.0|0|25042.0|0|362.0|0|0.0|100
0|2021-12-03|25105.0|0|25105.0|0|363.0|0|0.0|100
0|2021-12-04|25105.0|0|25105.0|0|363.0|0|0.0|100
0|2021-12-05|25105.0|0|25105.0|0|363.0|0|0.0|100
0|2021-12-06|25211.0|0|25211.0|0|363.0|0|0.0|100
0|2021-12-07|25267.0|0|25267.0|0|363.0|0|0.0|100
0|2021-12-08|25322.0|0|25322.0|0|365.0|0|0.0|100
0|2021-12-09|25383.0|0|25383.0|0|366.0|0|0.0|100
0|2021-12-10|25426.0|0|25426.0|0|366.0|0|0.0|100
0|2021-12-11|25426.0|0|25426.0|0|366.0|0|0.0|100
0|2021-12-12|25426.0|0|25426.0|0|366.0|0|0.0|100
0|2021-12-13|25496.0|0|25496.0|0|367.0|0|0.0|100
0|2021-12-14|25496.0|0|25552.0|0|367.0|0|0.0|100
0|2021-12-15|25615.0|0|25615.0|0|374.0|0|0.0|100
0|2021-12-16|25681.0|0|25681.0|0|376.0|0|0.0|100
0|2021-12-17|25724.0|0|25724.0|0|377.0|0|0.0|100
0|2021-12-18|25724.0|0|25724.0|0|377.0|0|0.0|100
0|2021-12-19|25724.0|0|25724.0|0|377.0|0|0.0|100
0|2021-12-20|25828.0|0|25828.0|0|377.0|0|0.0|100
0|2021-12-21|25871.0|0|25871.0|0|380.0|0|0.0|100
0|2021-12-22|25942.0|0|25942.0|0|383.0|0|0.0|100
0|2021-12-23|26046.0|0|26046.0|0|383.0|0|0.0|100
0|2021-12-24|26046.0|0|26046.0|0|383.0|0|0.0|100
0|2021-12-25|26046.0|0|26046.0|0|383.0|0|0.0|100
0|2021-12-26|26046.0|0|26046.0|0|383.0|0|0.0|100
0|2021-12-27|26214.0|0|26214.0|0|387.0|0|0.0|100
0|2021-12-28|26315.0|0|26315.0|0|389.0|0|0.0|100
0|2021-12-29|26458.0|0|26458.0|0|389.0|0|0.0|100
0|2021-12-30|26640.0|0|26640.0|0|390.0|0|0.0|100
0|2021-12-31|26640.0|0|26640.0|0|390.0|0|0.0|100
0|2022-01-01|26640.0|0|26640.0|0|390.0|0|0.0|100
0|2022-01-02|26640.0|0|26640.0|0|390.0|0|0.0|100
0|2022-01-03|27213.0|0|27213.0|0|394.0|0|0.0|100
0|2022-01-04|27345.0|0|27345.0|0|399.0|0|0.0|100
0|2022-01-05|27608.0|0|27608.0|0|399.0|0|0.0|100
