|dates|Jasper_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jasper_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jasper_Georgia_UnitedStates.Male_Total_Population.data|Jasper_Georgia_UnitedStates.Male_Total_Population.missing|Jasper_Georgia_UnitedStates.Female_Total_Population.data|Jasper_Georgia_UnitedStates.Female_Total_Population.missing|Jasper_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Jasper_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-18|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-19|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-20|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-21|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-22|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-23|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-24|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-25|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-26|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-27|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-28|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-29|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-30|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-10-31|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-01|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-02|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-03|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-04|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-05|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-06|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-07|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-08|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-09|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-10|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-11|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-12|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-13|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-14|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-15|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-16|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-17|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-18|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-19|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-20|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-21|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-22|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-23|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-24|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-25|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-26|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-27|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-28|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-29|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-11-30|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-01|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-02|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-03|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-04|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-05|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-06|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-07|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-08|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-09|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-10|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-11|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-12|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-13|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-14|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-15|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-16|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-17|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-18|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-19|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-20|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-21|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-22|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-23|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-24|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-25|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-26|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-27|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-28|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-29|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-30|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2021-12-31|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-01|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-02|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-03|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-04|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-05|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-06|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-07|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-08|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-09|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-10|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-11|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-12|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-13|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-14|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-15|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-16|2454.0|0|6866.0|0|7174.0|0|3340.0|0
0|2022-01-17|2454.0|0|6866.0|0|7174.0|0|3340.0|0
