|dates|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3904.0|0|3904.0|0|78.0|0|0.0|100
0|2021-10-18|3910.0|0|3910.0|0|78.0|0|0.0|100
0|2021-10-19|3914.0|0|3914.0|0|78.0|0|0.0|100
0|2021-10-20|3917.0|0|3917.0|0|78.0|0|0.0|100
0|2021-10-21|3919.0|0|3919.0|0|78.0|0|0.0|100
0|2021-10-22|3921.0|0|3921.0|0|80.0|0|0.0|100
0|2021-10-23|3921.0|0|3921.0|0|80.0|0|0.0|100
0|2021-10-24|3921.0|0|3921.0|0|80.0|0|0.0|100
0|2021-10-25|3925.0|0|3925.0|0|81.0|0|0.0|100
0|2021-10-26|3925.0|0|3925.0|0|81.0|0|0.0|100
0|2021-10-27|3927.0|0|3927.0|0|81.0|0|0.0|100
0|2021-10-28|3932.0|0|3932.0|0|81.0|0|0.0|100
0|2021-10-29|3938.0|0|3938.0|0|81.0|0|0.0|100
0|2021-10-30|3938.0|0|3938.0|0|81.0|0|0.0|100
0|2021-10-31|3938.0|0|3938.0|0|81.0|0|0.0|100
0|2021-11-01|3947.0|0|3947.0|0|81.0|0|0.0|100
0|2021-11-02|3947.0|0|3947.0|0|81.0|0|0.0|100
0|2021-11-03|3947.0|0|3947.0|0|81.0|0|0.0|100
0|2021-11-04|3947.0|0|3947.0|0|81.0|0|0.0|100
0|2021-11-05|3947.0|0|3947.0|0|81.0|0|0.0|100
