|dates|Johnson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Johnson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3489.0|0|3489.0|0|47.0|0|0.0|100
0|2021-10-18|3503.0|0|3503.0|0|47.0|0|0.0|100
0|2021-10-19|3505.0|0|3505.0|0|47.0|0|0.0|100
0|2021-10-20|3509.0|0|3509.0|0|48.0|0|0.0|100
0|2021-10-21|3515.0|0|3515.0|0|48.0|0|0.0|100
0|2021-10-22|3523.0|0|3523.0|0|48.0|0|0.0|100
0|2021-10-23|3523.0|0|3523.0|0|48.0|0|0.0|100
0|2021-10-24|3523.0|0|3523.0|0|48.0|0|0.0|100
0|2021-10-25|3523.0|0|3523.0|0|48.0|0|0.0|100
0|2021-10-26|3552.0|0|3552.0|0|48.0|0|0.0|100
0|2021-10-27|3551.0|0|3551.0|0|48.0|0|0.0|100
0|2021-10-28|3570.0|0|3570.0|0|48.0|0|0.0|100
0|2021-10-29|3577.0|0|3577.0|0|48.0|0|0.0|100
0|2021-10-30|3577.0|0|3577.0|0|48.0|0|0.0|100
0|2021-10-31|3577.0|0|3577.0|0|48.0|0|0.0|100
0|2021-11-01|3577.0|0|3577.0|0|48.0|0|0.0|100
0|2021-11-02|3617.0|0|3617.0|0|49.0|0|0.0|100
0|2021-11-03|3635.0|0|3635.0|0|49.0|0|0.0|100
0|2021-11-04|3651.0|0|3651.0|0|49.0|0|0.0|100
0|2021-11-05|3664.0|0|3664.0|0|50.0|0|0.0|100
0|2021-11-06|3664.0|0|3664.0|0|50.0|0|0.0|100
0|2021-11-07|3664.0|0|3664.0|0|50.0|0|0.0|100
0|2021-11-08|3664.0|0|3664.0|0|50.0|0|0.0|100
0|2021-11-09|3720.0|0|3720.0|0|50.0|0|0.0|100
0|2021-11-10|3720.0|0|3730.0|0|50.0|0|0.0|100
0|2021-11-11|3730.0|0|3730.0|0|50.0|0|0.0|100
0|2021-11-12|3774.0|0|3774.0|0|52.0|0|0.0|100
0|2021-11-13|3774.0|0|3774.0|0|52.0|0|0.0|100
0|2021-11-14|3774.0|0|3774.0|0|52.0|0|0.0|100
0|2021-11-15|3791.0|0|3791.0|0|52.0|0|0.0|100
0|2021-11-16|3801.0|0|3801.0|0|52.0|0|0.0|100
0|2021-11-17|3820.0|0|3820.0|0|52.0|0|0.0|100
0|2021-11-18|3840.0|0|3840.0|0|52.0|0|0.0|100
0|2021-11-19|3853.0|0|3853.0|0|52.0|0|0.0|100
0|2021-11-20|3853.0|0|3853.0|0|52.0|0|0.0|100
0|2021-11-21|3853.0|0|3853.0|0|52.0|0|0.0|100
0|2021-11-22|3876.0|0|3876.0|0|52.0|0|0.0|100
0|2021-11-23|3890.0|0|3890.0|0|52.0|0|0.0|100
0|2021-11-24|3897.0|0|3897.0|0|52.0|0|0.0|100
0|2021-11-25|3897.0|0|3897.0|0|52.0|0|0.0|100
0|2021-11-26|3897.0|0|3897.0|0|52.0|0|0.0|100
0|2021-11-27|3897.0|0|3897.0|0|52.0|0|0.0|100
0|2021-11-28|3897.0|0|3897.0|0|52.0|0|0.0|100
0|2021-11-29|3928.0|0|3928.0|0|52.0|0|0.0|100
0|2021-11-30|3946.0|0|3946.0|0|53.0|0|0.0|100
0|2021-12-01|3960.0|0|3960.0|0|53.0|0|0.0|100
0|2021-12-02|3968.0|0|3968.0|0|53.0|0|0.0|100
0|2021-12-03|3983.0|0|3983.0|0|53.0|0|0.0|100
0|2021-12-04|3983.0|0|3983.0|0|53.0|0|0.0|100
0|2021-12-05|3983.0|0|3983.0|0|53.0|0|0.0|100
0|2021-12-06|4003.0|0|4003.0|0|53.0|0|0.0|100
0|2021-12-07|4013.0|0|4013.0|0|54.0|0|0.0|100
0|2021-12-08|4019.0|0|4019.0|0|54.0|0|0.0|100
0|2021-12-09|4019.0|0|4019.0|0|54.0|0|0.0|100
0|2021-12-10|4044.0|0|4044.0|0|54.0|0|0.0|100
0|2021-12-11|4044.0|0|4044.0|0|54.0|0|0.0|100
0|2021-12-12|4044.0|0|4044.0|0|54.0|0|0.0|100
0|2021-12-13|4059.0|0|4059.0|0|54.0|0|0.0|100
0|2021-12-14|4059.0|0|4070.0|0|54.0|0|0.0|100
0|2021-12-15|4076.0|0|4076.0|0|54.0|0|0.0|100
0|2021-12-16|4090.0|0|4090.0|0|54.0|0|0.0|100
0|2021-12-17|4100.0|0|4100.0|0|54.0|0|0.0|100
0|2021-12-18|4100.0|0|4100.0|0|54.0|0|0.0|100
0|2021-12-19|4100.0|0|4100.0|0|54.0|0|0.0|100
0|2021-12-20|4117.0|0|4117.0|0|54.0|0|0.0|100
0|2021-12-21|4129.0|0|4129.0|0|55.0|0|0.0|100
0|2021-12-22|4131.0|0|4131.0|0|55.0|0|0.0|100
0|2021-12-23|4144.0|0|4144.0|0|60.0|0|0.0|100
0|2021-12-24|4144.0|0|4144.0|0|60.0|0|0.0|100
0|2021-12-25|4144.0|0|4144.0|0|60.0|0|0.0|100
0|2021-12-26|4144.0|0|4144.0|0|60.0|0|0.0|100
0|2021-12-27|4171.0|0|4171.0|0|61.0|0|0.0|100
0|2021-12-28|4177.0|0|4177.0|0|61.0|0|0.0|100
0|2021-12-29|4189.0|0|4189.0|0|63.0|0|0.0|100
0|2021-12-30|4207.0|0|4207.0|0|63.0|0|0.0|100
0|2021-12-31|4207.0|0|4207.0|0|63.0|0|0.0|100
0|2022-01-01|4207.0|0|4207.0|0|63.0|0|0.0|100
0|2022-01-02|4207.0|0|4207.0|0|63.0|0|0.0|100
0|2022-01-03|4237.0|0|4237.0|0|64.0|0|0.0|100
0|2022-01-04|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-05|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-06|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-07|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-08|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-09|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-10|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-11|4247.0|0|4247.0|0|67.0|0|0.0|100
0|2022-01-12|4306.0|0|4306.0|0|68.0|0|0.0|100
0|2022-01-13|4306.0|0|4306.0|0|68.0|0|0.0|100
0|2022-01-14|4306.0|0|4306.0|0|68.0|0|0.0|100
0|2022-01-15|4306.0|0|4306.0|0|68.0|0|0.0|100
0|2022-01-16|4306.0|0|4306.0|0|68.0|0|0.0|100
0|2022-01-17|4306.0|0|0.0|100|68.0|0|0.0|100
