|dates|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Johnston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Johnston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|31817.0|0|31817.0|0|316.0|0|0.0|100
0|2021-10-18|31918.0|0|31918.0|0|322.0|0|0.0|100
0|2021-10-19|31957.0|0|31957.0|0|322.0|0|0.0|100
0|2021-10-20|32026.0|0|32026.0|0|322.0|0|0.0|100
0|2021-10-21|32092.0|0|32092.0|0|326.0|0|0.0|100
0|2021-10-22|32136.0|0|32136.0|0|328.0|0|0.0|100
0|2021-10-23|32136.0|0|32136.0|0|328.0|0|0.0|100
0|2021-10-24|32136.0|0|32136.0|0|328.0|0|0.0|100
0|2021-10-25|32254.0|0|32254.0|0|328.0|0|0.0|100
0|2021-10-26|32293.0|0|32293.0|0|328.0|0|0.0|100
0|2021-10-27|32337.0|0|32337.0|0|328.0|0|0.0|100
0|2021-10-28|32391.0|0|32391.0|0|329.0|0|0.0|100
0|2021-10-29|32416.0|0|32416.0|0|329.0|0|0.0|100
0|2021-10-30|32416.0|0|32416.0|0|329.0|0|0.0|100
0|2021-10-31|32416.0|0|32416.0|0|329.0|0|0.0|100
0|2021-11-01|32503.0|0|32503.0|0|329.0|0|0.0|100
0|2021-11-02|32527.0|0|32527.0|0|329.0|0|0.0|100
0|2021-11-03|32547.0|0|32547.0|0|329.0|0|0.0|100
0|2021-11-04|32604.0|0|32604.0|0|329.0|0|0.0|100
0|2021-11-05|32643.0|0|32643.0|0|330.0|0|0.0|100
0|2021-11-06|32643.0|0|32643.0|0|330.0|0|0.0|100
0|2021-11-07|32643.0|0|32643.0|0|330.0|0|0.0|100
0|2021-11-08|32732.0|0|32732.0|0|336.0|0|0.0|100
0|2021-11-09|32763.0|0|32763.0|0|336.0|0|0.0|100
0|2021-11-10|32763.0|0|32809.0|0|336.0|0|0.0|100
0|2021-11-11|32809.0|0|32809.0|0|336.0|0|0.0|100
0|2021-11-12|32905.0|0|32905.0|0|335.0|0|0.0|100
0|2021-11-13|32905.0|0|32905.0|0|335.0|0|0.0|100
0|2021-11-14|32905.0|0|32905.0|0|335.0|0|0.0|100
0|2021-11-15|33042.0|0|33042.0|0|335.0|0|0.0|100
0|2021-11-16|33077.0|0|33077.0|0|335.0|0|0.0|100
0|2021-11-17|33144.0|0|33144.0|0|336.0|0|0.0|100
0|2021-11-18|33226.0|0|33226.0|0|337.0|0|0.0|100
0|2021-11-19|33271.0|0|33271.0|0|339.0|0|0.0|100
0|2021-11-20|33271.0|0|33271.0|0|339.0|0|0.0|100
0|2021-11-21|33271.0|0|33271.0|0|339.0|0|0.0|100
0|2021-11-22|33396.0|0|33396.0|0|339.0|0|0.0|100
0|2021-11-23|33415.0|0|33415.0|0|339.0|0|0.0|100
