|dates|Kearny_Kansas_UnitedStates.JHU_ConfirmedCases.data|Kearny_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Kearny_Kansas_UnitedStates.NYT_ConfirmedCases.data|Kearny_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Kearny_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Kearny_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Kearny_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Kearny_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|722.0|0|722.0|0|12.0|0|0.0|100
0|2021-10-18|733.0|0|733.0|0|12.0|0|0.0|100
0|2021-10-19|733.0|0|733.0|0|12.0|0|0.0|100
0|2021-10-20|744.0|0|744.0|0|12.0|0|0.0|100
0|2021-10-21|744.0|0|744.0|0|12.0|0|0.0|100
0|2021-10-22|754.0|0|754.0|0|12.0|0|0.0|100
0|2021-10-23|754.0|0|754.0|0|12.0|0|0.0|100
0|2021-10-24|754.0|0|754.0|0|12.0|0|0.0|100
0|2021-10-25|767.0|0|767.0|0|12.0|0|0.0|100
0|2021-10-26|767.0|0|767.0|0|12.0|0|0.0|100
0|2021-10-27|778.0|0|778.0|0|12.0|0|0.0|100
0|2021-10-28|778.0|0|778.0|0|12.0|0|0.0|100
0|2021-10-29|786.0|0|786.0|0|13.0|0|0.0|100
0|2021-10-30|786.0|0|786.0|0|13.0|0|0.0|100
0|2021-10-31|786.0|0|786.0|0|13.0|0|0.0|100
0|2021-11-01|792.0|0|792.0|0|13.0|0|0.0|100
0|2021-11-02|792.0|0|792.0|0|13.0|0|0.0|100
0|2021-11-03|802.0|0|802.0|0|13.0|0|0.0|100
0|2021-11-04|802.0|0|802.0|0|13.0|0|0.0|100
0|2021-11-05|809.0|0|809.0|0|13.0|0|0.0|100
0|2021-11-06|809.0|0|809.0|0|13.0|0|0.0|100
0|2021-11-07|809.0|0|809.0|0|13.0|0|0.0|100
0|2021-11-08|814.0|0|814.0|0|14.0|0|0.0|100
0|2021-11-09|814.0|0|814.0|0|14.0|0|0.0|100
0|2021-11-10|814.0|0|818.0|0|14.0|0|0.0|100
0|2021-11-11|818.0|0|818.0|0|16.0|0|0.0|100
0|2021-11-12|821.0|0|821.0|0|16.0|0|0.0|100
0|2021-11-13|821.0|0|821.0|0|16.0|0|0.0|100
0|2021-11-14|821.0|0|821.0|0|16.0|0|0.0|100
0|2021-11-15|826.0|0|826.0|0|16.0|0|0.0|100
0|2021-11-16|826.0|0|826.0|0|16.0|0|0.0|100
0|2021-11-17|838.0|0|838.0|0|16.0|0|0.0|100
0|2021-11-18|838.0|0|838.0|0|16.0|0|0.0|100
0|2021-11-19|850.0|0|850.0|0|16.0|0|0.0|100
0|2021-11-20|850.0|0|850.0|0|16.0|0|0.0|100
0|2021-11-21|850.0|0|850.0|0|16.0|0|0.0|100
0|2021-11-22|856.0|0|856.0|0|16.0|0|0.0|100
0|2021-11-23|856.0|0|856.0|0|16.0|0|0.0|100
0|2021-11-24|856.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-25|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-26|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-27|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-28|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-29|878.0|0|878.0|0|17.0|0|0.0|100
0|2021-11-30|878.0|0|878.0|0|17.0|0|0.0|100
0|2021-12-01|917.0|0|917.0|0|17.0|0|0.0|100
0|2021-12-02|917.0|0|917.0|0|17.0|0|0.0|100
0|2021-12-03|917.0|0|928.0|0|17.0|0|0.0|100
